   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   13.4214       1.35506       1.70887       1.34476       1.70288      0.102968E-01  0.599585E-02   3.04764      0.916645      0.870776      0.832101      0.428118       0.00000       0.00000    
  0.109648E-03   13.1707       1.33151       1.67827       1.32055       1.67189      0.109522E-01  0.637685E-02   2.99245      0.900922      0.854463      0.817432      0.419632       0.00000       0.00000    
  0.120226E-03   12.9243       1.30829       1.64806       1.29664       1.64128      0.116484E-01  0.678066E-02   2.93792      0.885369      0.838360      0.802921      0.411269       0.00000       0.00000    
  0.131825E-03   12.6820       1.28539       1.61823       1.27300       1.61102      0.123879E-01  0.720976E-02   2.88402      0.869977      0.822464      0.788560      0.403022       0.00000       0.00000    
  0.144543E-03   12.4437       1.26281       1.58879       1.24964       1.58113      0.131714E-01  0.766420E-02   2.83077      0.854748      0.806778      0.774348      0.394894       0.00000       0.00000    
  0.158489E-03   12.2095       1.24057       1.55974       1.22656       1.55159      0.140046E-01  0.814786E-02   2.77816      0.839680      0.791310      0.760285      0.386881       0.00000       0.00000    
  0.173779E-03   11.9793       1.21865       1.53109       1.20376       1.52243      0.148870E-01  0.866030E-02   2.72619      0.824775      0.776058      0.746370      0.378985       0.00000       0.00000    
  0.190545E-03   11.7529       1.19705       1.50283       1.18122       1.49362      0.158254E-01  0.920466E-02   2.67485      0.810024      0.761029      0.732596      0.371199       0.00000       0.00000    
  0.208928E-03   11.5305       1.17577       1.47496       1.15895       1.46518      0.168193E-01  0.978046E-02   2.62414      0.795427      0.746221      0.718963      0.363524       0.00000       0.00000    
  0.229085E-03   11.3119       1.15482       1.44751       1.13694       1.43711      0.178750E-01  0.103920E-01   2.57406      0.780985      0.731643      0.705470      0.355956       0.00000       0.00000    
  0.251186E-03   11.0970       1.13419       1.42045       1.11519       1.40942      0.189929E-01  0.110396E-01   2.52461      0.766697      0.717297      0.692118      0.348497       0.00000       0.00000    
  0.275420E-03   10.8858       1.11388       1.39381       1.09370       1.38209      0.201787E-01  0.117265E-01   2.47579      0.752561      0.703188      0.678900      0.341143       0.00000       0.00000    
  0.301992E-03   10.6783       1.09390       1.36759       1.07247       1.35513      0.214341E-01  0.124540E-01   2.42760      0.738573      0.689316      0.665815      0.333892       0.00000       0.00000    
  0.331127E-03   10.4743       1.07424       1.34177       1.05148       1.32855      0.227642E-01  0.132245E-01   2.38003      0.724735      0.675688      0.652862      0.326743       0.00000       0.00000    
  0.363073E-03   10.2738       1.05491       1.31639       1.03073       1.30235      0.241755E-01  0.140414E-01   2.33308      0.711043      0.662309      0.640039      0.319691       0.00000       0.00000    
  0.398101E-03   10.0768       1.03591       1.29143       1.01024       1.27653      0.256693E-01  0.149055E-01   2.28676      0.697499      0.649182      0.627345      0.312738       0.00000       0.00000    
  0.436509E-03   9.88316       1.01723       1.26691      0.989981       1.25109      0.272535E-01  0.158215E-01   2.24107      0.684102      0.636314      0.614778      0.305879       0.00000       0.00000    
  0.478622E-03   9.69287      0.998897       1.24283      0.969969       1.22604      0.289280E-01  0.167893E-01   2.19601      0.670852      0.623704      0.602339      0.299116       0.00000       0.00000    
  0.524798E-03   9.50581      0.980897       1.21920      0.950194       1.20139      0.307032E-01  0.178152E-01   2.15158      0.657749      0.611364      0.590024      0.292444       0.00000       0.00000    
  0.575429E-03   9.32200      0.963234       1.19602      0.930657       1.17713      0.325778E-01  0.188984E-01   2.10778      0.644792      0.599292      0.577833      0.285864       0.00000       0.00000    
  0.630945E-03   9.14128      0.945918       1.17331      0.911354       1.15326      0.345639E-01  0.200459E-01   2.06462      0.631984      0.587496      0.565764      0.279371       0.00000       0.00000    
  0.691816E-03   8.96366      0.928947       1.15105      0.892287       1.12979      0.366604E-01  0.212569E-01   2.02208      0.619322      0.575976      0.553817      0.272965       0.00000       0.00000    
  0.758561E-03   8.78900      0.912332       1.12927      0.873452       1.10673      0.388798E-01  0.225383E-01   1.98018      0.606809      0.564738      0.541991      0.266643       0.00000       0.00000    
  0.831745E-03   8.61729      0.896073       1.10796      0.854850       1.08407      0.412233E-01  0.238903E-01   1.93892      0.594446      0.553782      0.530284      0.260404       0.00000       0.00000    
  0.911989E-03   8.44843      0.880180       1.08713      0.836479       1.06181      0.437007E-01  0.253186E-01   1.89829      0.582234      0.543111      0.518697      0.254245       0.00000       0.00000    
  0.999975E-03   8.28236      0.864658       1.06678      0.818341       1.03996      0.463170E-01  0.268261E-01   1.85830      0.570175      0.532728      0.507229      0.248166       0.00000       0.00000    
  0.109645E-02   8.11901      0.849511       1.04693      0.800433       1.01851      0.490780E-01  0.284162E-01   1.81894      0.558269      0.522630      0.495879      0.242164       0.00000       0.00000    
  0.120223E-02   7.95824      0.834746       1.02756      0.782753      0.997460      0.519937E-01  0.300949E-01   1.78021      0.546518      0.512816      0.484645      0.236235       0.00000       0.00000    
  0.131822E-02   7.80003      0.820367       1.00867      0.765301      0.976811      0.550661E-01  0.318632E-01   1.74211      0.534922      0.503284      0.473526      0.230379       0.00000       0.00000    
  0.144540E-02   7.64425      0.806391      0.990286      0.748080      0.956557      0.583113E-01  0.337291E-01   1.70464      0.523487      0.494032      0.462525      0.224593       0.00000       0.00000    
  0.158485E-02   7.49090      0.792815      0.972390      0.731087      0.936698      0.617278E-01  0.356922E-01   1.66779      0.512212      0.485059      0.451639      0.218876       0.00000       0.00000    
  0.173775E-02   7.33978      0.779657      0.954981      0.714325      0.917218      0.653322E-01  0.377624E-01   1.63154      0.501101      0.476350      0.440868      0.213224       0.00000       0.00000    
  0.190540E-02   7.19090      0.766915      0.938058      0.697792      0.898120      0.691225E-01  0.399384E-01   1.59591      0.490155      0.467908      0.430212      0.207637       0.00000       0.00000    
  0.208923E-02   7.04406      0.754606      0.921611      0.681488      0.879381      0.731183E-01  0.422303E-01   1.56087      0.479377      0.459712      0.419669      0.202111       0.00000       0.00000    
  0.229079E-02   6.89928      0.742731      0.905642      0.665412      0.861005      0.773188E-01  0.446372E-01   1.52642      0.468766      0.451765      0.409240      0.196646       0.00000       0.00000    
  0.251180E-02   6.75635      0.731305      0.890132      0.649564      0.842962      0.817411E-01  0.471695E-01   1.49253      0.458327      0.444039      0.398923      0.191237       0.00000       0.00000    
  0.275413E-02   6.61523      0.720333      0.875082      0.633945      0.825253      0.863878E-01  0.498288E-01   1.45920      0.448060      0.436533      0.388719      0.185884       0.00000       0.00000    
  0.301984E-02   6.47578      0.709823      0.860471      0.618551      0.807849      0.912721E-01  0.526219E-01   1.42640      0.437967      0.429222      0.378627      0.180584       0.00000       0.00000    
  0.331118E-02   6.33787      0.699785      0.846289      0.603383      0.790736      0.964024E-01  0.555534E-01   1.39412      0.428048      0.422090      0.368646      0.175335       0.00000       0.00000    
  0.363064E-02   6.20143      0.690223      0.832523      0.588437      0.773896      0.101786      0.586269E-01   1.36233      0.418302      0.415122      0.358774      0.170135       0.00000       0.00000    
  0.398091E-02   6.06626      0.681150      0.819148      0.573712      0.757297      0.107439      0.618508E-01   1.33101      0.408731      0.408287      0.349010      0.164980       0.00000       0.00000    
  0.436498E-02   5.93233      0.672567      0.806158      0.559205      0.740933      0.113362      0.652256E-01   1.30014      0.399334      0.401580      0.339353      0.159871       0.00000       0.00000    
  0.478610E-02   5.79934      0.664484      0.793516      0.544908      0.724754      0.119576      0.687624E-01   1.26966      0.390104      0.394953      0.329801      0.154804       0.00000       0.00000    
  0.524785E-02   5.66733      0.656900      0.781225      0.530820      0.708765      0.126080      0.724601E-01   1.23958      0.381043      0.388410      0.320354      0.149777       0.00000       0.00000    
  0.575415E-02   5.53601      0.649826      0.769239      0.516930      0.692908      0.132897      0.763310E-01   1.20984      0.372140      0.381900      0.311009      0.144789       0.00000       0.00000    
  0.630929E-02   5.40541      0.643263      0.757565      0.503238      0.677191      0.140025      0.803738E-01   1.18043      0.363399      0.375426      0.301765      0.139839       0.00000       0.00000    
  0.691799E-02   5.27518      0.637214      0.746158      0.489726      0.661558      0.147488      0.845995E-01   1.15128      0.354801      0.368939      0.292619      0.134925       0.00000       0.00000    
  0.758542E-02   5.14532      0.631679      0.735018      0.476394      0.646010      0.155284      0.890080E-01   1.12240      0.346349      0.362439      0.283571      0.130045       0.00000       0.00000    
  0.831724E-02   5.01554      0.626656      0.724114      0.463220      0.630505      0.163436      0.936091E-01   1.09373      0.338021      0.355889      0.274616      0.125199       0.00000       0.00000    
  0.911966E-02   4.88577      0.622146      0.713437      0.450200      0.615032      0.171946      0.984052E-01   1.06523      0.329814      0.349278      0.265754      0.120386       0.00000       0.00000    
  0.999950E-02   4.75582      0.618144      0.702975      0.437314      0.599573      0.180831      0.103402       1.03689      0.321708      0.342591      0.256982      0.115606       0.00000       0.00000    
