   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   5.90281      0.853307       1.27933      0.845636       1.27487      0.767146E-02  0.445414E-02   2.12051      0.666830      0.609245      0.665627      0.178806       0.00000       0.00000    
  0.109648E-03   5.83352      0.840559       1.25864      0.832361       1.25388      0.819843E-02  0.476044E-02   2.08624      0.656410      0.598066      0.655817      0.175951       0.00000       0.00000    
  0.120226E-03   5.76551      0.827963       1.23820      0.819203       1.23312      0.876009E-02  0.508698E-02   2.05232      0.646079      0.587023      0.646093      0.173124       0.00000       0.00000    
  0.131825E-03   5.69875      0.815515       1.21801      0.806155       1.21257      0.936012E-02  0.543576E-02   2.01873      0.635832      0.576124      0.636448      0.170322       0.00000       0.00000    
  0.144543E-03   5.63324      0.803217       1.19806      0.793218       1.19225      0.999868E-02  0.580693E-02   1.98547      0.625672      0.565369      0.626883      0.167547       0.00000       0.00000    
  0.158489E-03   5.56896      0.791075       1.17837      0.780394       1.17217      0.106815E-01  0.620424E-02   1.95256      0.615597      0.554771      0.617398      0.164797       0.00000       0.00000    
  0.173779E-03   5.50592      0.779089       1.15895      0.767681       1.15232      0.114079E-01  0.662726E-02   1.92000      0.605609      0.544329      0.607992      0.162072       0.00000       0.00000    
  0.190545E-03   5.44408      0.767262       1.13980      0.755077       1.13272      0.121849E-01  0.707903E-02   1.88779      0.595705      0.534057      0.598659      0.159372       0.00000       0.00000    
  0.208928E-03   5.38343      0.755592       1.12091      0.742580       1.11335      0.130120E-01  0.755895E-02   1.85593      0.585885      0.523952      0.589401      0.156695       0.00000       0.00000    
  0.229085E-03   5.32396      0.744087       1.10232      0.730193       1.09424      0.138947E-01  0.807187E-02   1.82444      0.576151      0.514030      0.580214      0.154042       0.00000       0.00000    
  0.251186E-03   5.26568      0.732749       1.08401      0.717916       1.07539      0.148329E-01  0.861821E-02   1.79331      0.566504      0.504293      0.571100      0.151412       0.00000       0.00000    
  0.275420E-03   5.20855      0.721581       1.06600      0.705748       1.05680      0.158334E-01  0.920102E-02   1.76255      0.556943      0.494750      0.562054      0.148805       0.00000       0.00000    
  0.301992E-03   5.15252      0.710586       1.04830      0.693687       1.03848      0.168992E-01  0.982156E-02   1.73217      0.547467      0.485407      0.553074      0.146220       0.00000       0.00000    
  0.331127E-03   5.09760      0.699768       1.03091      0.681734       1.02043      0.180342E-01  0.104821E-01   1.70217      0.538078      0.476273      0.544159      0.143656       0.00000       0.00000    
  0.363073E-03   5.04378      0.689135       1.01385      0.669891       1.00267      0.192438E-01  0.111851E-01   1.67256      0.528777      0.467358      0.535307      0.141114       0.00000       0.00000    
  0.398101E-03   4.99104      0.678687      0.997116      0.658158      0.985183      0.205298E-01  0.119324E-01   1.64334      0.519565      0.458666      0.526517      0.138592       0.00000       0.00000    
  0.436509E-03   4.93934      0.668435      0.980727      0.646535      0.967996      0.219009E-01  0.127307E-01   1.61453      0.510444      0.450210      0.517786      0.136090       0.00000       0.00000    
  0.478622E-03   4.88867      0.658379      0.964683      0.635022      0.951104      0.233567E-01  0.135792E-01   1.58613      0.501413      0.441990      0.509114      0.133609       0.00000       0.00000    
  0.524798E-03   4.83898      0.648532      0.949004      0.623625      0.934521      0.249070E-01  0.144830E-01   1.55815      0.492478      0.434023      0.500498      0.131146       0.00000       0.00000    
  0.575429E-03   4.79029      0.638892      0.933687      0.612342      0.918246      0.265502E-01  0.154412E-01   1.53059      0.483639      0.426308      0.491938      0.128703       0.00000       0.00000    
  0.630945E-03   4.74251      0.629477      0.918751      0.601175      0.902289      0.283013E-01  0.164621E-01   1.50346      0.474897      0.418860      0.483429      0.126278       0.00000       0.00000    
  0.691816E-03   4.69566      0.620284      0.904194      0.590125      0.886649      0.301593E-01  0.175454E-01   1.47677      0.466254      0.411677      0.474972      0.123871       0.00000       0.00000    
