   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   3.81077      0.754370       1.04180      0.745829       1.03700      0.854082E-02  0.480237E-02   1.78282      0.634590      0.588665      0.448331      0.111239       0.00000       0.00000    
  0.109648E-03   3.78174      0.744790       1.02704      0.735701       1.02193      0.908851E-02  0.511145E-02   1.75763      0.626017      0.579029      0.442900      0.109685       0.00000       0.00000    
  0.120226E-03   3.75354      0.735252       1.01231      0.725582       1.00687      0.966984E-02  0.543982E-02   1.73245      0.617440      0.569399      0.437474      0.108142       0.00000       0.00000    
  0.131825E-03   3.72617      0.725756      0.997618      0.715467      0.991829      0.102890E-01  0.578881E-02   1.70730      0.608858      0.559780      0.432049      0.106609       0.00000       0.00000    
  0.144543E-03   3.69964      0.716303      0.982957      0.705357      0.976798      0.109458E-01  0.615868E-02   1.68216      0.600270      0.550173      0.426625      0.105087       0.00000       0.00000    
  0.158489E-03   3.67396      0.706901      0.968346      0.695257      0.961793      0.116444E-01  0.655294E-02   1.65705      0.591681      0.540590      0.421203      0.103575       0.00000       0.00000    
  0.173779E-03   3.64913      0.697550      0.953783      0.685165      0.946811      0.123844E-01  0.697120E-02   1.63198      0.583091      0.531029      0.415782      0.102074       0.00000       0.00000    
  0.190545E-03   3.62515      0.688256      0.939280      0.675083      0.931864      0.131727E-01  0.741602E-02   1.60695      0.574501      0.521504      0.410360      0.100582       0.00000       0.00000    
  0.208928E-03   3.60202      0.679019      0.924836      0.665010      0.916949      0.140091E-01  0.788685E-02   1.58196      0.565909      0.512013      0.404936      0.991003E-01   0.00000       0.00000    
  0.229085E-03   3.57974      0.669848      0.910472      0.654950      0.902084      0.148979E-01  0.838835E-02   1.55703      0.557323      0.502573      0.399511      0.976276E-01   0.00000       0.00000    
  0.251186E-03   3.55832      0.660744      0.896191      0.644906      0.887269      0.158382E-01  0.892129E-02   1.53218      0.548741      0.493184      0.394085      0.961644E-01   0.00000       0.00000    
  0.275420E-03   3.53774      0.651716      0.882004      0.634878      0.872517      0.168373E-01  0.948744E-02   1.50740      0.540168      0.483860      0.388657      0.947100E-01   0.00000       0.00000    
  0.301992E-03   3.51799      0.642766      0.867916      0.624868      0.857828      0.178983E-01  0.100873E-01   1.48270      0.531604      0.474605      0.383224      0.932642E-01   0.00000       0.00000    
  0.331127E-03   3.49908      0.633902      0.853940      0.614878      0.843217      0.190240E-01  0.107233E-01   1.45809      0.523051      0.465431      0.377786      0.918267E-01   0.00000       0.00000    
  0.363073E-03   3.48101      0.625132      0.840095      0.604913      0.828697      0.202188E-01  0.113979E-01   1.43361      0.514516      0.456352      0.372344      0.903974E-01   0.00000       0.00000    
  0.398101E-03   3.46377      0.616459      0.826384      0.594975      0.814271      0.214843E-01  0.121128E-01   1.40925      0.505999      0.447373      0.366898      0.889762E-01   0.00000       0.00000    
  0.436509E-03   3.44734      0.607898      0.812833      0.585069      0.799959      0.228289E-01  0.128742E-01   1.38503      0.497507      0.438513      0.361446      0.875624E-01   0.00000       0.00000    
  0.478622E-03   3.43173      0.599448      0.799442      0.575196      0.785761      0.242519E-01  0.136816E-01   1.36096      0.489040      0.429772      0.355989      0.861561E-01   0.00000       0.00000    
  0.524798E-03   3.41691      0.591130      0.786244      0.565367      0.771706      0.257624E-01  0.145383E-01   1.33707      0.480611      0.421179      0.350526      0.847567E-01   0.00000       0.00000    
  0.575429E-03   3.40288      0.582940      0.773234      0.555581      0.757790      0.273592E-01  0.154440E-01   1.31337      0.472217      0.412731      0.345059      0.833641E-01   0.00000       0.00000    
  0.630945E-03   3.38960      0.574902      0.760449      0.545848      0.744043      0.290541E-01  0.164057E-01   1.28989      0.463870      0.404458      0.339585      0.819779E-01   0.00000       0.00000    
  0.691816E-03   3.37708      0.567012      0.747885      0.536166      0.730462      0.308461E-01  0.174229E-01   1.26663      0.455568      0.396358      0.334104      0.805980E-01   0.00000       0.00000    
  0.758561E-03   3.36528      0.559295      0.735578      0.526549      0.717076      0.327462E-01  0.185024E-01   1.24362      0.447325      0.388458      0.328618      0.792237E-01   0.00000       0.00000    
  0.831745E-03   3.35418      0.551751      0.723532      0.516996      0.703887      0.347549E-01  0.196447E-01   1.22088      0.439141      0.380762      0.323125      0.778548E-01   0.00000       0.00000    
  0.911989E-03   3.34375      0.544401      0.711773      0.507519      0.690918      0.368818E-01  0.208550E-01   1.19844      0.431028      0.373291      0.317627      0.764910E-01   0.00000       0.00000    
  0.999975E-03   3.33398      0.537255      0.700318      0.498123      0.678182      0.391318E-01  0.221354E-01   1.17631      0.422991      0.366059      0.312123      0.751321E-01   0.00000       0.00000    
  0.109645E-02   3.32481      0.530324      0.689180      0.488813      0.665690      0.415107E-01  0.234898E-01   1.15450      0.415035      0.359076      0.306614      0.737775E-01   0.00000       0.00000    
  0.120223E-02   3.31619      0.523625      0.678384      0.479597      0.653459      0.440284E-01  0.249246E-01   1.13306      0.407171      0.352360      0.301099      0.724264E-01   0.00000       0.00000    
  0.131822E-02   3.30811      0.517164      0.667934      0.470478      0.641494      0.466865E-01  0.264405E-01   1.11197      0.399399      0.345915      0.295578      0.710787E-01   0.00000       0.00000    
  0.144540E-02   3.30049      0.510970      0.657866      0.461472      0.629820      0.494980E-01  0.280457E-01   1.09129      0.391738      0.339768      0.290053      0.697339E-01   0.00000       0.00000    
  0.158485E-02   3.29333      0.505040      0.648176      0.452578      0.618436      0.524623E-01  0.297397E-01   1.07101      0.384186      0.333914      0.284522      0.683920E-01   0.00000       0.00000    
  0.173775E-02   3.28650      0.499407      0.638895      0.443809      0.607362      0.555984E-01  0.315334E-01   1.05117      0.376757      0.328374      0.278988      0.670517E-01   0.00000       0.00000    
  0.190540E-02   3.28001      0.494067      0.630022      0.435163      0.596596      0.589041E-01  0.334256E-01   1.03176      0.369450      0.323147      0.273449      0.657132E-01   0.00000       0.00000    
  0.208923E-02   3.27371      0.489052      0.621579      0.426655      0.586153      0.623971E-01  0.354263E-01   1.01281      0.362280      0.318247      0.267906      0.643754E-01   0.00000       0.00000    
  0.229079E-02   3.26762      0.484361      0.613568      0.418285      0.576034      0.660762E-01  0.375342E-01  0.994319      0.355247      0.313674      0.262360      0.630383E-01   0.00000       0.00000    
  0.251180E-02   3.26156      0.480022      0.605999      0.410062      0.566237      0.699594E-01  0.397619E-01  0.976299      0.348361      0.309427      0.256810      0.617008E-01   0.00000       0.00000    
  0.275413E-02   3.25551      0.476037      0.598878      0.401988      0.556766      0.740491E-01  0.421115E-01  0.958755      0.341625      0.305510      0.251257      0.603628E-01   0.00000       0.00000    
  0.301984E-02   3.24933      0.472426      0.592203      0.394067      0.547612      0.783593E-01  0.445904E-01  0.941680      0.335044      0.301911      0.245701      0.590234E-01   0.00000       0.00000    
  0.331118E-02   3.24293      0.469202      0.585977      0.386304      0.538774      0.828983E-01  0.472029E-01  0.925078      0.328622      0.298632      0.240143      0.576820E-01   0.00000       0.00000    
  0.363064E-02   3.23620      0.466372      0.580192      0.378697      0.530238      0.876750E-01  0.499545E-01  0.908935      0.322359      0.295656      0.234582      0.563382E-01   0.00000       0.00000    
  0.398091E-02   3.22897      0.463955      0.574841      0.371248      0.521985      0.927069E-01  0.528562E-01  0.893233      0.316257      0.292966      0.229019      0.549909E-01   0.00000       0.00000    
  0.436498E-02   3.22120      0.461950      0.569916      0.363955      0.514007      0.979955E-01  0.559089E-01  0.877962      0.310315      0.290553      0.223454      0.536401E-01   0.00000       0.00000    
  0.478610E-02   3.21261      0.460376      0.565389      0.356813      0.506263      0.103563      0.591260E-01  0.863076      0.304528      0.288376      0.217888      0.522847E-01   0.00000       0.00000    
  0.524785E-02   3.20321      0.459231      0.561262      0.349823      0.498756      0.109408      0.625064E-01  0.848578      0.298898      0.286436      0.212320      0.509247E-01   0.00000       0.00000    
  0.575415E-02   3.19265      0.458527      0.557485      0.342969      0.491418      0.115558      0.660670E-01  0.834387      0.293410      0.284666      0.206751      0.495588E-01   0.00000       0.00000    
  0.630929E-02   3.18096      0.458265      0.554065      0.336255      0.484259      0.122010      0.698061E-01  0.820515      0.288068      0.283076      0.201183      0.481870E-01   0.00000       0.00000    
  0.691799E-02   3.16774      0.458449      0.550937      0.329656      0.477197      0.128793      0.737399E-01  0.806853      0.282848      0.281581      0.195616      0.468084E-01   0.00000       0.00000    
  0.758542E-02   3.15301      0.459081      0.548104      0.323175      0.470236      0.135905      0.778677E-01  0.793411      0.277752      0.280186      0.190050      0.454229E-01   0.00000       0.00000    
