After minimisation       0.00  1145     0.000

  Partial chi2s 
Dataset    1      0.00( +0.00)   377  HERA1+2 NCep 920                                
Dataset    2      0.00( +0.00)    70  HERA1+2 NCep 820                                
Dataset    3      0.00( +0.00)   254  HERA1+2 NCep 575                                
Dataset    4      0.00( -0.00)   204  HERA1+2 NCep 460                                
Dataset    5      0.00( +0.00)   159  HERA1+2 NCem                                    
Dataset    6      0.00( +0.00)    39  HERA1+2 CCep                                    
Dataset    7      0.00( +0.00)    42  HERA1+2 CCem                                    

 Correlated Chi2    0.0000000000000000     
 Log penalty Chi2    1.7097434579227420E-014
 Systematic shifts          197
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.0000   +/-   0.9423        :N:M:D
    2  sysHZComb1002                          0.0000   +/-   0.9373        :N:M:D
    3  sysHZComb1003                          0.0000   +/-   0.5664        :N:M:D
    4  sysHZComb1004                          0.0000   +/-   0.6487        :N:M:D
    5  sysHZComb1005                          0.0000   +/-   0.8272        :N:M:D
    6  sysHZComb1006                          0.0000   +/-   0.9067        :N:M:D
    7  sysHZComb1007                          0.0000   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0000   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0000   +/-   0.8984        :N:M:D
   10  sysHZComb1010                          0.0000   +/-   0.9950        :N:M:D
   11  sysHZComb1011                          0.0000   +/-   0.9728        :N:M:D
   12  sysHZComb1012                          0.0000   +/-   0.9757        :N:M:D
   13  sysHZComb1013                          0.0000   +/-   0.9656        :N:M:D
   14  sysHZComb1014                          0.0000   +/-   0.9888        :N:M:D
   15  sysHZComb1015                          0.0000   +/-   0.9662        :N:M:D
   16  sysHZComb1016                          0.0000   +/-   0.9763        :N:M:D
   17  sysHZComb1017                          0.0000   +/-   0.9735        :N:M:D
   18  sysHZComb1018                          0.0000   +/-   0.8254        :N:M:D
   19  sysHZComb1019                          0.0000   +/-   0.9842        :N:M:D
   20  sysHZComb1020                          0.0000   +/-   0.9822        :N:M:D
   21  sysHZComb1021                          0.0000   +/-   0.9775        :N:M:D
   22  sysHZComb1022                          0.0000   +/-   0.9726        :N:M:D
   23  sysHZComb1023                          0.0000   +/-   0.9553        :N:M:D
   24  sysHZComb1024                          0.0000   +/-   0.9910        :N:M:D
   25  sysHZComb1025                          0.0000   +/-   0.9940        :N:M:D
   26  sysHZComb1026                          0.0000   +/-   0.9250        :N:M:D
   27  sysHZComb1027                          0.0000   +/-   0.9586        :N:M:D
   28  sysHZComb1028                          0.0000   +/-   0.9788        :N:M:D
   29  sysHZComb1029                          0.0000   +/-   0.9291        :N:M:D
   30  sysHZComb1030                          0.0000   +/-   0.9597        :N:M:D
   31  sysHZComb1031                          0.0000   +/-   0.8530        :N:M:D
   32  sysHZComb1032                          0.0000   +/-   0.9709        :N:M:D
   33  sysHZComb1033                          0.0000   +/-   0.9733        :N:M:D
   34  sysHZComb1034                          0.0000   +/-   0.9865        :N:M:D
   35  sysHZComb1035                          0.0000   +/-   0.9805        :N:M:D
   36  sysHZComb1036                          0.0000   +/-   0.9789        :N:M:D
   37  sysHZComb1037                          0.0000   +/-   0.9772        :N:M:D
   38  sysHZComb1038                          0.0000   +/-   0.9242        :N:M:D
   39  sysHZComb1039                          0.0000   +/-   0.9577        :N:M:D
   40  sysHZComb1040                          0.0000   +/-   0.9390        :N:M:D
   41  sysHZComb1041                          0.0000   +/-   0.8137        :N:M:D
   42  sysHZComb1042                          0.0000   +/-   0.8816        :N:M:D
   43  sysHZComb1043                          0.0000   +/-   0.9234        :N:M:D
   44  sysHZComb1044                          0.0000   +/-   0.9383        :N:M:D
   45  sysHZComb1045                          0.0000   +/-   0.9381        :N:M:D
   46  sysHZComb1046                          0.0000   +/-   0.9614        :N:M:D
   47  sysHZComb1047                          0.0000   +/-   0.9496        :N:M:D
   48  sysHZComb1048                          0.0000   +/-   0.9630        :N:M:D
   49  sysHZComb1049                          0.0000   +/-   0.9498        :N:M:D
   50  sysHZComb1050                          0.0000   +/-   0.9512        :N:M:D
   51  sysHZComb1051                          0.0000   +/-   0.9551        :N:M:D
