   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.3778       6.47862       9.01859       6.45698       9.00607      0.216455E-01  0.125167E-01   15.4631       3.46764       3.37794       3.26327       2.98934       2.36486       0.00000    
  0.109648E-03   80.2683       6.27002       8.71841       6.24717       8.70520      0.228475E-01  0.132055E-01   14.9524       3.35823       3.26821       3.15820       2.88894       2.27880       0.00000    
  0.120226E-03   77.2586       6.06740       8.42699       6.04329       8.41306      0.241104E-01  0.139289E-01   14.4563       3.25185       3.16159       3.05609       2.79144       2.19539       0.00000    
  0.131825E-03   74.3432       5.87043       8.14389       5.84500       8.12919      0.254359E-01  0.146980E-01   13.9742       3.14833       3.05794       2.95678       2.69667       2.11447       0.00000    
  0.144543E-03   71.5223       5.67915       7.86914       5.65233       7.85363      0.268258E-01  0.155096E-01   13.5060       3.04769       2.95727       2.86029       2.60464       2.03607       0.00000    
  0.158489E-03   68.7907       5.49330       7.60233       5.46501       7.58597      0.282953E-01  0.163568E-01   13.0510       2.94978       2.85944       2.76648       2.51522       1.96005       0.00000    
  0.173779E-03   66.1490       5.31290       7.34349       5.28306       7.32625      0.298429E-01  0.172401E-01   12.6093       2.85463       2.76449       2.67536       2.42843       1.88641       0.00000    
  0.190545E-03   63.5914       5.13764       7.09219       5.10616       7.07402      0.314741E-01  0.181735E-01   12.1802       2.76206       2.67224       2.58677       2.34410       1.81501       0.00000    
  0.208928E-03   61.1183       4.96752       6.84846       4.93433       6.82930      0.331891E-01  0.191584E-01   11.7636       2.67209       2.58272       2.50071       2.26224       1.74588       0.00000    
  0.229085E-03   58.7251       4.80232       6.61194       4.76734       6.59175      0.349883E-01  0.201915E-01   11.3591       2.58460       2.49580       2.41706       2.18273       1.67888       0.00000    
  0.251186E-03   56.4118       4.64203       6.38260       4.60516       6.36133      0.368680E-01  0.212700E-01   10.9665       2.49959       2.41149       2.33583       2.10557       1.61402       0.00000    
  0.275420E-03   54.1744       4.48643       6.16017       4.44759       6.13776      0.388424E-01  0.224024E-01   10.5854       2.41694       2.32968       2.25689       2.03065       1.55119       0.00000    
  0.301992E-03   52.0114       4.33545       5.94449       4.29453       5.92090      0.409189E-01  0.235929E-01   10.2154       2.33660       2.25033       2.18021       1.95793       1.49035       0.00000    
  0.331127E-03   49.9207       4.18897       5.73543       4.14587       5.71059      0.430982E-01  0.248419E-01   9.85646       2.25853       2.17339       2.10574       1.88734       1.43146       0.00000    
  0.363073E-03   47.8996       4.04685       5.53276       4.00147       5.50660      0.453833E-01  0.261520E-01   9.50807       2.18264       2.09878       2.03337       1.81882       1.37444       0.00000    
  0.398101E-03   45.9475       3.90905       5.33642       3.86128       5.30889      0.477773E-01  0.275243E-01   9.17017       2.10892       2.02650       1.96312       1.75235       1.31928       0.00000    
  0.436509E-03   44.0605       3.77538       5.14612       3.72508       5.11716      0.502919E-01  0.289634E-01   8.84224       2.03727       1.95643       1.89485       1.68782       1.26588       0.00000    
  0.478622E-03   42.2389       3.64584       4.96187       3.59291       4.93140      0.529257E-01  0.304690E-01   8.52431       1.96768       1.88859       1.82858       1.62523       1.21423       0.00000    
  0.524798E-03   40.4786       3.52021       4.78335       3.46453       4.75130      0.556854E-01  0.320467E-01   8.21583       1.90004       1.82285       1.76420       1.56448       1.16425       0.00000    
  0.575429E-03   38.7800       3.39853       4.61058       3.33996       4.57689      0.585698E-01  0.336958E-01   7.91685       1.83438       1.75924       1.70171       1.50558       1.11593       0.00000    
  0.630945E-03   37.1391       3.28058       4.44325       3.21899       4.40783      0.615934E-01  0.354237E-01   7.62682       1.77057       1.69764       1.64100       1.44841       1.06918       0.00000    
  0.691816E-03   35.5561       3.16637       4.28138       3.10162       4.24415      0.647560E-01  0.372307E-01   7.34576       1.70863       1.63805       1.58208       1.39299       1.02401       0.00000    
  0.758561E-03   34.0278       3.05573       4.12468       2.98766       4.08556      0.680658E-01  0.391194E-01   7.07322       1.64846       1.58039       1.52485       1.33920      0.980322       0.00000    
  0.831745E-03   32.5536       2.94863       3.97312       2.87710       3.93203      0.715225E-01  0.410888E-01   6.80914       1.59004       1.52463       1.46930       1.28706      0.938107       0.00000    
  0.911989E-03   31.1314       2.84495       3.82651       2.76981       3.78337      0.751361E-01  0.431453E-01   6.55318       1.53333       1.47070       1.41536       1.23648      0.897308       0.00000    
  0.999975E-03   29.7598       2.74464       3.68474       2.66572       3.63945      0.789119E-01  0.452923E-01   6.30518       1.47828       1.41857       1.36299       1.18744      0.857890       0.00000    
  0.109645E-02   28.4375       2.64761       3.54770       2.56476       3.50017      0.828538E-01  0.475320E-01   6.06493       1.42485       1.36820       1.31215       1.13990      0.819821       0.00000    
  0.120223E-02   27.1620       2.55375       3.41517       2.46678       3.36531      0.869697E-01  0.498694E-01   5.83208       1.37298       1.31949       1.26278       1.09379      0.783037       0.00000    
  0.131822E-02   25.9332       2.46303       3.28715       2.37177       3.23485      0.912609E-01  0.523046E-01   5.60661       1.32266       1.27244       1.21487       1.04911      0.747534       0.00000    
  0.144540E-02   24.7484       2.37533       3.16338       2.27959       3.10854      0.957385E-01  0.548423E-01   5.38813       1.27382       1.22696       1.16834       1.00577      0.713242       0.00000    
  0.158485E-02   23.6078       2.29065       3.04389       2.19025       2.98641      0.100401      0.574821E-01   5.17666       1.22647       1.18305       1.12319      0.963784      0.680166       0.00000    
  0.173775E-02   22.5083       2.20884       2.92839       2.10358       2.86816      0.105262      0.602300E-01   4.97174       1.18051       1.14060       1.07933      0.923065      0.648227       0.00000    
  0.190540E-02   21.4501       2.12990       2.81692       2.01959       2.75384      0.110317      0.630852E-01   4.77342       1.13596       1.09962       1.03678      0.883623      0.617432       0.00000    
  0.208923E-02   20.4307       2.05371       2.70922       1.93813       2.64316      0.115581      0.660532E-01   4.58129       1.09275       1.06000      0.995456      0.845379      0.587712       0.00000    
  0.229079E-02   19.4500       1.98026       2.60529       1.85921       2.53616      0.121053      0.691336E-01   4.39537       1.05087       1.02174      0.955354      0.808338      0.559068       0.00000    
  0.251180E-02   18.5059       1.90944       2.50492       1.78270       2.43259      0.126743      0.723314E-01   4.21529       1.01026      0.984736      0.916411      0.772436      0.531443       0.00000    
  0.275413E-02   17.5978       1.84122       2.40807       1.70857       2.33242      0.132653      0.756481E-01   4.04099      0.970911      0.948980      0.878614      0.737660      0.504825       0.00000    
  0.301984E-02   16.7242       1.77553       2.31458       1.63674       2.23549      0.138789      0.790851E-01   3.87224      0.932774      0.914398      0.841919      0.703970      0.479175       0.00000    
  0.331118E-02   15.8841       1.71231       2.22435       1.56716       2.14170      0.145154      0.826440E-01   3.70886      0.895822      0.880940      0.806294      0.671334      0.454467       0.00000    
  0.363064E-02   15.0768       1.65152       2.13730       1.49976       2.05097      0.151752      0.863256E-01   3.55073      0.860030      0.848571      0.771719      0.639734      0.430681       0.00000    
  0.398091E-02   14.3004       1.59306       2.05326       1.43446       1.96312      0.158594      0.901325E-01   3.39759      0.825344      0.817207      0.738142      0.609121      0.407774       0.00000    
  0.436498E-02   13.5549       1.53693       1.97221       1.37125       1.87815      0.165679      0.940647E-01   3.24941      0.791762      0.786844      0.705562      0.579493      0.385744       0.00000    
  0.478610E-02   12.8382       1.48303       1.89397       1.31002       1.79584      0.173014      0.981254E-01   3.10586      0.759217      0.757379      0.673922      0.550799      0.364539       0.00000    
  0.524785E-02   12.1506       1.43136       1.81853       1.25076       1.71622      0.180600      0.102314       2.96697      0.727716      0.728824      0.643227      0.523043      0.344164       0.00000    
  0.575415E-02   11.4899       1.38180       1.74569       1.19336       1.63907      0.188442      0.106628       2.83243      0.697189      0.701078      0.613419      0.496172      0.324568       0.00000    
  0.630929E-02   10.8563       1.33437       1.67548       1.13783       1.56441      0.196539      0.111068       2.70225      0.667643      0.674151      0.584505      0.470191      0.305756       0.00000    
  0.691799E-02   10.2481       1.28896       1.60771       1.08406       1.49207      0.204899      0.115633       2.57614      0.639007      0.647956      0.556435      0.445056      0.287682       0.00000    
  0.758542E-02   9.66514       1.24557       1.54237       1.03205       1.42205      0.213523      0.120323       2.45410      0.611282      0.622493      0.529208      0.420766      0.270347       0.00000    
  0.831724E-02   9.10604       1.20411       1.47934      0.981697       1.35421      0.222413      0.125135       2.33591      0.584408      0.597700      0.502792      0.397290      0.253717       0.00000    
  0.911966E-02   8.57229       1.16472       1.41878      0.933131       1.28871      0.231588      0.130076       2.22184      0.558443      0.573620      0.477248      0.374688      0.237838       0.00000    
  0.999950E-02   8.05752       1.12687       1.36004      0.885877       1.22492      0.240995      0.135118       2.11080      0.533138      0.550048      0.452347      0.352740      0.222526       0.00000    
  0.109642E-01   7.56195       1.09058       1.30308      0.839908       1.16281      0.250677      0.140275       2.00272      0.508453      0.526933      0.428080      0.331455      0.207795       0.00000    
  0.120220E-01   7.09491       1.05672       1.24909      0.796085       1.10354      0.260637      0.145545       1.89963      0.484861      0.504727      0.404898      0.311224      0.193919       0.00000    
  0.131819E-01   6.64322       1.02410       1.19648      0.753236       1.04556      0.270860      0.150913       1.79880      0.461704      0.482831      0.382212      0.291532      0.180520       0.00000    
  0.144536E-01   6.21449      0.993431       1.14623      0.712088      0.989858      0.281343      0.156375       1.70195      0.439381      0.461632      0.360404      0.272707      0.167821       0.00000    
  0.158481E-01   5.80351      0.964236       1.09770      0.672148      0.935782      0.292088      0.161922       1.60793      0.417603      0.440872      0.339233      0.254544      0.155676       0.00000    
  0.173770E-01   5.41092      0.936598       1.05103      0.633520      0.883493      0.303078      0.167541       1.51701      0.396428      0.420625      0.318763      0.237093      0.144105       0.00000    
  0.190535E-01   5.03808      0.910638       1.00639      0.596319      0.833162      0.314319      0.173224       1.42948      0.375899      0.400947      0.299064      0.220420      0.133152       0.00000    
  0.208917E-01   4.67986      0.885889      0.963164      0.560106      0.784215      0.325783      0.178949       1.34432      0.355774      0.381626      0.279920      0.204332      0.122668       0.00000    
  0.229073E-01   4.34260      0.862948      0.922170      0.525471      0.737461      0.337477      0.184709       1.26293      0.336365      0.362969      0.261649      0.189106      0.112844       0.00000    
  0.251174E-01   4.01728      0.840951      0.882271      0.491593      0.691799      0.349358      0.190472       1.18339      0.317214      0.344551      0.243834      0.174379      0.103414       0.00000    
  0.275406E-01   3.71301      0.820780      0.844652      0.459351      0.648425      0.361429      0.196227       1.10778      0.298801      0.326835      0.226940      0.160549      0.946491E-01   0.00000    
  0.301976E-01   3.41951      0.801419      0.807958      0.427782      0.606025      0.373636      0.201933       1.03381      0.280588      0.309302      0.210475      0.147194      0.862478E-01   0.00000    
  0.331110E-01   3.14585      0.783763      0.773401      0.397794      0.565829      0.385969      0.207572      0.963623      0.263078      0.292438      0.194916      0.134716      0.784752E-01   0.00000    
  0.363055E-01   2.88310      0.766882      0.739729      0.368528      0.526642      0.398354      0.213087      0.895170      0.245789      0.275751      0.179820      0.122739      0.710709E-01   0.00000    
  0.398081E-01   2.63800      0.751459      0.707870      0.340694      0.489416      0.410765      0.218454      0.830111      0.229126      0.259628      0.165559      0.111569      0.642287E-01   0.00000    
  0.436487E-01   2.40481      0.736846      0.676949      0.313739      0.453347      0.423107      0.223602      0.767086      0.212776      0.243722      0.151844      0.100963      0.577814E-01   0.00000    
  0.478598E-01   2.18670      0.723360      0.647415      0.288034      0.418920      0.435326      0.228495      0.706953      0.196966      0.228240      0.138864      0.910682E-01  0.518161E-01   0.00000    
  0.524772E-01   1.98166      0.710695      0.618866      0.263399      0.385828      0.447295      0.233038      0.649227      0.181596      0.213032      0.126522      0.818036E-01  0.462742E-01   0.00000    
  0.575400E-01   1.78922      0.698767      0.591231      0.239847      0.354052      0.458920      0.237179      0.593898      0.166696      0.198104      0.114812      0.731506E-01  0.411352E-01   0.00000    
  0.630913E-01   1.61075      0.687584      0.564579      0.217549      0.323772      0.470036      0.240807      0.541320      0.152373      0.183516      0.103819      0.651754E-01  0.364364E-01   0.00000    
  0.691782E-01   1.44283      0.676701      0.538391      0.196210      0.294546      0.480491      0.243845      0.490756      0.138486      0.169102      0.933718E-01  0.577234E-01  0.320720E-01   0.00000    
