   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   7.63495       1.00883       1.20866      0.997395       1.20209      0.114390E-01  0.657066E-02   2.19949      0.759639      0.670427      0.531666      0.237755       0.00000       0.00000    
  0.109648E-03   7.53298      0.992546       1.18654      0.980415       1.17957      0.121308E-01  0.696860E-02   2.15999      0.746607      0.656309      0.523265      0.233808       0.00000       0.00000    
  0.120226E-03   7.43280      0.976487       1.16476      0.963625       1.15737      0.128624E-01  0.738950E-02   2.12100      0.733722      0.642404      0.514970      0.229903       0.00000       0.00000    
  0.131825E-03   7.33431      0.960649       1.14333      0.947012       1.13549      0.136372E-01  0.783486E-02   2.08250      0.720975      0.628716      0.506776      0.226037       0.00000       0.00000    
  0.144543E-03   7.23753      0.945033       1.12224      0.930578       1.11393      0.144554E-01  0.830500E-02   2.04451      0.708368      0.615247      0.498685      0.222210       0.00000       0.00000    
  0.158489E-03   7.14244      0.929643       1.10151      0.914318       1.09270      0.153241E-01  0.880418E-02   2.00702      0.695897      0.602008      0.490693      0.218421       0.00000       0.00000    
  0.173779E-03   7.04903      0.914477       1.08113      0.898234       1.07180      0.162425E-01  0.933196E-02   1.97003      0.683563      0.588999      0.482801      0.214671       0.00000       0.00000    
  0.190545E-03   6.95724      0.899532       1.06113      0.882317       1.05124      0.172148E-01  0.989079E-02   1.93355      0.671360      0.576231      0.475004      0.210957       0.00000       0.00000    
  0.208928E-03   6.86706      0.884808       1.04148      0.866568       1.03100      0.182400E-01  0.104801E-01   1.89757      0.659288      0.563702      0.467302      0.207279       0.00000       0.00000    
  0.229085E-03   6.77847      0.870308       1.02222      0.850983       1.01112      0.193257E-01  0.111045E-01   1.86210      0.647346      0.551429      0.459691      0.203637       0.00000       0.00000    
  0.251186E-03   6.69144      0.856035       1.00335      0.835563      0.991583      0.204723E-01  0.117647E-01   1.82715      0.635532      0.539410      0.452172      0.200031       0.00000       0.00000    
  0.275420E-03   6.60595      0.841988      0.984863      0.820302      0.972401      0.216852E-01  0.124626E-01   1.79270      0.623845      0.527658      0.444742      0.196458       0.00000       0.00000    
  0.301992E-03   6.52196      0.828165      0.966775      0.805198      0.953576      0.229668E-01  0.131988E-01   1.75877      0.612280      0.516177      0.437399      0.192918       0.00000       0.00000    
  0.331127E-03   6.43945      0.814570      0.949091      0.790250      0.935114      0.243205E-01  0.139765E-01   1.72536      0.600839      0.504974      0.430141      0.189411       0.00000       0.00000    
  0.363073E-03   6.35835      0.801206      0.931822      0.775455      0.917023      0.257509E-01  0.147995E-01   1.69248      0.589520      0.494058      0.422965      0.185935       0.00000       0.00000    
  0.398101E-03   6.27867      0.788074      0.914971      0.760814      0.899303      0.272594E-01  0.156683E-01   1.66012      0.578324      0.483432      0.415871      0.182491       0.00000       0.00000    
  0.436509E-03   6.20035      0.775180      0.898552      0.746326      0.881966      0.288535E-01  0.165861E-01   1.62829      0.567250      0.473112      0.408854      0.179076       0.00000       0.00000    
  0.478622E-03   6.12339      0.762524      0.882565      0.731991      0.865012      0.305332E-01  0.175533E-01   1.59700      0.556300      0.463095      0.401917      0.175691       0.00000       0.00000    
  0.524798E-03   6.04770      0.750115      0.867027      0.717806      0.848452      0.323086E-01  0.185756E-01   1.56626      0.545471      0.453399      0.395053      0.172335       0.00000       0.00000    
  0.575429E-03   5.97329      0.737951      0.851938      0.703772      0.832285      0.341786E-01  0.196524E-01   1.53606      0.534766      0.444021      0.388264      0.169007       0.00000       0.00000    
  0.630945E-03   5.90008      0.726044      0.837310      0.689890      0.816521      0.361533E-01  0.207895E-01   1.50641      0.524185      0.434975      0.381546      0.165705       0.00000       0.00000    
  0.691816E-03   5.82807      0.714391      0.823144      0.676159      0.801158      0.382318E-01  0.219863E-01   1.47732      0.513729      0.426261      0.374897      0.162430       0.00000       0.00000    
  0.758561E-03   5.75717      0.703007      0.809452      0.662582      0.786202      0.404247E-01  0.232493E-01   1.44878      0.503402      0.417887      0.368315      0.159180       0.00000       0.00000    
  0.831745E-03   5.68736      0.691892      0.796234      0.649158      0.771655      0.427333E-01  0.245794E-01   1.42081      0.493203      0.409856      0.361798      0.155955       0.00000       0.00000    
  0.911989E-03   5.61858      0.681058      0.783498      0.635892      0.757517      0.451655E-01  0.259810E-01   1.39341      0.483138      0.402172      0.355345      0.152754       0.00000       0.00000    
  0.999975E-03   5.55078      0.670511      0.771248      0.622786      0.743792      0.477253E-01  0.274564E-01   1.36658      0.473209      0.394840      0.348952      0.149577       0.00000       0.00000    
  0.109645E-02   5.48391      0.660258      0.759483      0.609840      0.730474      0.504181E-01  0.290089E-01   1.34031      0.463419      0.387856      0.342618      0.146421       0.00000       0.00000    
  0.120223E-02   5.41785      0.650309      0.748204      0.597056      0.717560      0.532531E-01  0.306437E-01   1.31462      0.453771      0.381221      0.336339      0.143286       0.00000       0.00000    
  0.131822E-02   5.35261      0.640669      0.737409      0.584437      0.705047      0.562317E-01  0.323618E-01   1.28948      0.444267      0.374934      0.330113      0.140170       0.00000       0.00000    
  0.144540E-02   5.28807      0.631358      0.727097      0.571992      0.692927      0.593665E-01  0.341701E-01   1.26492      0.434918      0.368988      0.323939      0.137074       0.00000       0.00000    
  0.158485E-02   5.22423      0.622377      0.717269      0.559720      0.681200      0.626565E-01  0.360683E-01   1.24092      0.425723      0.363384      0.317816      0.133997       0.00000       0.00000    
  0.173775E-02   5.16091      0.613746      0.707906      0.547630      0.669841      0.661156E-01  0.380649E-01   1.21747      0.416694      0.358105      0.311736      0.130937       0.00000       0.00000    
  0.190540E-02   5.09813      0.605463      0.699012      0.535721      0.658853      0.697419E-01  0.401590E-01   1.19457      0.407828      0.353151      0.305701      0.127893       0.00000       0.00000    
  0.208923E-02   5.03572      0.597556      0.690562      0.524003      0.648203      0.735526E-01  0.423597E-01   1.17221      0.399139      0.348496      0.299706      0.124864       0.00000       0.00000    
  0.229079E-02   4.97368      0.590023      0.682561      0.512476      0.637894      0.775470E-01  0.446663E-01   1.15037      0.390626      0.344143      0.293752      0.121850       0.00000       0.00000    
  0.251180E-02   4.91183      0.582888      0.674974      0.501149      0.627886      0.817393E-01  0.470876E-01   1.12903      0.382300      0.340055      0.287831      0.118849       0.00000       0.00000    
  0.275413E-02   4.85012      0.576154      0.667800      0.490023      0.618174      0.861315E-01  0.496254E-01   1.10820      0.374162      0.336230      0.281944      0.115861       0.00000       0.00000    
  0.301984E-02   4.78840      0.569838      0.661005      0.479104      0.608720      0.907339E-01  0.522853E-01   1.08782      0.366220      0.332634      0.276085      0.112883       0.00000       0.00000    
  0.331118E-02   4.72659      0.563951      0.654571      0.468398      0.599500      0.955526E-01  0.550708E-01   1.06790      0.358482      0.329247      0.270253      0.109916       0.00000       0.00000    
  0.363064E-02   4.66458      0.558500      0.648477      0.457906      0.590491      0.100594      0.579859E-01   1.04840      0.350947      0.326045      0.264446      0.106959       0.00000       0.00000    
  0.398091E-02   4.60219      0.553505      0.642682      0.447632      0.581644      0.105873      0.610383E-01   1.02928      0.343622      0.322986      0.258658      0.104010       0.00000       0.00000    
  0.436498E-02   4.53939      0.548965      0.637181      0.437576      0.572952      0.111389      0.642288E-01   1.01053      0.336507      0.320064      0.252888      0.101069       0.00000       0.00000    
  0.478610E-02   4.47588      0.544900      0.631911      0.427739      0.564344      0.117161      0.675671E-01  0.992083      0.329605      0.317213      0.247131      0.981335E-01   0.00000       0.00000    
  0.524785E-02   4.41170      0.541308      0.626879      0.418119      0.555826      0.123188      0.710526E-01  0.973946      0.322915      0.314440      0.241386      0.952046E-01   0.00000       0.00000    
  0.575415E-02   4.34652      0.538202      0.622014      0.408713      0.547317      0.129489      0.746966E-01  0.956029      0.316432      0.311669      0.235648      0.922809E-01   0.00000       0.00000    
  0.630929E-02   4.28038      0.535583      0.617323      0.399520      0.538825      0.136063      0.784980E-01  0.938344      0.310157      0.308909      0.229916      0.893623E-01   0.00000       0.00000    
  0.691799E-02   4.21291      0.533453      0.612740      0.390522      0.530272      0.142931      0.824679E-01  0.920794      0.304074      0.306089      0.224184      0.864481E-01   0.00000       0.00000    
  0.758542E-02   4.14414      0.531816      0.608265      0.381723      0.521660      0.150093      0.866057E-01  0.903383      0.298185      0.303208      0.218451      0.835380E-01   0.00000       0.00000    
  0.831724E-02   4.07373      0.530663      0.603852      0.373094      0.512930      0.157569      0.909225E-01  0.886024      0.292462      0.300216      0.212713      0.806322E-01   0.00000       0.00000    
  0.911966E-02   4.00155      0.530038      0.599496      0.364649      0.504062      0.165388      0.954341E-01  0.868711      0.286916      0.297089      0.206973      0.777331E-01   0.00000       0.00000    
  0.999950E-02   3.92760      0.529808      0.595148      0.356313      0.495040      0.173495      0.100108      0.851353      0.281479      0.293825      0.201215      0.748340E-01   0.00000       0.00000    
  0.109642E-01   3.85087      0.529992      0.590728      0.348029      0.485744      0.181963      0.104983      0.833773      0.276105      0.290340      0.195404      0.719236E-01   0.00000       0.00000    
  0.120220E-01   3.77309      0.530786      0.586467      0.339986      0.476405      0.190800      0.110063      0.816390      0.270931      0.286745      0.189659      0.690551E-01   0.00000       0.00000    
  0.131819E-01   3.69189      0.531906      0.582073      0.331891      0.466724      0.200015      0.115349      0.798615      0.265724      0.282889      0.183835      0.661671E-01   0.00000       0.00000    
  0.144536E-01   3.60888      0.533521      0.577761      0.323908      0.456918      0.209613      0.120843      0.780826      0.260599      0.278879      0.178039      0.633086E-01   0.00000       0.00000    
  0.158481E-01   3.52266      0.535501      0.573392      0.315871      0.446832      0.219630      0.126560      0.762703      0.255420      0.274636      0.172197      0.604510E-01   0.00000       0.00000    
  0.173770E-01   3.43376      0.537863      0.569041      0.307800      0.436546      0.230062      0.132495      0.744347      0.250190      0.270204      0.166342      0.576101E-01   0.00000       0.00000    
  0.190535E-01   3.34203      0.540626      0.564738      0.299670      0.426072      0.240957      0.138666      0.725742      0.244876      0.265591      0.160481      0.547937E-01   0.00000       0.00000    
  0.208917E-01   3.24683      0.543672      0.560409      0.291364      0.415345      0.252307      0.145064      0.706710      0.239380      0.260775      0.154570      0.519846E-01   0.00000       0.00000    
  0.229073E-01   3.14920      0.547142      0.556231      0.282978      0.404521      0.264165      0.151710      0.687499      0.233755      0.255832      0.148689      0.492225E-01   0.00000       0.00000    
  0.251174E-01   3.04752      0.550815      0.552001      0.274292      0.393408      0.276523      0.158594      0.667699      0.227828      0.250676      0.142732      0.464638E-01   0.00000       0.00000    
  0.275406E-01   2.94378      0.554924      0.548000      0.265489      0.382270      0.289435      0.165730      0.647759      0.221718      0.245439      0.136830      0.437710E-01   0.00000       0.00000    
  0.301976E-01   2.83578      0.559208      0.543942      0.256302      0.370835      0.302906      0.173107      0.627137      0.215215      0.239989      0.130846      0.410875E-01   0.00000       0.00000    
  0.331110E-01   2.72603      0.563928      0.540136      0.246953      0.359402      0.316974      0.180734      0.606355      0.208471      0.234473      0.124929      0.384824E-01   0.00000       0.00000    
  0.363055E-01   2.61232      0.568851      0.536269      0.237192      0.347670      0.331659      0.188599      0.584862      0.201289      0.228726      0.118944      0.359026E-01   0.00000       0.00000    
  0.398081E-01   2.49707      0.574201      0.532595      0.227225      0.335899      0.346977      0.196696      0.563124      0.193818      0.222875      0.113024      0.334070E-01   0.00000       0.00000    
  0.436487E-01   2.37873      0.579843      0.528834      0.216883      0.323827      0.362960      0.205007      0.540710      0.185922      0.216756      0.107071      0.309611E-01   0.00000       0.00000    
  0.478598E-01   2.25908      0.585910      0.525113      0.206315      0.311606      0.379594      0.213507      0.517921      0.177714      0.210436      0.101171      0.286009E-01   0.00000       0.00000    
  0.524772E-01   2.13769      0.592378      0.521234      0.195468      0.299065      0.396909      0.222168      0.494534      0.169150      0.203779      0.952857E-01  0.263181E-01   0.00000       0.00000    
  0.575400E-01   2.01539      0.599272      0.517152      0.184416      0.286210      0.414856      0.230943      0.470626      0.160296      0.196770      0.894396E-01  0.241208E-01   0.00000       0.00000    
  0.630913E-01   1.89302      0.606666      0.512775      0.173226      0.273000      0.433439      0.239775      0.446227      0.151199      0.189338      0.836627E-01  0.220275E-01   0.00000       0.00000    
  0.691782E-01   1.77046      0.614463      0.507880      0.161900      0.259296      0.452564      0.248585      0.421195      0.141880      0.181377      0.779183E-01  0.200195E-01   0.00000       0.00000    
  0.758523E-01   1.64968      0.622784      0.502486      0.150607      0.245205      0.472178      0.257281      0.395812      0.132470      0.172911      0.722945E-01  0.181366E-01   0.00000       0.00000    
  0.831703E-01   1.52975      0.631403      0.496223      0.139287      0.230486      0.492116      0.265737      0.369773      0.122947      0.163778      0.667083E-01  0.163399E-01   0.00000       0.00000    
  0.911943E-01   1.41344      0.640416      0.489197      0.128178      0.215382      0.512238      0.273815      0.343560      0.113498      0.154096      0.612860E-01  0.146799E-01   0.00000       0.00000    
  0.999925E-01   1.29934      0.649447      0.480964      0.117175      0.199645      0.532272      0.281319      0.316820      0.104067      0.143720      0.559245E-01  0.131079E-01   0.00000       0.00000    
  0.109639       1.19038      0.658490      0.471667      0.106534      0.183602      0.551956      0.288064      0.290136      0.948624E-01  0.132845      0.507576E-01  0.116717E-01   0.00000       0.00000    
  0.120217       1.08486      0.666939      0.460831      0.961114E-01  0.167083      0.570828      0.293749      0.263194      0.857890E-01  0.121400      0.456823E-01  0.103224E-01   0.00000       0.00000    
  0.131815      0.986071      0.674664      0.448630      0.862040E-01  0.150515      0.588460      0.298115      0.236719      0.770996E-01  0.109670      0.408451E-01  0.910446E-02   0.00000       0.00000    
  0.144533      0.892340      0.681035      0.434830      0.766722E-01  0.133897      0.604363      0.300933      0.210569      0.686937E-01  0.977237E-01  0.361733E-01  0.797856E-02   0.00000       0.00000    
  0.158477      0.804467      0.685323      0.419208      0.675932E-01  0.117468      0.617730      0.301740      0.185062      0.606456E-01  0.857619E-01  0.317064E-01  0.694765E-02   0.00000       0.00000    
  0.173766      0.722579      0.686844      0.401712      0.590013E-01  0.101489      0.627842      0.300223      0.160490      0.529949E-01  0.740186E-01  0.274702E-01  0.600638E-02   0.00000       0.00000    
  0.190530      0.646526      0.684752      0.382229      0.509173E-01  0.862077E-01  0.633834      0.296021      0.137125      0.457695E-01  0.627220E-01  0.234857E-01  0.514782E-02   0.00000       0.00000    
  0.208912      0.575907      0.678131      0.360654      0.433561E-01  0.718589E-01  0.634775      0.288795      0.115215      0.389913E-01  0.520864E-01  0.197725E-01  0.436481E-02   0.00000       0.00000    
  0.229067      0.510208      0.666043      0.336917      0.363398E-01  0.586600E-01  0.629704      0.278257      0.949998E-01  0.326878E-01  0.423075E-01  0.163525E-01  0.365197E-02   0.00000       0.00000    
  0.251167      0.448743      0.647558      0.310989      0.298905E-01  0.467833E-01  0.617667      0.264205      0.766738E-01  0.268859E-01  0.335382E-01  0.132451E-01  0.300460E-02   0.00000       0.00000    
  0.275399      0.390807      0.621865      0.282922      0.240358E-01  0.363464E-01  0.597829      0.246575      0.603822E-01  0.216157E-01  0.258787E-01  0.104678E-01  0.242008E-02   0.00000       0.00000    
  0.301969      0.335783      0.588328      0.252885      0.188092E-01  0.274133E-01  0.569519      0.225472      0.462225E-01  0.169113E-01  0.193778E-01  0.803550E-02  0.189793E-02   0.00000       0.00000    
  0.331102      0.283200      0.546633      0.221211      0.142406E-01  0.199789E-01  0.532392      0.201232      0.342196E-01  0.128017E-01  0.140227E-01  0.595620E-02  0.143890E-02   0.00000       0.00000    
  0.363046      0.232965      0.496896      0.188445      0.103569E-01  0.139883E-01  0.486540      0.174456      0.243452E-01  0.931160E-02  0.975619E-02  0.423206E-02  0.104531E-02   0.00000       0.00000    
  0.398071      0.185363      0.439794      0.155362      0.716987E-02  0.933454E-02  0.432624      0.146028      0.165044E-01  0.645055E-02  0.647946E-02  0.285507E-02  0.719317E-03   0.00000       0.00000    
  0.436476      0.141124      0.376695      0.122970      0.466745E-02  0.587037E-02  0.372028      0.117100      0.105378E-01  0.420584E-02  0.406524E-02  0.180513E-02  0.461607E-03   0.00000       0.00000    
  0.478586      0.101373      0.309709      0.924632E-01  0.281286E-02  0.342877E-02  0.306896      0.890344E-01  0.624163E-02  0.254234E-02  0.237703E-02  0.105174E-02  0.270526E-03   0.00000       0.00000    
  0.524759      0.673994E-01  0.241732      0.651175E-01  0.153341E-02  0.181700E-02  0.240199      0.633005E-01  0.335041E-02  0.139318E-02  0.126669E-02  0.550313E-03  0.140233E-03   0.00000       0.00000    
