   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.00713      0.588935      0.833061      0.580825      0.828287      0.810993E-02  0.477343E-02   1.40911      0.580825      0.491748      0.336539       0.00000       0.00000       0.00000    
  0.109648E-03   1.01668      0.579022      0.816030      0.570385      0.810948      0.863680E-02  0.508204E-02   1.38133      0.570385      0.479962      0.330986       0.00000       0.00000       0.00000    
  0.120226E-03   1.02689      0.569297      0.799304      0.560100      0.793894      0.919713E-02  0.540995E-02   1.35399      0.560100      0.468372      0.325522       0.00000       0.00000       0.00000    
  0.131825E-03   1.03777      0.559753      0.782882      0.549960      0.777122      0.979291E-02  0.576061E-02   1.32708      0.549960      0.456979      0.320142       0.00000       0.00000       0.00000    
  0.144543E-03   1.04932      0.550391      0.766767      0.539967      0.760634      0.104245E-01  0.613340E-02   1.30060      0.539967      0.445786      0.314848       0.00000       0.00000       0.00000    
  0.158489E-03   1.06159      0.541216      0.750971      0.530119      0.744442      0.110967E-01  0.652881E-02   1.27456      0.530119      0.434802      0.309640       0.00000       0.00000       0.00000    
  0.173779E-03   1.07457      0.532227      0.735492      0.520418      0.728546      0.118090E-01  0.694666E-02   1.24896      0.520418      0.424028      0.304517       0.00000       0.00000       0.00000    
  0.190545E-03   1.08829      0.523420      0.720335      0.510853      0.712942      0.125661E-01  0.739312E-02   1.22380      0.510853      0.413469      0.299473       0.00000       0.00000       0.00000    
  0.208928E-03   1.10276      0.514793      0.705496      0.501426      0.697627      0.133669E-01  0.786840E-02   1.19905      0.501426      0.403122      0.294506       0.00000       0.00000       0.00000    
  0.229085E-03   1.11800      0.506353      0.690993      0.492132      0.682620      0.142215E-01  0.837313E-02   1.17475      0.492132      0.393005      0.289615       0.00000       0.00000       0.00000    
  0.251186E-03   1.13401      0.498104      0.676831      0.482972      0.667925      0.151316E-01  0.890605E-02   1.15090      0.482972      0.383122      0.284803       0.00000       0.00000       0.00000    
  0.275420E-03   1.15083      0.490042      0.663015      0.473942      0.653542      0.161000E-01  0.947288E-02   1.12748      0.473942      0.373478      0.280064       0.00000       0.00000       0.00000    
  0.301992E-03   1.16845      0.482167      0.649546      0.465038      0.639470      0.171286E-01  0.100766E-01   1.10451      0.465038      0.364072      0.275398       0.00000       0.00000       0.00000    
  0.331127E-03   1.18690      0.474479      0.636436      0.456261      0.625718      0.182183E-01  0.107176E-01   1.08198      0.456261      0.354915      0.270803       0.00000       0.00000       0.00000    
  0.363073E-03   1.20619      0.466979      0.623694      0.447611      0.612297      0.193680E-01  0.113970E-01   1.05991      0.447611      0.346020      0.266278       0.00000       0.00000       0.00000    
  0.398101E-03   1.22632      0.459670      0.611324      0.439086      0.599208      0.205835E-01  0.121163E-01   1.03829      0.439086      0.337386      0.261821       0.00000       0.00000       0.00000    
  0.436509E-03   1.24733      0.452562      0.599340      0.430682      0.586459      0.218802E-01  0.128807E-01   1.01714      0.430682      0.329028      0.257432       0.00000       0.00000       0.00000    
  0.478622E-03   1.26920      0.445655      0.587742      0.422399      0.574052      0.232558E-01  0.136899E-01  0.996451      0.422399      0.320943      0.253109       0.00000       0.00000       0.00000    
  0.524798E-03   1.29196      0.438952      0.576547      0.414236      0.561998      0.247155E-01  0.145490E-01  0.976235      0.414236      0.313151      0.248848       0.00000       0.00000       0.00000    
  0.575429E-03   1.31560      0.432453      0.565755      0.406194      0.550298      0.262585E-01  0.154574E-01  0.956492      0.406194      0.305649      0.244649       0.00000       0.00000       0.00000    
  0.630945E-03   1.34014      0.426167      0.555386      0.398271      0.538963      0.278966E-01  0.164223E-01  0.937234      0.398271      0.298453      0.240510       0.00000       0.00000       0.00000    
  0.691816E-03   1.36557      0.420094      0.545437      0.390465      0.527994      0.296290E-01  0.174434E-01  0.918459      0.390465      0.291563      0.236431       0.00000       0.00000       0.00000    
  0.758561E-03   1.39190      0.414244      0.535927      0.382778      0.517402      0.314659E-01  0.185255E-01  0.900179      0.382778      0.284993      0.232409       0.00000       0.00000       0.00000    
  0.831745E-03   1.41912      0.408617      0.526857      0.375209      0.507189      0.334079E-01  0.196680E-01  0.882398      0.375209      0.278745      0.228444       0.00000       0.00000       0.00000    
  0.911989E-03   1.44722      0.403224      0.518239      0.367760      0.497361      0.354641E-01  0.208781E-01  0.865120      0.367760      0.272828      0.224533       0.00000       0.00000       0.00000    
