   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.50081      0.655885       1.00105      0.652058       1.00025      0.382764E-02  0.803328E-03   1.65230      0.584775      0.584517      0.415730      0.672823E-01   0.00000       0.00000    
  0.109648E-03   1.63100      0.649701      0.990712      0.645591      0.989838      0.410997E-02  0.873185E-03   1.63543      0.578606      0.578327      0.411512      0.669857E-01   0.00000       0.00000    
  0.120226E-03   1.75039      0.643496      0.980374      0.639069      0.979420      0.442669E-02  0.953303E-03   1.61849      0.572451      0.572149      0.407272      0.666175E-01   0.00000       0.00000    
  0.131825E-03   1.86557      0.637286      0.970041      0.632527      0.969003      0.475942E-02  0.103831E-02   1.60153      0.566305      0.565977      0.403025      0.662220E-01   0.00000       0.00000    
  0.144543E-03   1.97472      0.631073      0.959715      0.625958      0.958585      0.511506E-02  0.113033E-02   1.58454      0.560170      0.559816      0.398769      0.657873E-01   0.00000       0.00000    
  0.158489E-03   2.07602      0.624864      0.949407      0.619357      0.948174      0.550627E-02  0.123348E-02   1.56753      0.554054      0.553670      0.394503      0.653029E-01   0.00000       0.00000    
  0.173779E-03   2.17356      0.618660      0.939110      0.612744      0.937767      0.591625E-02  0.134259E-02   1.55051      0.547949      0.547533      0.390234      0.647949E-01   0.00000       0.00000    
  0.190545E-03   2.26401      0.612472      0.928836      0.606108      0.927372      0.636460E-02  0.146402E-02   1.53348      0.541865      0.541414      0.385958      0.642431E-01   0.00000       0.00000    
  0.208928E-03   2.34918      0.606305      0.918588      0.599458      0.916991      0.684708E-02  0.159667E-02   1.51645      0.535799      0.535311      0.381680      0.636595E-01   0.00000       0.00000    
  0.229085E-03   2.43093      0.600153      0.908355      0.592801      0.906618      0.735190E-02  0.173668E-02   1.49942      0.529745      0.529219      0.377400      0.630553E-01   0.00000       0.00000    
  0.251186E-03   2.50486      0.594047      0.898169      0.586130      0.896272      0.791698E-02  0.189702E-02   1.48240      0.523724      0.523153      0.373119      0.624056E-01   0.00000       0.00000    
  0.275420E-03   2.57558      0.587967      0.888007      0.579456      0.885939      0.851161E-02  0.206757E-02   1.46540      0.517718      0.517100      0.368839      0.617377E-01   0.00000       0.00000    
  0.301992E-03   2.64199      0.581924      0.877876      0.572778      0.875625      0.914594E-02  0.225185E-02   1.44840      0.511732      0.511064      0.364560      0.610454E-01   0.00000       0.00000    
  0.331127E-03   2.70254      0.575944      0.867798      0.566099      0.865339      0.984470E-02  0.245897E-02   1.43144      0.505778      0.505054      0.360285      0.603213E-01   0.00000       0.00000    
  0.363073E-03   2.76035      0.569998      0.857747      0.559421      0.855068      0.105770E-01  0.267817E-02   1.41449      0.499838      0.499056      0.356013      0.595826E-01   0.00000       0.00000    
  0.398101E-03   2.81306      0.564122      0.847749      0.552746      0.844827      0.113760E-01  0.292167E-02   1.39757      0.493929      0.493082      0.351745      0.588173E-01   0.00000       0.00000    
  0.436509E-03   2.86182      0.558315      0.837800      0.546078      0.834611      0.122372E-01  0.318834E-02   1.38069      0.488046      0.487129      0.347483      0.580323E-01   0.00000       0.00000    
  0.478622E-03   2.90808      0.552551      0.827881      0.539413      0.824412      0.131382E-01  0.346991E-02   1.36382      0.482178      0.481188      0.343223      0.572349E-01   0.00000       0.00000    
  0.524798E-03   2.94873      0.546906      0.818043      0.532762      0.814251      0.141444E-01  0.379176E-02   1.34701      0.476351      0.475278      0.338973      0.564110E-01   0.00000       0.00000    
  0.575429E-03   2.98694      0.541323      0.808245      0.526118      0.804110      0.152047E-01  0.413492E-02   1.33023      0.470542      0.469382      0.334728      0.555762E-01   0.00000       0.00000    
  0.630945E-03   3.02210      0.535818      0.798496      0.519484      0.793991      0.163335E-01  0.450499E-02   1.31347      0.464756      0.463503      0.330488      0.547277E-01   0.00000       0.00000    
  0.691816E-03   3.05291      0.530446      0.788828      0.512867      0.783906      0.175783E-01  0.492189E-02   1.29677      0.459006      0.457649      0.326257      0.538611E-01   0.00000       0.00000    
  0.758561E-03   3.08171      0.525142      0.779200      0.506259      0.773837      0.188826E-01  0.536319E-02   1.28010      0.453273      0.451807      0.322030      0.529865E-01   0.00000       0.00000    
  0.831745E-03   3.10689      0.519971      0.769649      0.499669      0.763797      0.203026E-01  0.585242E-02   1.26347      0.447571      0.445986      0.317811      0.520978E-01   0.00000       0.00000    
  0.911989E-03   3.12911      0.514929      0.760169      0.493094      0.753780      0.218345E-01  0.638934E-02   1.24687      0.441896      0.440181      0.313599      0.511987E-01   0.00000       0.00000    
  0.999975E-03   3.14952      0.509967      0.750733      0.486530      0.743776      0.234370E-01  0.695638E-02   1.23031      0.436237      0.434386      0.309390      0.502933E-01   0.00000       0.00000    
  0.109645E-02   3.16589      0.505212      0.741405      0.479990      0.733802      0.252215E-01  0.760303E-02   1.21379      0.430615      0.428612      0.305190      0.493749E-01   0.00000       0.00000    
  0.120223E-02   3.18044      0.500567      0.732133      0.473462      0.723839      0.271045E-01  0.829389E-02   1.19730      0.425011      0.422847      0.300992      0.484513E-01   0.00000       0.00000    
  0.131822E-02   3.19281      0.496053      0.722927      0.466949      0.713890      0.291042E-01  0.903722E-02   1.18084      0.419427      0.417091      0.296799      0.475217E-01   0.00000       0.00000    
  0.144540E-02   3.20194      0.491769      0.713832      0.460458      0.703956      0.313107E-01  0.987607E-02   1.16441      0.413874      0.411347      0.292609      0.465840E-01   0.00000       0.00000    
  0.158485E-02   3.20960      0.487599      0.704791      0.453977      0.694027      0.336215E-01  0.107640E-01   1.14800      0.408334      0.405607      0.288420      0.456432E-01   0.00000       0.00000    
  0.173775E-02   3.21466      0.483645      0.695851      0.447515      0.684105      0.361299E-01  0.117457E-01   1.13162      0.402818      0.399872      0.284233      0.446970E-01   0.00000       0.00000    
  0.190540E-02   3.21748      0.479907      0.687007      0.441069      0.674182      0.388377E-01  0.128248E-01   1.11525      0.397322      0.394138      0.280044      0.437471E-01   0.00000       0.00000    
  0.208923E-02   3.21896      0.476300      0.678223      0.434632      0.664258      0.416685E-01  0.139642E-01   1.09889      0.391837      0.388405      0.275854      0.427952E-01   0.00000       0.00000    
  0.229079E-02   3.21750      0.473023      0.669582      0.428214      0.654322      0.448093E-01  0.152594E-01   1.08254      0.386374      0.382665      0.271658      0.418397E-01   0.00000       0.00000    
  0.251180E-02   3.21461      0.469929      0.661019      0.421804      0.644374      0.481255E-01  0.166452E-01   1.06618      0.380921      0.376918      0.267456      0.408831E-01   0.00000       0.00000    
  0.275413E-02   3.21013      0.467040      0.652543      0.415403      0.634411      0.516372E-01  0.181320E-01   1.04981      0.375478      0.371163      0.263248      0.399252E-01   0.00000       0.00000    
  0.301984E-02   3.20314      0.464522      0.644221      0.409013      0.624410      0.555096E-01  0.198108E-01   1.03342      0.370046      0.365385      0.259025      0.389665E-01   0.00000       0.00000    
  0.331118E-02   3.19502      0.462186      0.635974      0.402626      0.614387      0.595606E-01  0.215866E-01   1.01701      0.364618      0.359595      0.254792      0.380076E-01   0.00000       0.00000    
  0.363064E-02   3.18492      0.460185      0.627863      0.396243      0.604320      0.639411E-01  0.235429E-01   1.00056      0.359195      0.353779      0.250542      0.370489E-01   0.00000       0.00000    
  0.398091E-02   3.17300      0.458528      0.619892      0.389861      0.594198      0.686665E-01  0.256939E-01  0.984059      0.353770      0.347929      0.246269      0.360909E-01   0.00000       0.00000    
  0.436498E-02   3.16002      0.457078      0.612004      0.383478      0.584040      0.736002E-01  0.279634E-01  0.967518      0.348344      0.342058      0.241982      0.351335E-01   0.00000       0.00000    
  0.478610E-02   3.14467      0.456132      0.604318      0.377087      0.573788      0.790451E-01  0.305302E-01  0.950874      0.342909      0.336130      0.237657      0.341780E-01   0.00000       0.00000    
  0.524785E-02   3.12807      0.455477      0.596749      0.370687      0.563472      0.847903E-01  0.332772E-01  0.934159      0.337463      0.330164      0.233307      0.332238E-01   0.00000       0.00000    
  0.575415E-02   3.11017      0.455128      0.589302      0.364278      0.553089      0.908506E-01  0.362132E-01  0.917367      0.332007      0.324158      0.228931      0.322711E-01   0.00000       0.00000    
  0.630929E-02   3.09001      0.455356      0.582089      0.357843      0.542567      0.975132E-01  0.395222E-01  0.900410      0.326521      0.318068      0.224499      0.313214E-01   0.00000       0.00000    
  0.691799E-02   3.06882      0.455860      0.574988      0.351393      0.531972      0.104467      0.430158E-01  0.883364      0.321019      0.311934      0.220038      0.303733E-01   0.00000       0.00000    
  0.758542E-02   3.04583      0.456856      0.568088      0.344913      0.521245      0.111943      0.468431E-01  0.866158      0.315485      0.305720      0.215525      0.294278E-01   0.00000       0.00000    
  0.831724E-02   3.02103      0.458376      0.561406      0.338395      0.510365      0.119981      0.510416E-01  0.848759      0.309909      0.299414      0.210950      0.284854E-01   0.00000       0.00000    
  0.911966E-02   2.99517      0.460202      0.554853      0.331853      0.499393      0.128350      0.554599E-01  0.831245      0.304308      0.293053      0.206340      0.275446E-01   0.00000       0.00000    
  0.999950E-02   2.96694      0.462736      0.548600      0.325247      0.488196      0.137489      0.604036E-01  0.813443      0.298640      0.286556      0.201640      0.266070E-01   0.00000       0.00000    
  0.109642E-01   2.93763      0.465598      0.542491      0.318609      0.476890      0.146989      0.656004E-01  0.795499      0.292937      0.279994      0.196897      0.256718E-01   0.00000       0.00000    
  0.120220E-01   2.90621      0.469094      0.536663      0.311905      0.465369      0.157188      0.712941E-01  0.777274      0.287165      0.273301      0.192068      0.247408E-01   0.00000       0.00000    
  0.131819E-01   2.87283      0.473179      0.531103      0.305133      0.453635      0.168047      0.774682E-01  0.758768      0.281319      0.266480      0.187155      0.238131E-01   0.00000       0.00000    
  0.144536E-01   2.83742      0.477867      0.525826      0.298283      0.441677      0.179584      0.841487E-01  0.739960      0.275394      0.259524      0.182153      0.228890E-01   0.00000       0.00000    
  0.158481E-01   2.80005      0.483129      0.520824      0.291354      0.429496      0.191775      0.913274E-01  0.720851      0.269386      0.252435      0.177062      0.219682E-01   0.00000       0.00000    
  0.173770E-01   2.76061      0.488978      0.516112      0.284339      0.417081      0.204638      0.990304E-01  0.701421      0.263288      0.245203      0.171878      0.210510E-01   0.00000       0.00000    
  0.190535E-01   2.71879      0.495481      0.511735      0.277220      0.404396      0.218261      0.107339      0.681616      0.257082      0.237809      0.166587      0.201380E-01   0.00000       0.00000    
  0.208917E-01   2.67451      0.502634      0.507701      0.269989      0.391433      0.232645      0.116267      0.661423      0.250760      0.230248      0.161186      0.192293E-01   0.00000       0.00000    
  0.229073E-01   2.62779      0.510395      0.504001      0.262646      0.378203      0.247750      0.125798      0.640848      0.244321      0.222524      0.155678      0.183251E-01   0.00000       0.00000    
  0.251174E-01   2.57851      0.518766      0.500647      0.255182      0.364696      0.263584      0.135951      0.619878      0.237756      0.214635      0.150061      0.174257E-01   0.00000       0.00000    
  0.275406E-01   2.52625      0.527801      0.497686      0.247575      0.350879      0.280226      0.146807      0.598454      0.231042      0.206558      0.144321      0.165323E-01   0.00000       0.00000    
  0.301976E-01   2.47095      0.537465      0.495114      0.239820      0.336760      0.297645      0.158354      0.576580      0.224175      0.198298      0.138462      0.156453E-01   0.00000       0.00000    
  0.331110E-01   2.41264      0.547702      0.492910      0.231920      0.322357      0.315782      0.170552      0.554277      0.217155      0.189867      0.132491      0.147652E-01   0.00000       0.00000    
  0.363055E-01   2.35120      0.558488      0.491073      0.223866      0.307676      0.334622      0.183397      0.531542      0.209973      0.181267      0.126410      0.138928E-01   0.00000       0.00000    
  0.398081E-01   2.28613      0.569843      0.489635      0.215635      0.292698      0.354208      0.196938      0.508332      0.202605      0.172486      0.120212      0.130302E-01   0.00000       0.00000    
  0.436487E-01   2.21746      0.581695      0.488560      0.207228      0.277453      0.374467      0.211108      0.484681      0.195050      0.163543      0.113910      0.121784E-01   0.00000       0.00000    
  0.478598E-01   2.14529      0.593964      0.487802      0.198652      0.261978      0.395312      0.225824      0.460629      0.187313      0.154459      0.107519      0.113383E-01   0.00000       0.00000    
  0.524772E-01   2.06955      0.606591      0.487324      0.189903      0.246301      0.416688      0.241023      0.436204      0.179392      0.145251      0.101050      0.105112E-01   0.00000       0.00000    
  0.575400E-01   1.98980      0.619535      0.487097      0.180962      0.230442      0.438573      0.256655      0.411405      0.171261      0.135930      0.945120E-01  0.970102E-02   0.00000       0.00000    
  0.630913E-01   1.90626      0.632685      0.487027      0.171843      0.214463      0.460842      0.272564      0.386307      0.162935      0.126533      0.879303E-01  0.890886E-02   0.00000       0.00000    
  0.691782E-01   1.81919      0.645937      0.487014      0.162561      0.198426      0.483376      0.288588      0.360987      0.154425      0.117096      0.813297E-01  0.813602E-02   0.00000       0.00000    
  0.758523E-01   1.72869      0.659191      0.486948      0.153124      0.182391      0.506067      0.304557      0.335515      0.145739      0.107655      0.747352E-01  0.738471E-02   0.00000       0.00000    
  0.831703E-01   1.63459      0.672309      0.486653      0.143530      0.166448      0.528779      0.320205      0.309978      0.136870      0.982639E-01  0.681840E-01  0.666042E-02   0.00000       0.00000    
  0.911943E-01   1.53741      0.685153      0.485950      0.133812      0.150686      0.551342      0.335264      0.284498      0.127848      0.889740E-01  0.617117E-01  0.596412E-02   0.00000       0.00000    
  0.999925E-01   1.43763      0.697599      0.484659      0.123997      0.135182      0.573602      0.349477      0.259179      0.118701      0.798326E-01  0.553494E-01  0.529556E-02   0.00000       0.00000    
