 First iteration    506.83495056397925              377   1.3443897892943746     
After minimisation     506.83   377     1.344

  Partial chi2s 
Dataset    1    439.55(+10.73)   377  HERA1+2 NCep 920                                

 Correlated Chi2    56.561056661650440     
 Log penalty Chi2    10.726184116495071     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1951   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.1819   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.2352   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.7247   +/-   0.9495        :N:M:D
    5  sysHZComb1005                          1.3298   +/-   0.8177        :N:M:D
    6  sysHZComb1006                         -1.3915   +/-   0.8037        :N:M:D
    7  sysHZComb1007                          0.1133   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0125   +/-   0.9986        :N:M:D
    9  sysHZComb1009                         -0.0135   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.1117   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.9474   +/-   0.9675        :N:M:D
   12  sysHZComb1012                          0.4331   +/-   0.9732        :N:M:D
   13  sysHZComb1013                         -0.7274   +/-   0.9629        :N:M:D
   14  sysHZComb1014                         -0.0201   +/-   0.9883        :N:M:D
   15  sysHZComb1015                         -0.0523   +/-   0.9640        :N:M:D
   16  sysHZComb1016                          0.0256   +/-   0.9774        :N:M:D
   17  sysHZComb1017                         -0.1930   +/-   0.9718        :N:M:D
   18  sysHZComb1018                          0.9575   +/-   0.8979        :N:M:D
   19  sysHZComb1019                         -0.4472   +/-   0.9859        :N:M:D
   20  sysHZComb1020                         -0.2821   +/-   0.9825        :N:M:D
   21  sysHZComb1021                         -0.0830   +/-   0.9767        :N:M:D
   22  sysHZComb1022                          0.2454   +/-   0.9707        :N:M:D
   23  sysHZComb1023                         -0.0496   +/-   0.9548        :N:M:D
   24  sysHZComb1024                         -0.0388   +/-   0.9962        :N:M:D
   25  sysHZComb1025                          0.1274   +/-   0.9942        :N:M:D
   26  sysHZComb1026                         -0.2728   +/-   0.9768        :N:M:D
   27  sysHZComb1027                         -0.6277   +/-   0.9892        :N:M:D
   28  sysHZComb1028                          0.4536   +/-   0.9871        :N:M:D
   29  sysHZComb1029                         -0.1991   +/-   0.9517        :N:M:D
   30  sysHZComb1030                         -0.7183   +/-   0.9588        :N:M:D
   31  sysHZComb1031                         -1.3390   +/-   0.9614        :N:M:D
   32  sysHZComb1032                          0.4543   +/-   0.9750        :N:M:D
   33  sysHZComb1033                          0.3458   +/-   0.9788        :N:M:D
   34  sysHZComb1034                         -0.1958   +/-   0.9894        :N:M:D
   35  sysHZComb1035                         -0.1454   +/-   0.9857        :N:M:D
   36  sysHZComb1036                         -0.1896   +/-   0.9807        :N:M:D
   37  sysHZComb1037                          0.7265   +/-   0.9748        :N:M:D
   38  sysHZComb1038                         -0.2107   +/-   0.9350        :N:M:D
   39  sysHZComb1039                         -0.3481   +/-   0.9825        :N:M:D
   40  sysHZComb1040                         -0.1409   +/-   0.9549        :N:M:D
   41  sysHZComb1041                         -0.2593   +/-   0.9865        :N:M:D
   42  sysHZComb1042                          0.4701   +/-   0.9486        :N:M:D
   43  sysHZComb1043                         -0.0965   +/-   0.9362        :N:M:D
   44  sysHZComb1044                         -0.3047   +/-   0.9451        :N:M:D
   45  sysHZComb1045                         -0.4126   +/-   0.9513        :N:M:D
   46  sysHZComb1046                         -0.1060   +/-   0.9784        :N:M:D
   47  sysHZComb1047                          0.4683   +/-   0.9676        :N:M:D
   48  sysHZComb1048                          0.1614   +/-   0.9677        :N:M:D
   49  sysHZComb1049                         -0.4744   +/-   0.9786        :N:M:D
