   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   78.3958       6.38237       9.09831       6.36786       9.09282      0.145098E-01  0.548828E-02   15.4607       3.48428       3.48349       3.32679       2.88358       2.28275       0.00000    
  0.109648E-03   75.6488       6.18672       8.81568       6.17135       8.80986      0.153709E-01  0.582677E-02   14.9812       3.38158       3.38073       3.22594       2.78976       2.20339       0.00000    
  0.120226E-03   73.0164       5.99828       8.54354       5.98197       8.53734      0.163147E-01  0.620069E-02   14.5193       3.28250       3.28159       3.12867       2.69946       2.12729       0.00000    
  0.131825E-03   70.4301       5.81278       8.27566       5.79549       8.26907      0.172959E-01  0.659089E-02   14.0646       3.18490       3.18391       3.03286       2.61059       2.05250       0.00000    
  0.144543E-03   67.9100       5.63149       8.01388       5.61316       8.00687      0.183309E-01  0.700441E-02   13.6200       3.08940       3.08834       2.93914       2.52376       1.97959       0.00000    
  0.158489E-03   65.4790       5.45591       7.76034       5.43646       7.75289      0.194471E-01  0.745366E-02   13.1894       2.99676       2.99563       2.84826       2.43970       1.90922       0.00000    
  0.173779E-03   63.0914       5.28312       7.51085       5.26251       7.50292      0.206056E-01  0.792164E-02   12.7654       2.90552       2.90430       2.75875       2.35699       1.84008       0.00000    
  0.190545E-03   60.7870       5.11571       7.26910       5.09386       7.26067      0.218495E-01  0.842769E-02   12.3545       2.81697       2.81566       2.67191       2.27689       1.77330       0.00000    
  0.208928E-03   58.5467       4.95248       7.03335       4.92931       7.02439      0.231673E-01  0.896719E-02   11.9537       2.73050       2.72910       2.58714       2.19881       1.70835       0.00000    
  0.229085E-03   56.3478       4.79195       6.80150       4.76742       6.79197      0.245334E-01  0.952854E-02   11.5594       2.64539       2.64388       2.50370       2.12203       1.64459       0.00000    
  0.251186E-03   54.2468       4.63786       6.57886       4.61183       6.56871      0.260267E-01  0.101482E-01   11.1805       2.56348       2.56186       2.42344       2.04835       1.58361       0.00000    
  0.275420E-03   52.1872       4.48651       6.36014       4.45893       6.34935      0.275806E-01  0.107961E-01   10.8083       2.48293       2.48121       2.34453       1.97599       1.52381       0.00000    
  0.301992E-03   50.1833       4.33885       6.14670       4.30963       6.13521      0.292161E-01  0.114820E-01   10.4448       2.40422       2.40238       2.26743       1.90541       1.46560       0.00000    
  0.331127E-03   48.2574       4.19641       5.94068       4.16543       5.92845      0.309801E-01  0.122286E-01   10.0939       2.32811       2.32612       2.19290       1.83732       1.40961       0.00000    
  0.363073E-03   46.3686       4.05646       5.73821       4.02365       5.72520      0.328099E-01  0.130066E-01   9.74886       2.25322       2.25110       2.11960       1.77043       1.35468       0.00000    
  0.398101E-03   44.5497       3.92123       5.54243       3.88646       5.52858      0.347694E-01  0.138468E-01   9.41504       2.18067       2.17840       2.04860       1.70578       1.30175       0.00000    
  0.436509E-03   42.7867       3.78980       5.35202       3.75295       5.33728      0.368458E-01  0.147441E-01   9.09023       2.11000       2.10757       1.97946       1.64295       1.25042       0.00000    
  0.478622E-03   41.0591       3.66077       5.16502       3.62178       5.14934      0.389971E-01  0.156779E-01   8.77112       2.04052       2.03792       1.91150       1.58126       1.20009       0.00000    
  0.524798E-03   39.4132       3.53736       4.98592       3.49601       4.96921      0.413408E-01  0.167071E-01   8.46523       1.97379       1.97101       1.84626       1.52223       1.15210       0.00000    
  0.575429E-03   37.8035       3.41645       4.81034       3.37267       4.79256      0.437807E-01  0.177849E-01   8.16523       1.90829       1.90532       1.78224       1.46438       1.10515       0.00000    
  0.630945E-03   36.2396       3.29871       4.63922       3.25237       4.62030      0.463420E-01  0.189238E-01   7.87267       1.84435       1.84118       1.71976       1.40802       1.05950       0.00000    
  0.691816E-03   34.7426       3.18565       4.47463       3.13655       4.45447      0.491030E-01  0.201651E-01   7.59101       1.78269       1.77930       1.65953       1.35386       1.01577       0.00000    
  0.758561E-03   33.2768       3.07478       4.31310       3.02282       4.29164      0.519642E-01  0.214583E-01   7.31446       1.72209       1.71847       1.60036       1.30072      0.972931       0.00000    
  0.831745E-03   31.8683       2.96796       4.15720       2.91294       4.13435      0.550181E-01  0.228521E-01   7.04729       1.66346       1.65960       1.54313       1.24948      0.931734       0.00000    
  0.911989E-03   30.5077       2.86454       4.00603       2.80629       3.98169      0.582527E-01  0.243418E-01   6.78797       1.60647       1.60235       1.48753       1.19981      0.891908       0.00000    
  0.999975E-03   29.1765       2.76323       3.85777       2.70163       3.83187      0.616003E-01  0.258917E-01   6.53350       1.55050       1.54611       1.43293       1.15112      0.852925       0.00000    
  0.109645E-02   27.9122       2.66672       3.71614       2.60149       3.68855      0.652316E-01  0.275951E-01   6.29004       1.49684       1.49215       1.38061       1.10465      0.815858       0.00000    
  0.120223E-02   26.6790       2.57248       3.57762       2.50347       3.54824      0.690110E-01  0.293801E-01   6.05171       1.44426       1.43926       1.32936       1.05921      0.779682       0.00000    
  0.131822E-02   25.4826       2.48092       3.44278       2.40796       3.41152      0.729661E-01  0.312619E-01   5.81947       1.39295       1.38763       1.27937       1.01501      0.744564       0.00000    
  0.144540E-02   24.3424       2.39349       3.31358       2.31627       3.28027      0.772213E-01  0.333123E-01   5.59654       1.34360       1.33793       1.23131      0.972674      0.711058       0.00000    
  0.158485E-02   23.2279       2.30797       3.18696       2.22634       3.15152      0.816240E-01  0.354465E-01   5.37786       1.29514       1.28911       1.18414      0.931200      0.678288       0.00000    
  0.173775E-02   22.1595       2.22587       3.06501       2.13957       3.02727      0.863028E-01  0.377389E-01   5.16684       1.24829       1.24187       1.13855      0.891274      0.646844       0.00000    
  0.190540E-02   21.1312       2.14679       2.94713       2.05554       2.90694      0.912496E-01  0.401879E-01   4.96248       1.20285       1.19602       1.09435      0.852695      0.616551       0.00000    
  0.208923E-02   20.1269       2.06953       2.83169       1.97317       2.78896      0.963604E-01  0.427331E-01   4.76213       1.15824       1.15099       1.05099      0.814924      0.586950       0.00000    
  0.229079E-02   19.1763       1.99635       2.72174       1.89448       2.67622      0.101871      0.455167E-01   4.57070       1.11552       1.10781       1.00948      0.778961      0.558891       0.00000    
  0.251180E-02   18.2517       1.92519       2.61447       1.81759       2.56604      0.107599      0.484322E-01   4.38363       1.07371       1.06552      0.968872      0.743879      0.531582       0.00000    
  0.275413E-02   17.3562       1.85627       2.51020       1.74270       2.45871      0.113568      0.514949E-01   4.20141       1.03292       1.02423      0.929276      0.709781      0.505111       0.00000    
  0.301984E-02   16.5069       1.79097       2.41072       1.67101       2.35590      0.119963      0.548228E-01   4.02690      0.993757      0.984536      0.891287      0.677249      0.479973       0.00000    
  0.331118E-02   15.6783       1.72730       2.31339       1.60074       2.25511      0.126562      0.582796E-01   3.85585      0.955319      0.945547      0.854015      0.645418      0.455430       0.00000    
  0.363064E-02   14.8860       1.66652       2.21986       1.53298       2.15789      0.133533      0.619726E-01   3.69088      0.918161      0.907806      0.818010      0.614823      0.431937       0.00000    
  0.398091E-02   14.1267       1.60838       2.12980       1.46751       2.06389      0.140873      0.659061E-01   3.53140      0.882160      0.871191      0.783149      0.585348      0.409395       0.00000    
  0.436498E-02   13.3865       1.55180       2.04176       1.40337       1.97178      0.148434      0.699839E-01   3.37514      0.846836      0.835236      0.748959      0.556530      0.387409       0.00000    
  0.478610E-02   12.6884       1.49866       1.95820       1.34214       1.88379      0.156515      0.744077E-01   3.22593      0.812992      0.800718      0.716237      0.529150      0.366642       0.00000    
