 First iteration    505.96248270647692              377   1.3420755509455622     
After minimisation     505.96   377     1.342

  Partial chi2s 
Dataset    1    442.03( +8.13)   377  HERA1+2 NCep 920                                

 Correlated Chi2    55.803207135698585     
 Log penalty Chi2    8.1335667687586106     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1193   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.1112   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.1440   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.4435   +/-   0.9496        :N:M:D
    5  sysHZComb1005                          0.8135   +/-   0.8177        :N:M:D
    6  sysHZComb1006                         -0.8557   +/-   0.8038        :N:M:D
    7  sysHZComb1007                          0.1156   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0228   +/-   0.9986        :N:M:D
    9  sysHZComb1009                         -0.0147   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.1320   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.7883   +/-   0.9676        :N:M:D
   12  sysHZComb1012                          0.4417   +/-   0.9733        :N:M:D
   13  sysHZComb1013                         -0.6295   +/-   0.9630        :N:M:D
   14  sysHZComb1014                         -0.0322   +/-   0.9883        :N:M:D
   15  sysHZComb1015                         -0.0957   +/-   0.9641        :N:M:D
   16  sysHZComb1016                         -0.0982   +/-   0.9775        :N:M:D
   17  sysHZComb1017                         -0.2636   +/-   0.9718        :N:M:D
   18  sysHZComb1018                          0.7134   +/-   0.8979        :N:M:D
   19  sysHZComb1019                         -0.4497   +/-   0.9859        :N:M:D
   20  sysHZComb1020                         -0.2994   +/-   0.9825        :N:M:D
   21  sysHZComb1021                         -0.1015   +/-   0.9768        :N:M:D
   22  sysHZComb1022                          0.0839   +/-   0.9707        :N:M:D
   23  sysHZComb1023                         -0.0708   +/-   0.9550        :N:M:D
   24  sysHZComb1024                         -0.1212   +/-   0.9962        :N:M:D
   25  sysHZComb1025                          0.0970   +/-   0.9942        :N:M:D
   26  sysHZComb1026                         -0.2384   +/-   0.9769        :N:M:D
   27  sysHZComb1027                         -0.7112   +/-   0.9892        :N:M:D
   28  sysHZComb1028                          0.5737   +/-   0.9871        :N:M:D
   29  sysHZComb1029                         -0.0895   +/-   0.9518        :N:M:D
