   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   33.7713       3.04995       4.05279       3.04020       4.04982      0.975144E-02  0.296757E-02   7.09002       1.83083       1.83020       1.66944       1.20937      0.550358       0.00000    
  0.109648E-03   32.9912       2.97949       3.95972       2.96913       3.95656      0.103608E-01  0.315819E-02   6.92569       1.79079       1.79011       1.63128       1.17835      0.535347       0.00000    
  0.120226E-03   32.2228       2.91066       3.86870       2.89963       3.86533      0.110328E-01  0.337037E-02   6.76496       1.75158       1.75085       1.59393       1.14805      0.520738       0.00000    
  0.131825E-03   31.4595       2.84252       3.77855       2.83079       3.77496      0.117333E-01  0.359258E-02   6.60575       1.71272       1.71194       1.55691       1.11806      0.506296       0.00000    
  0.144543E-03   30.7035       2.77537       3.68964       2.76289       3.68581      0.124748E-01  0.382914E-02   6.44871       1.67438       1.67353       1.52038       1.08852      0.492094       0.00000    
  0.158489E-03   29.9584       2.70960       3.60247       2.69632       3.59838      0.132787E-01  0.408801E-02   6.29470       1.63673       1.63582       1.48452       1.05959      0.478221       0.00000    
  0.173779E-03   29.2187       2.64452       3.51615       2.63041       3.51179      0.141153E-01  0.435865E-02   6.14220       1.59944       1.59846       1.44901       1.03096      0.464512       0.00000    
  0.190545E-03   28.4899       2.58080       3.43151       2.56578       3.42686      0.150180E-01  0.465336E-02   5.99264       1.56284       1.56178       1.41415       1.00294      0.451120       0.00000    
  0.208928E-03   27.7700       2.51815       3.34821       2.50218       3.34324      0.159786E-01  0.496952E-02   5.84542       1.52678       1.52564       1.37981      0.975395      0.437977       0.00000    
  0.229085E-03   27.0560       2.45621       3.26578       2.43924       3.26048      0.169770E-01  0.529971E-02   5.69972       1.49108       1.48985       1.34582      0.948159      0.424996       0.00000    
  0.251186E-03   26.3565       2.39599       3.18546       2.37792       3.17979      0.180756E-01  0.566784E-02   5.55771       1.45624       1.45491       1.31266      0.921678      0.412406       0.00000    
  0.275420E-03   25.6636       2.33652       3.10606       2.31730       3.10001      0.192226E-01  0.605460E-02   5.41731       1.42177       1.42035       1.27986      0.895527      0.399985       0.00000    
  0.301992E-03   24.9795       2.27807       3.02791       2.25764       3.02144      0.204343E-01  0.646643E-02   5.27908       1.38782       1.38628       1.24755      0.869819      0.387792       0.00000    
