   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   5.22865      0.924331       1.40572      0.919150       1.40452      0.518039E-02  0.119566E-02   2.32367      0.786596      0.786234      0.618375      0.132555       0.00000       0.00000    
  0.109648E-03   5.30223      0.912456       1.38634      0.906920       1.38506      0.553553E-02  0.128164E-02   2.29198      0.775920      0.775528      0.609617      0.131001       0.00000       0.00000    
  0.120226E-03   5.36442      0.900676       1.36709      0.894745       1.36571      0.593117E-02  0.137883E-02   2.26046      0.765323      0.764898      0.600902      0.129422       0.00000       0.00000    
  0.131825E-03   5.42218      0.888945       1.34790      0.882600       1.34642      0.634556E-02  0.148133E-02   2.22902      0.754762      0.754302      0.592209      0.127837       0.00000       0.00000    
  0.144543E-03   5.47358      0.877283       1.32880      0.870496       1.32721      0.678678E-02  0.159143E-02   2.19771      0.744254      0.743756      0.583548      0.126242       0.00000       0.00000    
  0.158489E-03   5.51674      0.865732       1.30984      0.858463       1.30813      0.726941E-02  0.171355E-02   2.16659      0.733823      0.733284      0.574937      0.124639       0.00000       0.00000    
  0.173779E-03   5.55595      0.854240       1.29095      0.846466       1.28911      0.777381E-02  0.184209E-02   2.13557      0.723433      0.722849      0.566351      0.123033       0.00000       0.00000    
  0.190545E-03   5.58772      0.842870       1.27220      0.834548       1.27022      0.832263E-02  0.198385E-02   2.10476      0.713123      0.712491      0.557820      0.121424       0.00000       0.00000    
  0.208928E-03   5.61396      0.831608       1.25357      0.822697       1.25144      0.891072E-02  0.213761E-02   2.07413      0.702881      0.702197      0.549334      0.119816       0.00000       0.00000    
  0.229085E-03   5.63663      0.820415       1.23503      0.810891       1.23273      0.952451E-02  0.229923E-02   2.04362      0.692683      0.691943      0.540879      0.118208       0.00000       0.00000    
  0.251186E-03   5.65114      0.809409       1.21668      0.799202       1.21420      0.102073E-01  0.248250E-02   2.01340      0.682596      0.681794      0.532502      0.116606       0.00000       0.00000    
  0.275420E-03   5.66233      0.798491       1.19843      0.787568       1.19576      0.109237E-01  0.267661E-02   1.98332      0.672559      0.671692      0.524162      0.115009       0.00000       0.00000    
  0.301992E-03   5.66903      0.787692       1.18031      0.776007       1.17742      0.116852E-01  0.288529E-02   1.95343      0.662590      0.661653      0.515870      0.113417       0.00000       0.00000    
  0.331127E-03   5.66968      0.777079       1.16238      0.764559       1.15926      0.125197E-01  0.311816E-02   1.92382      0.652722      0.651707      0.507651      0.111837       0.00000       0.00000    
  0.363073E-03   5.66750      0.766559       1.14454      0.753167       1.14118      0.133920E-01  0.336378E-02   1.89435      0.642904      0.641808      0.499469      0.110263       0.00000       0.00000    
  0.398101E-03   5.66009      0.756223       1.12689      0.741883       1.12326      0.143396E-01  0.363506E-02   1.86514      0.633182      0.631996      0.491358      0.108702       0.00000       0.00000    
  0.436509E-03   5.64864      0.746049       1.10940      0.730693       1.10547      0.153566E-01  0.393075E-02   1.83616      0.623541      0.622258      0.483307      0.107152       0.00000       0.00000    
  0.478622E-03   5.63464      0.735979       1.09201      0.719561       1.08776      0.164181E-01  0.424214E-02   1.80732      0.613951      0.612566      0.475293      0.105610       0.00000       0.00000    
  0.524798E-03   5.61495      0.726169       1.07486      0.708573       1.07026      0.175968E-01  0.459591E-02   1.77884      0.604484      0.602985      0.467372      0.104088       0.00000       0.00000    
