   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   7.46074      0.970617       1.33172      0.961649       1.32649      0.896768E-02  0.523395E-02   2.28814      0.728937      0.683176      0.643313      0.232712       0.00000       0.00000    
  0.109648E-03   7.35762      0.956090       1.31007      0.946539       1.30450      0.955091E-02  0.557398E-02   2.25104      0.717736      0.671317      0.633182      0.228803       0.00000       0.00000    
  0.120226E-03   7.25628      0.941733       1.28865      0.931563       1.28271      0.101702E-01  0.593534E-02   2.21428      0.706626      0.659585      0.623130      0.224937       0.00000       0.00000    
  0.131825E-03   7.15665      0.927542       1.26745      0.916713       1.26113      0.108295E-01  0.632007E-02   2.17784      0.695600      0.647979      0.613151      0.221113       0.00000       0.00000    
  0.144543E-03   7.05874      0.913520       1.24648      0.901991       1.23975      0.115290E-01  0.672814E-02   2.14174      0.684660      0.636503      0.603246      0.217330       0.00000       0.00000    
  0.158489E-03   6.96254      0.899669       1.22574      0.887394       1.21858      0.122746E-01  0.716201E-02   2.10597      0.673806      0.625165      0.593414      0.213588       0.00000       0.00000    
  0.173779E-03   6.86806      0.885990       1.20524      0.872924       1.19762      0.130657E-01  0.762136E-02   2.07055      0.663038      0.613965      0.583656      0.209886       0.00000       0.00000    
  0.190545E-03   6.77524      0.872484       1.18499      0.858576       1.17688      0.139080E-01  0.811126E-02   2.03545      0.652352      0.602911      0.573967      0.206223       0.00000       0.00000    
  0.208928E-03   6.68408      0.859149       1.16498      0.844348       1.15635      0.148008E-01  0.863167E-02   2.00070      0.641748      0.592001      0.564347      0.202600       0.00000       0.00000    
  0.229085E-03   6.59455      0.845993       1.14523      0.830242       1.13604      0.157509E-01  0.918468E-02   1.96628      0.631227      0.581247      0.554797      0.199014       0.00000       0.00000    
  0.251186E-03   6.50668      0.833015       1.12574      0.816257       1.11597      0.167587E-01  0.976963E-02   1.93222      0.620790      0.570651      0.545316      0.195467       0.00000       0.00000    
  0.275420E-03   6.42040      0.820219       1.10651      0.802390       1.09612      0.178295E-01  0.103913E-01   1.89851      0.610434      0.560219      0.535901      0.191956       0.00000       0.00000    
  0.301992E-03   6.33569      0.807604       1.08756      0.788639       1.07651      0.189652E-01  0.110522E-01   1.86515      0.600158      0.549954      0.526552      0.188481       0.00000       0.00000    
  0.331127E-03   6.25253      0.795175       1.06888      0.775004       1.05713      0.201705E-01  0.117534E-01   1.83213      0.589963      0.539863      0.517267      0.185041       0.00000       0.00000    
  0.363073E-03   6.17090      0.782938       1.05050      0.761486       1.03800      0.214518E-01  0.124965E-01   1.79949      0.579850      0.529953      0.508048      0.181636       0.00000       0.00000    
  0.398101E-03   6.09080      0.770894       1.03241      0.748084       1.01912      0.228100E-01  0.132836E-01   1.76721      0.569819      0.520228      0.498894      0.178265       0.00000       0.00000    
  0.436509E-03   6.01218      0.759050       1.01462      0.734797       1.00050      0.242525E-01  0.141210E-01   1.73530      0.559871      0.510697      0.489804      0.174927       0.00000       0.00000    
  0.478622E-03   5.93505      0.747405      0.997146      0.721626      0.982138      0.257790E-01  0.150080E-01   1.70376      0.550004      0.501361      0.480778      0.171622       0.00000       0.00000    
