   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.15016      0.565504      0.817006      0.557978      0.812230      0.752533E-02  0.477629E-02   1.37021      0.557978      0.507300      0.304930       0.00000       0.00000       0.00000    
  0.109648E-03   1.16097      0.557775      0.804182      0.549761      0.799098      0.801479E-02  0.508463E-02   1.34886      0.549761      0.498134      0.300963       0.00000       0.00000       0.00000    
  0.120226E-03   1.17234      0.550112      0.791455      0.541577      0.786044      0.853464E-02  0.541158E-02   1.32762      0.541577      0.489028      0.297015       0.00000       0.00000       0.00000    
  0.131825E-03   1.18428      0.542516      0.778832      0.533428      0.773073      0.908769E-02  0.575911E-02   1.30650      0.533428      0.479989      0.293084       0.00000       0.00000       0.00000    
  0.144543E-03   1.19680      0.534987      0.766314      0.525313      0.760187      0.967422E-02  0.612748E-02   1.28550      0.525313      0.471018      0.289169       0.00000       0.00000       0.00000    
  0.158489E-03   1.20993      0.527532      0.753916      0.517232      0.747394      0.103000E-01  0.652144E-02   1.26463      0.517232      0.462125      0.285269       0.00000       0.00000       0.00000    
  0.173779E-03   1.22364      0.520149      0.741636      0.509185      0.734695      0.109643E-01  0.694054E-02   1.24388      0.509185      0.453311      0.281384       0.00000       0.00000       0.00000    
  0.190545E-03   1.23797      0.512847      0.729492      0.501176      0.722107      0.116707E-01  0.738506E-02   1.22328      0.501176      0.444593      0.277514       0.00000       0.00000       0.00000    
  0.208928E-03   1.25292      0.505624      0.717481      0.493206      0.709627      0.124177E-01  0.785403E-02   1.20283      0.493206      0.435970      0.273657       0.00000       0.00000       0.00000    
  0.229085E-03   1.26849      0.498493      0.705628      0.485278      0.697274      0.132158E-01  0.835402E-02   1.18255      0.485278      0.427458      0.269816       0.00000       0.00000       0.00000    
  0.251186E-03   1.28470      0.491457      0.693936      0.477390      0.685049      0.140668E-01  0.888727E-02   1.16244      0.477390      0.419057      0.265992       0.00000       0.00000       0.00000    
  0.275420E-03   1.30154      0.484519      0.682417      0.469547      0.672965      0.149729E-01  0.945163E-02   1.14251      0.469547      0.410783      0.262182       0.00000       0.00000       0.00000    
  0.301992E-03   1.31903      0.477681      0.671072      0.461747      0.661029      0.159345E-01  0.100429E-01   1.12278      0.461747      0.402643      0.258386       0.00000       0.00000       0.00000    
  0.331127E-03   1.33717      0.470952      0.659919      0.453997      0.649248      0.169552E-01  0.106704E-01   1.10325      0.453997      0.394645      0.254603       0.00000       0.00000       0.00000    
  0.363073E-03   1.35596      0.464341      0.648981      0.446303      0.637635      0.180382E-01  0.113462E-01   1.08394      0.446303      0.386800      0.250835       0.00000       0.00000       0.00000    
  0.398101E-03   1.37541      0.457851      0.638259      0.438665      0.626194      0.191855E-01  0.120654E-01   1.06486      0.438665      0.379113      0.247081       0.00000       0.00000       0.00000    
  0.436509E-03   1.39553      0.451492      0.627774      0.431087      0.614950      0.204049E-01  0.128242E-01   1.04604      0.431087      0.371609      0.243341       0.00000       0.00000       0.00000    
  0.478622E-03   1.41630      0.445266      0.617527      0.423570      0.603902      0.216962E-01  0.136244E-01   1.02747      0.423570      0.364285      0.239617       0.00000       0.00000       0.00000    
  0.524798E-03   1.43772      0.439193      0.607548      0.416122      0.593075      0.230703E-01  0.144738E-01   1.00920      0.416122      0.357167      0.235908       0.00000       0.00000       0.00000    
  0.575429E-03   1.45979      0.433270      0.597836      0.408744      0.582464      0.245261E-01  0.153715E-01  0.991208      0.408744      0.350251      0.232214       0.00000       0.00000       0.00000    
  0.630945E-03   1.48251      0.427518      0.588422      0.401445      0.572098      0.260732E-01  0.163240E-01  0.973542      0.401445      0.343562      0.228536       0.00000       0.00000       0.00000    
  0.691816E-03   1.50587      0.421934      0.579304      0.394224      0.561973      0.277107E-01  0.173307E-01  0.956197      0.394224      0.337099      0.224874       0.00000       0.00000       0.00000    
