   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   80.6385       6.23409       8.79031       6.21398       8.77997      0.201105E-01  0.103366E-01   14.9940       3.33647       3.30703       3.21801       2.87751       2.25493       0.00000    
  0.109648E-03   77.6603       6.03570       8.50452       6.01445       8.49359      0.212478E-01  0.109324E-01   14.5080       3.23296       3.20359       3.11670       2.78149       2.17330       0.00000    
  0.120226E-03   74.7764       5.84288       8.22686       5.82044       8.21529      0.224443E-01  0.115607E-01   14.0357       3.13223       3.10298       3.01816       2.68821       2.09416       0.00000    
  0.131825E-03   71.9817       5.65537       7.95690       5.63167       7.94468      0.237082E-01  0.122216E-01   13.5763       3.03415       3.00507       2.92223       2.59752       2.01738       0.00000    
  0.144543E-03   69.2765       5.47319       7.69468       5.44815       7.68176      0.250386E-01  0.129165E-01   13.1299       2.93872       2.90987       2.82894       2.50943       1.94296       0.00000    
  0.158489E-03   66.6559       5.29608       7.43983       5.26964       7.42618      0.264399E-01  0.136558E-01   12.6958       2.84582       2.81725       2.73814       2.42382       1.87078       0.00000    
  0.173779E-03   64.1205       5.12407       7.19240       5.09616       7.17796      0.279112E-01  0.144384E-01   12.2741       2.75545       2.72724       2.64987       2.34071       1.80086       0.00000    
  0.190545E-03   61.6649       4.95688       6.95197       4.92741       6.93670      0.294678E-01  0.152631E-01   11.8641       2.66748       2.63969       2.56396       2.25993       1.73305       0.00000    
  0.208928E-03   59.2893       4.79451       6.71855       4.76340       6.70242      0.311113E-01  0.161293E-01   11.4658       2.58190       2.55462       2.48044       2.18150       1.66737       0.00000    
  0.229085E-03   56.9897       4.63676       6.49184       4.60392       6.47479      0.328363E-01  0.170417E-01   11.0787       2.49862       2.47192       2.39917       2.10530       1.60371       0.00000    
  0.251186E-03   54.7659       4.48362       6.27179       4.44898       6.25379      0.346370E-01  0.179999E-01   10.7028       2.41764       2.39157       2.32016       2.03134       1.54206       0.00000    
  0.275420E-03   52.6144       4.33491       6.05816       4.29837       6.03915      0.365315E-01  0.190097E-01   10.3375       2.33886       2.31350       2.24331       1.95952       1.48233       0.00000    
  0.301992E-03   50.5335       4.19053       5.85082       4.15200       5.83074      0.385298E-01  0.200738E-01   9.98274       2.26222       2.23767       2.16858       1.88978       1.42449       0.00000    
  0.331127E-03   48.5215       4.05040       5.64963       4.00977       5.62843      0.406307E-01  0.211944E-01   9.63820       2.18768       2.16402       2.09593       1.82209       1.36849       0.00000    
  0.363073E-03   46.5756       3.91438       5.45438       3.87154       5.43200      0.428367E-01  0.223751E-01   9.30354       2.11518       2.09249       2.02526       1.75636       1.31426       0.00000    
  0.398101E-03   44.6954       3.78244       5.26503       3.73729       5.24141      0.451507E-01  0.236165E-01   8.97870       2.04470       2.02306       1.95658       1.69258       1.26178       0.00000    
  0.436509E-03   42.8772       3.65439       5.08130       3.60681       5.05638      0.475824E-01  0.249220E-01   8.66320       1.97616       1.95565       1.88977       1.63066       1.21096       0.00000    
  0.478622E-03   41.1211       3.53026       4.90322       3.48013       4.87693      0.501315E-01  0.262923E-01   8.35706       1.90954       1.89026       1.82486       1.57059       1.16181       0.00000    
  0.524798E-03   39.4236       3.40984       4.73048       3.35703       4.70274      0.528096E-01  0.277386E-01   8.05977       1.84476       1.82678       1.76173       1.51228       1.11423       0.00000    
  0.575429E-03   37.7850       3.29315       4.56312       3.23754       4.53386      0.556152E-01  0.292601E-01   7.77140       1.78182       1.76524       1.70039       1.45572       1.06824       0.00000    
  0.630945E-03   36.2014       3.18000       4.40083       3.12144       4.36998      0.585599E-01  0.308582E-01   7.49142       1.72062       1.70552       1.64074       1.40082       1.02372       0.00000    
  0.691816E-03   34.6732       3.07040       4.24364       3.00876       4.21111      0.616425E-01  0.325306E-01   7.21987       1.66118       1.64763       1.58278       1.34758      0.980693       0.00000    
  0.758561E-03   33.1971       2.96420       4.09129       2.89933       4.05700      0.648745E-01  0.342904E-01   6.95633       1.60340       1.59149       1.52643       1.29592      0.939073       0.00000    
