After minimisation       0.00  1145     0.000

  Partial chi2s 
Dataset    1      0.00( +0.00)   377  HERA1+2 NCep 920                                
Dataset    2      0.00( +0.00)    70  HERA1+2 NCep 820                                
Dataset    3      0.00( +0.00)   254  HERA1+2 NCep 575                                
Dataset    4      0.00( -0.00)   204  HERA1+2 NCep 460                                
Dataset    5      0.00( -0.00)   159  HERA1+2 NCem                                    
Dataset    6      0.00( +0.00)    39  HERA1+2 CCep                                    
Dataset    7      0.00( +0.00)    42  HERA1+2 CCem                                    

 Correlated Chi2    0.0000000000000000     
 Log penalty Chi2    9.1038288019262978E-015
 Systematic shifts          268
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.0000   +/-   0.9400        :N:M:D
    2  sysHZComb1002                          0.0000   +/-   0.9371        :N:M:D
    3  sysHZComb1003                          0.0000   +/-   0.5657        :N:M:D
    4  sysHZComb1004                          0.0000   +/-   0.6412        :N:M:D
    5  sysHZComb1005                          0.0000   +/-   0.7759        :N:M:D
    6  sysHZComb1006                          0.0000   +/-   0.8754        :N:M:D
    7  sysHZComb1007                          0.0000   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0000   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0000   +/-   0.8984        :N:M:D
   10  sysHZComb1010                          0.0000   +/-   0.9948        :N:M:D
   11  sysHZComb1011                          0.0000   +/-   0.9712        :N:M:D
   12  sysHZComb1012                          0.0000   +/-   0.9755        :N:M:D
   13  sysHZComb1013                          0.0000   +/-   0.9654        :N:M:D
   14  sysHZComb1014                          0.0000   +/-   0.9890        :N:M:D
   15  sysHZComb1015                          0.0000   +/-   0.9661        :N:M:D
   16  sysHZComb1016                          0.0000   +/-   0.9760        :N:M:D
   17  sysHZComb1017                          0.0000   +/-   0.9736        :N:M:D
   18  sysHZComb1018                          0.0000   +/-   0.8247        :N:M:D
   19  sysHZComb1019                          0.0000   +/-   0.9842        :N:M:D
   20  sysHZComb1020                          0.0000   +/-   0.9824        :N:M:D
   21  sysHZComb1021                          0.0000   +/-   0.9775        :N:M:D
   22  sysHZComb1022                          0.0000   +/-   0.9720        :N:M:D
   23  sysHZComb1023                          0.0000   +/-   0.9536        :N:M:D
   24  sysHZComb1024                          0.0000   +/-   0.9894        :N:M:D
   25  sysHZComb1025                          0.0000   +/-   0.9939        :N:M:D
   26  sysHZComb1026                          0.0000   +/-   0.9260        :N:M:D
   27  sysHZComb1027                          0.0000   +/-   0.9580        :N:M:D
   28  sysHZComb1028                          0.0000   +/-   0.9781        :N:M:D
   29  sysHZComb1029                          0.0000   +/-   0.9259        :N:M:D
