   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   77.1988       6.16990       8.66430       6.13306       8.63596      0.368405E-01  0.283440E-01   14.7690       3.25494       3.25365       3.09629       2.87812       2.28836       0.00000    
  0.109648E-03   74.3746       5.97167       8.38279       5.93461       8.35469      0.370594E-01  0.280929E-01   14.2893       3.15365       3.15257       2.99825       2.78096       2.20566       0.00000    
  0.120226E-03   71.6421       5.77925       8.10969       5.74198       8.08188      0.372650E-01  0.278063E-01   13.8239       3.05530       3.05442       2.90307       2.68668       2.12557       0.00000    
  0.131825E-03   68.9952       5.59228       7.84450       5.55481       7.81700      0.374702E-01  0.274936E-01   13.3718       2.95970       2.95904       2.81058       2.59511       2.04794       0.00000    
  0.144543E-03   66.4275       5.41040       7.58664       5.37271       7.55947      0.376887E-01  0.271648E-01   12.9322       2.86666       2.86622       2.72059       2.50605       1.97258       0.00000    
  0.158489E-03   63.9365       5.23347       7.33591       5.19554       7.30909      0.379239E-01  0.268225E-01   12.5046       2.77611       2.77589       2.63302       2.41944       1.89941       0.00000    
  0.173779E-03   61.5281       5.06181       7.09282       5.02365       7.06636      0.381620E-01  0.264567E-01   12.0900       2.68821       2.68824       2.54805       2.33544       1.82861       0.00000    
  0.190545E-03   59.1970       4.89514       6.85690       4.85672       6.83082      0.384191E-01  0.260791E-01   11.6875       2.60282       2.60309       2.46552       2.25390       1.76003       0.00000    
  0.208928E-03   56.9372       4.73309       6.62764       4.69438       6.60193      0.387131E-01  0.257025E-01   11.2963       2.51973       2.52026       2.38525       2.17464       1.69349       0.00000    
  0.229085E-03   54.7460       4.57553       6.40480       4.53648       6.37947      0.390490E-01  0.253304E-01   10.9160       2.43889       2.43969       2.30718       2.09759       1.62893       0.00000    
  0.251186E-03   52.6291       4.42276       6.18888       4.38335       6.16393      0.394071E-01  0.249475E-01   10.5473       2.36045       2.36152       2.23145       2.02291       1.56650       0.00000    
  0.275420E-03   50.5817       4.27453       5.97947       4.23472       5.95489      0.398101E-01  0.245723E-01   10.1896       2.28427       2.28563       2.15794       1.95045       1.50607       0.00000    
  0.301992E-03   48.5984       4.13052       5.77607       4.09024       5.75185      0.402844E-01  0.242258E-01   9.84208       2.21017       2.21184       2.08648       1.88007       1.44749       0.00000    
  0.331127E-03   46.6764       3.99058       5.57847       3.94974       5.55455      0.408409E-01  0.239168E-01   9.50430       2.13808       2.14005       2.01698       1.81166       1.39067       0.00000    
  0.363073E-03   44.8210       3.85501       5.38711       3.81356       5.36349      0.414514E-01  0.236228E-01   9.17704       2.06815       2.07045       1.94960       1.74541       1.33577       0.00000    
  0.398101E-03   43.0281       3.72357       5.20164       3.68142       5.17827      0.421430E-01  0.233654E-01   8.85970       2.00026       2.00289       1.88423       1.68117       1.28268       0.00000    
  0.436509E-03   41.2927       3.59598       5.02161       3.55304       4.99844      0.429484E-01  0.231703E-01   8.55148       1.93424       1.93722       1.82070       1.61880       1.23124       0.00000    
  0.478622E-03   39.6119       3.47210       4.84679       3.42821       4.82374      0.438855E-01  0.230520E-01   8.25195       1.87000       1.87334       1.75894       1.55821       1.18139       0.00000    
  0.524798E-03   37.9907       3.35218       4.67760       3.30726       4.65461      0.449223E-01  0.229853E-01   7.96187       1.80770       1.81141       1.69909       1.49956       1.13325       0.00000    
  0.575429E-03   36.4255       3.23604       4.51372       3.18996       4.49073      0.460825E-01  0.229885E-01   7.68069       1.74722       1.75132       1.64104       1.44273       1.08674       0.00000    
  0.630945E-03   34.9118       3.12342       4.35476       3.07602       4.33167      0.473972E-01  0.230857E-01   7.40770       1.68843       1.69292       1.58466       1.38760       1.04172       0.00000    
  0.691816E-03   33.4467       3.01416       4.20046       2.96527       4.17717      0.488839E-01  0.232902E-01   7.14245       1.63121       1.63612       1.52985       1.33406      0.998111       0.00000    
  0.758561E-03   32.0347       2.90851       4.05122       2.85800       4.02765      0.505075E-01  0.235754E-01   6.88565       1.57573       1.58106       1.47675       1.28227      0.956040       0.00000    
  0.831745E-03   30.6729       2.80630       3.90678       2.75400       3.88282      0.522966E-01  0.239629E-01   6.63682       1.52189       1.52765       1.42527       1.23212      0.915423       0.00000    
  0.911989E-03   29.3571       2.70731       3.76676       2.65302       3.74228      0.542894E-01  0.244818E-01   6.39530       1.46953       1.47575       1.37528       1.18349      0.876143       0.00000    
  0.999975E-03   28.0844       2.61139       3.63091       2.55488       3.60576      0.565128E-01  0.251534E-01   6.16064       1.41858       1.42526       1.32668       1.13630      0.838120       0.00000    
  0.109645E-02   26.8590       2.51876       3.49960       2.45982       3.47365      0.589345E-01  0.259544E-01   5.93347       1.36915       1.37632       1.27962       1.09067      0.801471       0.00000    
  0.120223E-02   25.6783       2.42928       3.37260       2.36771       3.34571      0.615694E-01  0.268937E-01   5.71342       1.32118       1.32885       1.23400       1.04653      0.766123       0.00000    
  0.131822E-02   24.5387       2.34273       3.24957       2.27829       3.22158      0.644430E-01  0.279877E-01   5.49987       1.27454       1.28272       1.18970       1.00375      0.731969       0.00000    
  0.144540E-02   23.4373       2.25897       3.13025       2.19140       3.10100      0.675724E-01  0.292475E-01   5.29240       1.22914       1.23786       1.14663      0.962255      0.698933       0.00000    
  0.158485E-02   22.3778       2.17820       3.01498       2.10727       2.98433      0.709286E-01  0.306544E-01   5.09160       1.18511       1.19437       1.10491      0.922158      0.667119       0.00000    
  0.173775E-02   21.3581       2.10030       2.90358       2.02577       2.87136      0.745319E-01  0.322215E-01   4.89713       1.14238       1.15219       1.06448      0.883394      0.636467       0.00000    
  0.190540E-02   20.3749       2.02509       2.79571       1.94668       2.76174      0.784135E-01  0.339689E-01   4.70842       1.10082       1.11120       1.02521      0.845855      0.606879       0.00000    
  0.208923E-02   19.4255       1.95242       2.69114       1.86982       2.65523      0.825987E-01  0.359133E-01   4.52505       1.06037       1.07133      0.987004      0.809459      0.578282       0.00000    
  0.229079E-02   18.5131       1.88248       2.59018       1.79541       2.55213      0.870640E-01  0.380420E-01   4.34755       1.02110       1.03267      0.949991      0.774309      0.550767       0.00000    
  0.251180E-02   17.6362       1.81516       2.49265       1.72335       2.45230      0.918162E-01  0.403562E-01   4.17564      0.982993      0.995169      0.914101      0.740353      0.524287       0.00000    
  0.275413E-02   16.7915       1.75030       2.39827       1.65343       2.35541      0.968719E-01  0.428626E-01   4.00884      0.945938      0.958739      0.879213      0.707491      0.498754       0.00000    
  0.301984E-02   15.9766       1.68775       2.30678       1.58551       2.26122      0.102245      0.455666E-01   3.84672      0.909864      0.923300      0.845231      0.675643      0.474095       0.00000    
  0.331118E-02   15.1944       1.62767       2.21848       1.51976       2.17002      0.107916      0.484609E-01   3.68978      0.874857      0.888940      0.812272      0.644902      0.450392       0.00000    
