   4.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   4.25919      0.700096       1.13271      0.695503       1.12812      0.459283E-02  0.459283E-02   1.82362      0.563951      0.563951      0.564164      0.131551       0.00000       0.00000    
  0.109648E-03   4.36551      0.699918       1.12151      0.681280       1.10287      0.186384E-01  0.186384E-01   1.78415      0.551327      0.551327      0.551544      0.129953       0.00000       0.00000    
  0.120226E-03   4.45467      0.700020       1.11131      0.667613       1.07890      0.324071E-01  0.324071E-01   1.74651      0.539340      0.539340      0.539560      0.128273       0.00000       0.00000    
  0.131825E-03   4.52990      0.700141       1.10172      0.654422       1.05601      0.457186E-01  0.457186E-01   1.71043      0.527891      0.527891      0.528114      0.126532       0.00000       0.00000    
  0.144543E-03   4.59484      0.699984       1.09233      0.641623       1.03397      0.583610E-01  0.583610E-01   1.67559      0.516872      0.516872      0.517099      0.124751       0.00000       0.00000    
  0.158489E-03   4.65095      0.699394       1.08293      0.629179       1.01271      0.702158E-01  0.702158E-01   1.64189      0.506239      0.506239      0.506470      0.122939       0.00000       0.00000    
  0.173779E-03   4.69530      0.698583       1.07382      0.617162      0.992399      0.814214E-01  0.814214E-01   1.60956      0.496083      0.496083      0.496317      0.121079       0.00000       0.00000    
  0.190545E-03   4.73008      0.697474       1.06486      0.605517      0.972904      0.919570E-01  0.919570E-01   1.57842      0.486333      0.486333      0.486571      0.119184       0.00000       0.00000    
  0.208928E-03   4.75781      0.695968       1.05585      0.594180      0.954066      0.101788      0.101788       1.54825      0.476912      0.476912      0.477154      0.117268       0.00000       0.00000    
  0.229085E-03   4.77972      0.694002       1.04669      0.583122      0.935814      0.110879      0.110879       1.51894      0.467784      0.467784      0.468029      0.115338       0.00000       0.00000    
  0.251186E-03   4.79367      0.691630       1.03751      0.572399      0.918280      0.119231      0.119231       1.49068      0.459016      0.459016      0.459265      0.113383       0.00000       0.00000    
  0.275420E-03   4.80112      0.688865       1.02827      0.561969      0.901369      0.126896      0.126896       1.46334      0.450558      0.450558      0.450811      0.111411       0.00000       0.00000    
  0.301992E-03   4.80383      0.685716       1.01889      0.551784      0.884961      0.133932      0.133932       1.43675      0.442352      0.442352      0.442609      0.109432       0.00000       0.00000    
  0.331127E-03   4.80278      0.682173       1.00935      0.541818      0.868996      0.140355      0.140355       1.41081      0.434367      0.434367      0.434628      0.107451       0.00000       0.00000    
  0.363073E-03   4.79643      0.678210      0.999672      0.532116      0.853577      0.146095      0.146095       1.38569      0.426656      0.426656      0.426921      0.105459       0.00000       0.00000    
  0.398101E-03   4.78575      0.673879      0.989866      0.522646      0.838633      0.151233      0.151233       1.36128      0.419182      0.419182      0.419451      0.103463       0.00000       0.00000    
  0.436509E-03   4.77194      0.669236      0.979939      0.513368      0.824071      0.155868      0.155868       1.33744      0.411899      0.411899      0.412171      0.101469       0.00000       0.00000    
  0.478622E-03   4.75576      0.664309      0.969885      0.504261      0.809836      0.160048      0.160048       1.31410      0.404780      0.404780      0.405056      0.994808E-01   0.00000       0.00000    
  0.524798E-03   4.73615      0.659030      0.959684      0.495361      0.796016      0.163668      0.163668       1.29138      0.397868      0.397868      0.398148      0.974929E-01   0.00000       0.00000    
  0.575429E-03   4.71370      0.653462      0.949371      0.486643      0.782552      0.166819      0.166819       1.26920      0.391135      0.391135      0.391418      0.955085E-01   0.00000       0.00000    
  0.630945E-03   4.68923      0.647688      0.938984      0.478073      0.769369      0.169615      0.169615       1.24744      0.384541      0.384541      0.384828      0.935320E-01   0.00000       0.00000    
  0.691816E-03   4.66330      0.641756      0.928544      0.469631      0.756419      0.172125      0.172125       1.22605      0.378064      0.378064      0.378355      0.915664E-01   0.00000       0.00000    
  0.758561E-03   4.63520      0.635577      0.918003      0.461348      0.743774      0.174229      0.174229       1.20512      0.371740      0.371740      0.372034      0.896080E-01   0.00000       0.00000    
  0.831745E-03   4.60528      0.629219      0.907402      0.453204      0.731388      0.176015      0.176015       1.18459      0.365546      0.365546      0.365842      0.876586E-01   0.00000       0.00000    
  0.911989E-03   4.57407      0.622772      0.896798      0.445169      0.719195      0.177603      0.177603       1.16436      0.359448      0.359448      0.359747      0.857210E-01   0.00000       0.00000    
  0.999975E-03   4.54196      0.616296      0.886226      0.437222      0.707153      0.179073      0.179073       1.14438      0.353425      0.353425      0.353727      0.837972E-01   0.00000       0.00000    
  0.109645E-02   4.50850      0.609697      0.875625      0.429394      0.695322      0.180303      0.180303       1.12472      0.347509      0.347509      0.347814      0.818850E-01   0.00000       0.00000    
  0.120223E-02   4.47389      0.603037      0.865039      0.421665      0.683667      0.181372      0.181372       1.10533      0.341680      0.341680      0.341987      0.799852E-01   0.00000       0.00000    
  0.131822E-02   4.43843      0.596409      0.854529      0.414010      0.672129      0.182399      0.182399       1.08614      0.335910      0.335910      0.336219      0.780996E-01   0.00000       0.00000    
  0.144540E-02   4.40237      0.589879      0.844139      0.406408      0.660668      0.183472      0.183472       1.06708      0.330179      0.330179      0.330489      0.762294E-01   0.00000       0.00000    
  0.158485E-02   4.36547      0.583355      0.833806      0.398886      0.649336      0.184470      0.184470       1.04822      0.324512      0.324512      0.324824      0.743734E-01   0.00000       0.00000    
  0.173775E-02   4.32780      0.576891      0.823569      0.391429      0.638106      0.185463      0.185463       1.02953      0.318897      0.318897      0.319209      0.725320E-01   0.00000       0.00000    
  0.190540E-02   4.28952      0.570577      0.813491      0.384012      0.626926      0.186565      0.186565       1.01094      0.313306      0.313306      0.313620      0.707060E-01   0.00000       0.00000    
  0.208923E-02   4.25076      0.564482      0.803621      0.376618      0.615757      0.187864      0.187864      0.992375      0.307722      0.307722      0.308035      0.688964E-01   0.00000       0.00000    
  0.229079E-02   4.21142      0.558518      0.793895      0.369269      0.604646      0.189250      0.189250      0.973914      0.302166      0.302166      0.302479      0.671023E-01   0.00000       0.00000    
  0.251180E-02   4.17151      0.552732      0.784349      0.361953      0.593570      0.190779      0.190779      0.955523      0.296629      0.296629      0.296941      0.653240E-01   0.00000       0.00000    
  0.275413E-02   4.13109      0.547207      0.775044      0.354649      0.582486      0.192558      0.192558      0.937135      0.291087      0.291087      0.291399      0.635618E-01   0.00000       0.00000    
  0.301984E-02   4.09019      0.542012      0.766030      0.347341      0.571359      0.194671      0.194671      0.918700      0.285525      0.285525      0.285834      0.618162E-01   0.00000       0.00000    
  0.331118E-02   4.04880      0.537068      0.757249      0.340047      0.560227      0.197022      0.197022      0.900273      0.279960      0.279960      0.280267      0.600869E-01   0.00000       0.00000    
  0.363064E-02   4.00691      0.532412      0.748727      0.332758      0.549073      0.199654      0.199654      0.881832      0.274385      0.274385      0.274689      0.583738E-01   0.00000       0.00000    
  0.398091E-02   3.96450      0.528118      0.740523      0.325458      0.537863      0.202660      0.202660      0.863321      0.268781      0.268781      0.269082      0.566770E-01   0.00000       0.00000    
  0.436498E-02   3.92156      0.524249      0.732683      0.318130      0.526564      0.206119      0.206119      0.844694      0.263133      0.263133      0.263431      0.549965E-01   0.00000       0.00000    
  0.478610E-02   3.87814      0.520743      0.725161      0.310790      0.515208      0.209953      0.209953      0.825998      0.257457      0.257457      0.257750      0.533325E-01   0.00000       0.00000    
  0.524785E-02   3.83420      0.517622      0.717973      0.303432      0.503783      0.214190      0.214190      0.807215      0.251748      0.251748      0.252035      0.516847E-01   0.00000       0.00000    
  0.575415E-02   3.78969      0.514947      0.711165      0.296041      0.492260      0.218905      0.218905      0.788301      0.245989      0.245989      0.246271      0.500527E-01   0.00000       0.00000    
  0.630929E-02   3.74455      0.512771      0.704779      0.288603      0.480611      0.224168      0.224168      0.769215      0.240168      0.240168      0.240444      0.484358E-01   0.00000       0.00000    
  0.691799E-02   3.69889      0.511053      0.698783      0.281131      0.468862      0.229922      0.229922      0.749993      0.234296      0.234296      0.234566      0.468351E-01   0.00000       0.00000    
  0.758542E-02   3.65264      0.509800      0.693183      0.273621      0.457004      0.236179      0.236179      0.730625      0.228371      0.228371      0.228633      0.452500E-01   0.00000       0.00000    
  0.831724E-02   3.60565      0.509050      0.688006      0.266059      0.445014      0.242991      0.242991      0.711073      0.222380      0.222380      0.222635      0.436792E-01   0.00000       0.00000    
  0.911966E-02   3.55782      0.508841      0.683278      0.258434      0.432871      0.250407      0.250407      0.691304      0.216312      0.216312      0.216559      0.421216E-01   0.00000       0.00000    
  0.999950E-02   3.50937      0.509158      0.678992      0.250753      0.420586      0.258406      0.258406      0.671339      0.210174      0.210174      0.210412      0.405787E-01   0.00000       0.00000    
  0.109642E-01   3.46017      0.509994      0.675140      0.243016      0.408162      0.266978      0.266978      0.651178      0.203966      0.203966      0.204195      0.390498E-01   0.00000       0.00000    
