   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   77.8703       9.50320       10.3326       4.19052       5.01995       5.31269       5.31269       9.21047       1.38328       1.38328       1.38374       2.80724       2.25294       0.00000    
  0.109648E-03   75.2605       8.76974       9.80968       4.31049       5.35043       4.45925       4.45925       9.66092       1.58589       1.58589       1.58635       2.72460       2.17819       0.00000    
  0.120226E-03   72.7137       8.14060       9.34159       4.38211       5.58311       3.75848       3.75848       9.96522       1.73876       1.73876       1.73922       2.64335       2.10513       0.00000    
  0.131825E-03   70.2281       7.59100       8.91599       4.41785       5.74283       3.17315       3.17315       10.1607       1.85432       1.85432       1.85478       2.56353       2.03374       0.00000    
  0.144543E-03   67.8020       7.09312       8.51897       4.43170       5.85756       2.66141       2.66141       10.2893       1.94656       1.94656       1.94702       2.48515       1.96398       0.00000    
  0.158489E-03   65.4346       6.63477       8.14446       4.42980       5.93950       2.20496       2.20496       10.3693       2.02159       2.02159       2.02207       2.40821       1.89584       0.00000    
  0.173779E-03   63.1279       6.23783       7.80339       4.40114       5.96671       1.83668       1.83668       10.3679       2.06844       2.06844       2.06892       2.33271       1.82936       0.00000    
  0.190545E-03   60.8799       5.88804       7.48863       4.35289       5.95348       1.53515       1.53515       10.3064       2.09425       2.09425       2.09474       2.25864       1.76449       0.00000    
  0.208928E-03   58.6885       5.56864       7.19179       4.29349       5.91663       1.27515       1.27515       10.2101       2.10747       2.10747       2.10797       2.18602       1.70119       0.00000    
  0.229085E-03   56.5529       5.27114       6.90862       4.22720       5.86469       1.04394       1.04394       10.0919       2.11236       2.11236       2.11287       2.11484       1.63945       0.00000    
  0.251186E-03   54.4752       5.00898       6.64586       4.14728       5.78416      0.861698      0.861698       9.93145       2.10217       2.10217       2.10268       2.04511       1.57932       0.00000    
  0.275420E-03   52.4535       4.77428       6.39956       4.05767       5.68295      0.716603      0.716603       9.74063       2.08085       2.08085       2.08137       1.97683       1.52074       0.00000    
  0.301992E-03   50.4854       4.55721       6.16477       3.96332       5.57088      0.593884      0.593884       9.53421       2.05334       2.05334       2.05388       1.90998       1.46366       0.00000    
  0.331127E-03   48.5699       4.35218       5.93870       3.86704       5.45356      0.485135      0.485135       9.32061       2.02247       2.02247       2.02301       1.84457       1.40808       0.00000    
  0.363073E-03   46.7093       4.16711       5.72533       3.76486       5.32308      0.402251      0.402251       9.08794       1.98425       1.98425       1.98480       1.78060       1.35402       0.00000    
  0.398101E-03   44.9017       3.99785       5.52256       3.65883       5.18355      0.339013      0.339013       8.84238       1.94076       1.94076       1.94132       1.71807       1.30146       0.00000    
  0.436509E-03   43.1446       3.83884       5.32758       3.55176       5.04050      0.287087      0.287087       8.59225       1.89480       1.89480       1.89536       1.65696       1.25033       0.00000    
  0.478622E-03   41.4367       3.68659       5.13863       3.44537       4.89741      0.241217      0.241217       8.34278       1.84811       1.84811       1.84869       1.59726       1.20061       0.00000    
  0.524798E-03   39.7806       3.54552       4.95796       3.33748       4.74991      0.208045      0.208045       8.08739       1.79849       1.79849       1.79907       1.53899       1.15235       0.00000    
  0.575429E-03   38.1743       3.41363       4.78452       3.22907       4.59996      0.184560      0.184560       7.82902       1.74693       1.74693       1.74752       1.48213       1.10551       0.00000    
  0.630945E-03   36.6153       3.28791       4.61678       3.12159       4.45046      0.166320      0.166320       7.57205       1.69492       1.69492       1.69552       1.42667       1.06002       0.00000    
  0.691816E-03   35.1021       3.16634       4.45370       3.01607       4.30343      0.150269      0.150269       7.31950       1.64349       1.64349       1.64409       1.37258       1.01585       0.00000    
  0.758561E-03   33.6374       3.05122       4.29648       2.91138       4.15663      0.139842      0.139842       7.06801       1.59148       1.59148       1.59209       1.31990      0.973058       0.00000    
  0.831745E-03   32.2192       2.94167       4.14463       2.80792       4.01088      0.133748      0.133748       6.81881       1.53933       1.53933       1.53995       1.26859      0.931605       0.00000    
  0.911989E-03   30.8450       2.83620       3.99736       2.70639       3.86755      0.129811      0.129811       6.57394       1.48775       1.48775       1.48837       1.21864      0.891423       0.00000    
  0.999975E-03   29.5133       2.73371       3.85408       2.60730       3.72767      0.126411      0.126411       6.33497       1.43729       1.43729       1.43791       1.17001      0.852467       0.00000    
  0.109645E-02   28.2265       2.63530       3.71540       2.51017       3.59028      0.125123      0.125123       6.10045       1.38742       1.38742       1.38805       1.12275      0.814808       0.00000    
  0.120223E-02   26.9830       2.54064       3.58112       2.41511       3.45559      0.125527      0.125527       5.87070       1.33828       1.33828       1.33891       1.07683      0.778399       0.00000    
  0.131822E-02   25.7803       2.44907       3.45083       2.32236       3.32411      0.126717      0.126717       5.64647       1.29015       1.29015       1.29079       1.03220      0.743170       0.00000    
  0.144540E-02   24.6165       2.36008       3.32422       2.23211       3.19625      0.127968      0.127968       5.42836       1.24327       1.24327       1.24391      0.988841      0.709073       0.00000    
  0.158485E-02   23.4942       2.27411       3.20160       2.14426       3.07175      0.129848      0.129848       5.21601       1.19747       1.19747       1.19810      0.946794      0.676179       0.00000    
  0.173775E-02   22.4119       2.19108       3.08287       2.05876       2.95055      0.132314      0.132314       5.00932       1.15274       1.15274       1.15337      0.906027      0.644445       0.00000    
  0.190540E-02   21.3669       2.11074       2.96782       1.97562       2.83270      0.135117      0.135117       4.80832       1.10913       1.10913       1.10977      0.866489      0.613798       0.00000    
  0.208923E-02   20.3575       2.03289       2.85628       1.89485       2.71824      0.138038      0.138038       4.61309       1.06671       1.06671       1.06734      0.828140      0.584183       0.00000    
  0.229079E-02   19.3861       1.95768       2.74842       1.81652       2.60726      0.141160      0.141160       4.42378       1.02548       1.02548       1.02611      0.791040      0.555674       0.00000    
  0.251180E-02   18.4513       1.88510       2.64419       1.74054       2.49962      0.144566      0.144566       4.24016      0.985385      0.985385      0.986005      0.755150      0.528230       0.00000    
