   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.23187      0.467292      0.812431      0.449711      0.797956      0.175810E-01  0.144753E-01   1.24767      0.449711      0.421144      0.375807       0.00000       0.00000       0.00000    
  0.109648E-03   1.20566      0.461916      0.801322      0.443653      0.786366      0.182633E-01  0.149563E-01   1.23002      0.443653      0.415836      0.369493       0.00000       0.00000       0.00000    
  0.120226E-03   1.18991      0.456675      0.790472      0.437702      0.775018      0.189734E-01  0.154542E-01   1.21272      0.437702      0.410640      0.363308       0.00000       0.00000       0.00000    
  0.131825E-03   1.18325      0.451540      0.779817      0.431828      0.763848      0.197122E-01  0.159696E-01   1.19568      0.431828      0.405525      0.357220       0.00000       0.00000       0.00000    
  0.144543E-03   1.18332      0.446479      0.769289      0.425998      0.752786      0.204808E-01  0.165032E-01   1.17878      0.425998      0.400455      0.351194       0.00000       0.00000       0.00000    
  0.158489E-03   1.19006      0.441485      0.758837      0.420208      0.741782      0.212765E-01  0.170555E-01   1.16199      0.420208      0.395412      0.345199       0.00000       0.00000       0.00000    
  0.173779E-03   1.20646      0.436587      0.748492      0.414491      0.730865      0.220952E-01  0.176264E-01   1.14536      0.414491      0.390413      0.339246       0.00000       0.00000       0.00000    
  0.190545E-03   1.22788      0.431752      0.738290      0.408804      0.720074      0.229479E-01  0.182152E-01   1.12888      0.408804      0.385464      0.333370       0.00000       0.00000       0.00000    
  0.208928E-03   1.24924      0.426942      0.728268      0.403096      0.709447      0.238462E-01  0.188215E-01   1.11254      0.403096      0.380565      0.327606       0.00000       0.00000       0.00000    
  0.229085E-03   1.26734      0.422134      0.718447      0.397337      0.699002      0.247971E-01  0.194450E-01   1.09634      0.397337      0.375717      0.321974       0.00000       0.00000       0.00000    
  0.251186E-03   1.28530      0.417347      0.708800      0.391554      0.688714      0.257930E-01  0.200858E-01   1.08027      0.391554      0.370916      0.316450       0.00000       0.00000       0.00000    
  0.275420E-03   1.30317      0.412588      0.699337      0.385753      0.678593      0.268350E-01  0.207442E-01   1.06435      0.385753      0.366168      0.311042       0.00000       0.00000       0.00000    
  0.301992E-03   1.32064      0.407859      0.690076      0.379933      0.668655      0.279254E-01  0.214204E-01   1.04859      0.379933      0.361479      0.305757       0.00000       0.00000       0.00000    
  0.331127E-03   1.33734      0.403142      0.681048      0.374078      0.658935      0.290647E-01  0.221132E-01   1.03301      0.374078      0.356855      0.300624       0.00000       0.00000       0.00000    
  0.363073E-03   1.35329      0.398401      0.672282      0.368151      0.649462      0.302502E-01  0.228198E-01   1.01761      0.368151      0.352292      0.295678       0.00000       0.00000       0.00000    
