   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   33.6990       2.86302       3.88479       2.83649       3.86756      0.265298E-01  0.172346E-01   6.70405       1.60319       1.64835       1.59867       1.23330      0.618892       0.00000    
  0.109648E-03   32.7968       2.79380       3.78955       2.76617       3.77168      0.276309E-01  0.178709E-01   6.53785       1.56559       1.60994       1.55984       1.20058      0.600235       0.00000    
  0.120226E-03   31.9133       2.72599       3.69619       2.69722       3.67766      0.287752E-01  0.185286E-01   6.37487       1.52869       1.57225       1.52170       1.16852      0.582024       0.00000    
  0.131825E-03   31.0479       2.65955       3.60464       2.62958       3.58543      0.299673E-01  0.192096E-01   6.21501       1.49247       1.53525       1.48423       1.13711      0.564242       0.00000    
  0.144543E-03   30.1999       2.59444       3.51484       2.56323       3.49492      0.312118E-01  0.199158E-01   6.05815       1.45692       1.49893       1.44740       1.10631      0.546867       0.00000    
  0.158489E-03   29.3691       2.53064       3.42677       2.49813       3.40612      0.325094E-01  0.206474E-01   5.90425       1.42201       1.46328       1.41121       1.07612      0.529891       0.00000    
  0.173779E-03   28.5560       2.46820       3.34049       2.43434       3.31909      0.338547E-01  0.214024E-01   5.75343       1.38778       1.42832       1.37567       1.04656      0.513335       0.00000    
  0.190545E-03   27.7601       2.40707       3.25594       2.37181       3.23375      0.352552E-01  0.221836E-01   5.60556       1.35419       1.39402       1.34077       1.01762      0.497180       0.00000    
  0.208928E-03   26.9808       2.34721       3.17303       2.31049       3.15004      0.367189E-01  0.229944E-01   5.46053       1.32124       1.36036       1.30648      0.989251      0.481404       0.00000    
  0.229085E-03   26.2176       2.28860       3.09175       2.25035       3.06792      0.382494E-01  0.238363E-01   5.31827       1.28890       1.32733       1.27278      0.961460      0.466000       0.00000    
  0.251186E-03   25.4713       2.23130       3.01216       2.19146       2.98746      0.398398E-01  0.247065E-01   5.17891       1.25719       1.29495       1.23970      0.934266      0.450988       0.00000    
  0.275420E-03   24.7412       2.17525       2.93420       2.13375       2.90859      0.414953E-01  0.256070E-01   5.04235       1.22611       1.26320       1.20722      0.907648      0.436349       0.00000    
  0.301992E-03   24.0267       2.12042       2.85780       2.07720       2.83126      0.432223E-01  0.265402E-01   4.90846       1.19561       1.23206       1.17531      0.881582      0.422065       0.00000    
  0.331127E-03   23.3275       2.06678       2.78294       2.02176       2.75543      0.450228E-01  0.275069E-01   4.77719       1.16571       1.20151       1.14396      0.856055      0.408125       0.00000    
