 First iteration    1367.7413097005847             1145   1.1945338949350084     
After minimisation    1367.74  1145     1.195

  Partial chi2s 
Dataset    1    445.52( +7.63)   377  HERA1+2 NCep 920                                
Dataset    2     65.50( -0.10)    70  HERA1+2 NCep 820                                
Dataset    3    220.52( +0.64)   254  HERA1+2 NCep 575                                
Dataset    4    218.55( -1.20)   204  HERA1+2 NCep 460                                
Dataset    5    222.08( -0.24)   159  HERA1+2 NCem                                    
Dataset    6     46.03( +0.75)    39  HERA1+2 CCep                                    
Dataset    7     55.72( -2.02)    42  HERA1+2 CCem                                    

 Correlated Chi2    88.366498873172489     
 Log penalty Chi2    5.4593565765812180     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2407   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5360   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3242   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.2022   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.7833   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.8745   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1285   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0669   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0178   +/-   0.8996        :N:M:D
   10  sysHZComb1010                         -0.4210   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7747   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4356   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.5975   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0554   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1006   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0863   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3373   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1817   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3571   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3895   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1271   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1484   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.0758   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0120   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1186   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9740   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.1177   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8196   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5492   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.2377   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.7285   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6371   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.6801   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.3932   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.0627   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4458   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.3936   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.7012   +/-   0.9126        :N:M:D
