 First iteration    1366.9456539925002             1145   1.1938389991200875     
After minimisation    1366.95  1145     1.194

  Partial chi2s 
Dataset    1    443.69( +6.39)   377  HERA1+2 NCep 920                                
Dataset    2     66.19( -0.24)    70  HERA1+2 NCep 820                                
Dataset    3    219.55( +0.08)   254  HERA1+2 NCep 575                                
Dataset    4    218.76( -1.68)   204  HERA1+2 NCep 460                                
Dataset    5    218.87( -0.53)   159  HERA1+2 NCem                                    
Dataset    6     47.37( +0.15)    39  HERA1+2 CCep                                    
Dataset    7     56.29( -2.09)    42  HERA1+2 CCem                                    

 Correlated Chi2    94.163798562865907     
 Log penalty Chi2    2.0637493182911983     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2915   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4934   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2760   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.3898   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          0.7725   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.7344   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1257   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0661   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0185   +/-   0.8996        :N:M:D
   10  sysHZComb1010                         -0.3508   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7706   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4791   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6427   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0364   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0954   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1132   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3236   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.2151   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3426   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3546   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0941   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1408   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2273   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0037   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1419   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8210   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -1.0514   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8173   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.5553   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.4539   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.6454   +/-   0.8388        :N:M:D
   32  sysHZComb1032                          0.6744   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7396   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4103   +/-   0.9840        :N:M:D
