 First iteration    1372.2017640674608             1145   1.1984294882685247     
After minimisation    1372.20  1145     1.198

  Partial chi2s 
Dataset    1    451.63( +6.01)   377  HERA1+2 NCep 920                                
Dataset    2     68.30( -0.51)    70  HERA1+2 NCep 820                                
Dataset    3    219.20( -0.53)   254  HERA1+2 NCep 575                                
Dataset    4    220.63( -2.09)   204  HERA1+2 NCep 460                                
Dataset    5    223.03( -0.43)   159  HERA1+2 NCem                                    
Dataset    6     43.94( +0.66)    39  HERA1+2 CCep                                    
Dataset    7     57.12( -2.05)    42  HERA1+2 CCem                                    

 Correlated Chi2    87.296167585629263     
 Log penalty Chi2    1.0595342192617450     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2718   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5080   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3105   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.3932   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.7093   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.7096   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1337   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0629   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0168   +/-   0.8998        :N:M:D
   10  sysHZComb1010                         -0.3370   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8344   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.5829   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.7614   +/-   0.9620        :N:M:D
   14  sysHZComb1014                          0.0227   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1112   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0014   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3300   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.3363   +/-   0.8228        :N:M:D
   19  sysHZComb1019                         -0.3425   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3542   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0577   +/-   0.9744        :N:M:D
