 First iteration    1365.5951723687849             1145   1.1926595391867116     
After minimisation    1365.60  1145     1.193

  Partial chi2s 
Dataset    1    441.31( +8.08)   377  HERA1+2 NCep 920                                
Dataset    2     65.85( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    219.59( +0.95)   254  HERA1+2 NCep 575                                
Dataset    4    218.39( -0.94)   204  HERA1+2 NCep 460                                
Dataset    5    220.09( +0.07)   159  HERA1+2 NCem                                    
Dataset    6     46.55( -0.06)    39  HERA1+2 CCep                                    
Dataset    7     55.39( -1.94)    42  HERA1+2 CCem                                    

 Correlated Chi2    92.226092204920491     
 Log penalty Chi2    6.1841778481965992     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3325   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5227   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3226   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.3058   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          0.9894   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.9424   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1254   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0644   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0142   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3861   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7923   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4278   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6114   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0554   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0850   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1039   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3150   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1984   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3546   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3648   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1102   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1583   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1732   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0749   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1472   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8800   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0866   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8195   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5825   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.3278   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.6985   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6310   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7467   +/-   0.9708        :N:M:D
