 First iteration    1366.2641055039094             1145   1.1932437602654231     
After minimisation    1366.26  1145     1.193

  Partial chi2s 
Dataset    1    446.03( +5.42)   377  HERA1+2 NCep 920                                
Dataset    2     66.49( -0.37)    70  HERA1+2 NCep 820                                
Dataset    3    220.81( -0.39)   254  HERA1+2 NCep 575                                
Dataset    4    218.89( -2.13)   204  HERA1+2 NCep 460                                
Dataset    5    221.19( -0.92)   159  HERA1+2 NCem                                    
Dataset    6     45.18( -0.10)    39  HERA1+2 CCep                                    
Dataset    7     56.91( -2.16)    42  HERA1+2 CCem                                    

 Correlated Chi2    91.403199379030013     
 Log penalty Chi2  -0.65064710289040151     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1873   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4865   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2464   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.3473   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4661   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.5557   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1243   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0732   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0275   +/-   0.8997        :N:M:D
   10  sysHZComb1010                         -0.3872   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.6990   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4590   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.5771   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0483   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1230   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1364   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3519   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1498   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3683   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3605   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1306   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.0726   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1995   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0129   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1253   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8559   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -1.1303   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8792   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.4597   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.4543   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.7210   +/-   0.8389        :N:M:D
   32  sysHZComb1032                          0.6610   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7525   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4154   +/-   0.9841        :N:M:D
   35  sysHZComb1035                          0.0428   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4935   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5190   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5951   +/-   0.9127        :N:M:D
   39  sysHZComb1039                         -0.4528   +/-   0.9536        :N:M:D
   40  sysHZComb1040                         -0.0799   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.5719   +/-   0.8125        :N:M:D
   42  sysHZComb1042                         -0.1919   +/-   0.8746        :N:M:D
   43  sysHZComb1043                          0.1546   +/-   0.9097        :N:M:D
   44  sysHZComb1044                         -0.0345   +/-   0.9368        :N:M:D
   45  sysHZComb1045                         -0.4817   +/-   0.9311        :N:M:D
   46  sysHZComb1046                         -0.3078   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.2866   +/-   0.9470        :N:M:D
   48  sysHZComb1048                          0.0120   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.5263   +/-   0.9460        :N:M:D
