   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   10.1853       1.34129       1.81464       1.33490       1.81277      0.639177E-02  0.186807E-02   3.14767      0.989373      0.989075      0.823817      0.345524       0.00000       0.00000    
  0.109648E-03   10.1844       1.32129       1.78705       1.31448       1.78505      0.681549E-02  0.199621E-02   3.09953      0.974551      0.974229      0.810947      0.339928       0.00000       0.00000    
  0.120226E-03   10.1687       1.30136       1.75955       1.29407       1.75741      0.728583E-02  0.213998E-02   3.05148      0.959788      0.959438      0.798099      0.334283       0.00000       0.00000    
  0.131825E-03   10.1473       1.28146       1.73211       1.27368       1.72982      0.777767E-02  0.229108E-02   3.00350      0.945057      0.944678      0.785268      0.328625       0.00000       0.00000    
  0.144543E-03   10.1177       1.26162       1.70475       1.25332       1.70230      0.830027E-02  0.245269E-02   2.95562      0.930373      0.929962      0.772464      0.322950       0.00000       0.00000    
  0.158489E-03   10.0779       1.24190       1.67754       1.23303       1.67491      0.887018E-02  0.263075E-02   2.90794      0.915769      0.915323      0.759711      0.317265       0.00000       0.00000    
  0.173779E-03   10.0331       1.22225       1.65040       1.21279       1.64758      0.946491E-02  0.281753E-02   2.86037      0.901208      0.900725      0.746986      0.311579       0.00000       0.00000    
  0.190545E-03   9.97926       1.20274       1.62343       1.19263       1.62041      0.101102E-01  0.302224E-02   2.81304      0.886737      0.886214      0.734326      0.305896       0.00000       0.00000    
  0.208928E-03   9.91876       1.18337       1.59662       1.17257       1.59337      0.108000E-01  0.324305E-02   2.76595      0.872347      0.871781      0.721724      0.300225       0.00000       0.00000    
  0.229085E-03   9.85398       1.16409       1.56990       1.15257       1.56643      0.115189E-01  0.347441E-02   2.71900      0.858011      0.857398      0.709163      0.294562       0.00000       0.00000    
  0.251186E-03   9.77968       1.14506       1.54346       1.13274       1.53973      0.123157E-01  0.373453E-02   2.67247      0.843815      0.843150      0.696709      0.288930       0.00000       0.00000    
  0.275420E-03   9.70160       1.12615       1.51715       1.11300       1.51314      0.131503E-01  0.400890E-02   2.62614      0.829686      0.828967      0.684308      0.283317       0.00000       0.00000    
  0.301992E-03   9.61842       1.10741       1.49102       1.09337       1.48671      0.140357E-01  0.430244E-02   2.58009      0.815646      0.814869      0.671977      0.277728       0.00000       0.00000    
  0.331127E-03   9.52855       1.08893       1.46516       1.07393       1.46053      0.150028E-01  0.462746E-02   2.53446      0.801745      0.800903      0.659758      0.272185       0.00000       0.00000    
  0.363073E-03   9.43562       1.07059       1.43944       1.05458       1.43447      0.160121E-01  0.496896E-02   2.48905      0.787913      0.787004      0.647596      0.266666       0.00000       0.00000    
  0.398101E-03   9.33709       1.05252       1.41399       1.03541       1.40865      0.171053E-01  0.534353E-02   2.44406      0.774216      0.773233      0.635543      0.261195       0.00000       0.00000    
  0.436509E-03   9.23440       1.03468       1.38878       1.01641       1.38303      0.182757E-01  0.574920E-02   2.39944      0.760637      0.759573      0.623588      0.255770       0.00000       0.00000    
  0.478622E-03   9.12910       1.01700       1.36372      0.997505       1.35755      0.194956E-01  0.617486E-02   2.35505      0.747131      0.745984      0.611694      0.250374       0.00000       0.00000    
  0.524798E-03   9.01815      0.999706       1.33905      0.978861       1.33239      0.208450E-01  0.665394E-02   2.31125      0.733808      0.732567      0.599952      0.245053       0.00000       0.00000    
  0.575429E-03   8.90489      0.982601       1.31455      0.960340       1.30739      0.222605E-01  0.716093E-02   2.26773      0.720572      0.719231      0.588283      0.239769       0.00000       0.00000    
  0.630945E-03   8.78871      0.965735       1.29029      0.941976       1.28258      0.237594E-01  0.770316E-02   2.22456      0.707444      0.705998      0.576706      0.234532       0.00000       0.00000    
  0.691816E-03   8.66864      0.949252       1.26638      0.923854       1.25808      0.253985E-01  0.830600E-02   2.18193      0.694485      0.692921      0.565272      0.229369       0.00000       0.00000    
  0.758561E-03   8.54684      0.932958       1.24265      0.905849       1.23371      0.271089E-01  0.894018E-02   2.13956      0.681606      0.679920      0.553905      0.224243       0.00000       0.00000    
  0.831745E-03   8.42199      0.917023       1.21925      0.888066       1.20962      0.289576E-01  0.963562E-02   2.09768      0.668879      0.667059      0.542668      0.219187       0.00000       0.00000    
  0.911989E-03   8.29486      0.901415       1.19615      0.870476       1.18576      0.309389E-01  0.103913E-01   2.05624      0.656284      0.654320      0.531543      0.214192       0.00000       0.00000    
  0.999975E-03   8.16633      0.886010       1.17323      0.853006       1.16205      0.330035E-01  0.111850E-01   2.01505      0.643771      0.641656      0.520489      0.209235       0.00000       0.00000    
  0.109645E-02   8.03495      0.871102       1.15075      0.835820       1.13867      0.352814E-01  0.120780E-01   1.97449      0.631450      0.629166      0.509598      0.204370       0.00000       0.00000    
  0.120223E-02   7.90241      0.856444       1.12848      0.818771       1.11546      0.376734E-01  0.130256E-01   1.93423      0.619221      0.616760      0.498786      0.199550       0.00000       0.00000    
  0.131822E-02   7.76848      0.842085       1.10648      0.801884       1.09244      0.402007E-01  0.140378E-01   1.89432      0.607102      0.604452      0.488068      0.194782       0.00000       0.00000    
  0.144540E-02   7.63272      0.828218       1.08489      0.785253       1.06972      0.429653E-01  0.151664E-01   1.85497      0.595154      0.592296      0.477497      0.190098       0.00000       0.00000    
  0.158485E-02   7.49622      0.814589       1.06349      0.768740       1.04714      0.458485E-01  0.163543E-01   1.81588      0.583286      0.580211      0.466994      0.185454       0.00000       0.00000    
  0.173775E-02   7.35845      0.801399       1.04246      0.752443       1.02481      0.489560E-01  0.176551E-01   1.77725      0.571563      0.568251      0.456614      0.180881       0.00000       0.00000    
  0.190540E-02   7.21980      0.788625       1.02177      0.736338       1.00270      0.522872E-01  0.190716E-01   1.73903      0.559967      0.556401      0.446344      0.176371       0.00000       0.00000    
  0.208923E-02   7.08062      0.776103       1.00127      0.720347      0.980715      0.557560E-01  0.205596E-01   1.70106      0.548448      0.544616      0.436139      0.171899       0.00000       0.00000    
  0.229079E-02   6.94052      0.764185      0.981257      0.704616      0.959026      0.595687E-01  0.222304E-01   1.66364      0.537102      0.532975      0.426081      0.167514       0.00000       0.00000    
  0.251180E-02   6.80009      0.752585      0.961484      0.689012      0.937478      0.635734E-01  0.240062E-01   1.62649      0.525840      0.521402      0.416095      0.163172       0.00000       0.00000    
  0.275413E-02   6.65930      0.741342      0.941985      0.673549      0.916086      0.677925E-01  0.258990E-01   1.58963      0.514672      0.509907      0.406188      0.158877       0.00000       0.00000    
