 First iteration    1374.2927577052228             1145   1.2002556835853475     
After minimisation    1374.29  1145     1.200

  Partial chi2s 
Dataset    1    449.27( +9.72)   377  HERA1+2 NCep 920                                
Dataset    2     65.25( +0.30)    70  HERA1+2 NCep 820                                
Dataset    3    220.19( +2.19)   254  HERA1+2 NCep 575                                
Dataset    4    218.02( +0.10)   204  HERA1+2 NCep 460                                
Dataset    5    219.43( -0.16)   159  HERA1+2 NCem                                    
Dataset    6     46.05( +1.04)    39  HERA1+2 CCep                                    
Dataset    7     56.21( -2.20)    42  HERA1+2 CCem                                    

 Correlated Chi2    88.882852108156399     
 Log penalty Chi2    10.988807949679618     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3194   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5590   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3085   +/-   0.5566        :N:M:D
    4  sysHZComb1004                         -0.0613   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.2785   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.3467   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1283   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0573   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0011   +/-   0.8993        :N:M:D
   10  sysHZComb1010                         -0.4639   +/-   0.9935        :N:M:D
   11  sysHZComb1011                         -0.8493   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3562   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.5735   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0778   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0723   +/-   0.9632        :N:M:D
   16  sysHZComb1016                         -0.0388   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3077   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1701   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3820   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3958   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1261   +/-   0.9743        :N:M:D
   22  sysHZComb1022                          0.2224   +/-   0.9686        :N:M:D
   23  sysHZComb1023                          0.1010   +/-   0.9451        :N:M:D
   24  sysHZComb1024                          0.0698   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1118   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -1.0744   +/-   0.9199        :N:M:D
   27  sysHZComb1027                         -1.1350   +/-   0.9542        :N:M:D
   28  sysHZComb1028                          0.7819   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5813   +/-   0.9183        :N:M:D
   30  sysHZComb1030                         -0.0197   +/-   0.9436        :N:M:D
   31  sysHZComb1031                         -0.7651   +/-   0.8385        :N:M:D
   32  sysHZComb1032                          0.5713   +/-   0.9642        :N:M:D
   33  sysHZComb1033                          0.6391   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.3962   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.1107   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.3726   +/-   0.9742        :N:M:D
