 First iteration    1373.5851840670352             1145   1.1996377153423889     
After minimisation    1373.59  1145     1.200

  Partial chi2s 
Dataset    1    447.73( +9.97)   377  HERA1+2 NCep 920                                
Dataset    2     64.18( +0.43)    70  HERA1+2 NCep 820                                
Dataset    3    218.50( +2.57)   254  HERA1+2 NCep 575                                
Dataset    4    215.95( +0.30)   204  HERA1+2 NCep 460                                
Dataset    5    222.01( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     44.43( +0.75)    39  HERA1+2 CCep                                    
Dataset    7     56.35( -2.16)    42  HERA1+2 CCem                                    

 Correlated Chi2    92.566565244528192     
 Log penalty Chi2    11.862264117608932     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2671   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4834   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.0993   +/-   0.5565        :N:M:D
    4  sysHZComb1004                         -0.1750   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.1827   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.2780   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1270   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0588   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0505   +/-   0.8991        :N:M:D
   10  sysHZComb1010                         -0.4045   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8329   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3483   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.5593   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0831   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0929   +/-   0.9632        :N:M:D
   16  sysHZComb1016                         -0.1078   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2934   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.0921   +/-   0.8224        :N:M:D
   19  sysHZComb1019                         -0.3907   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3614   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0907   +/-   0.9743        :N:M:D
   22  sysHZComb1022                          0.1491   +/-   0.9686        :N:M:D
   23  sysHZComb1023                          0.0662   +/-   0.9451        :N:M:D
   24  sysHZComb1024                          0.0624   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1020   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9334   +/-   0.9199        :N:M:D
   27  sysHZComb1027                         -1.1836   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.8628   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.4903   +/-   0.9183        :N:M:D
   30  sysHZComb1030                         -0.3479   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.8656   +/-   0.8385        :N:M:D
