 First iteration    1374.8458122693635             1145   1.2007387006719332     
After minimisation    1374.85  1145     1.201

  Partial chi2s 
Dataset    1    450.46( +4.09)   377  HERA1+2 NCep 920                                
Dataset    2     67.25( -0.66)    70  HERA1+2 NCep 820                                
Dataset    3    221.02( -1.39)   254  HERA1+2 NCep 575                                
Dataset    4    221.00( -2.86)   204  HERA1+2 NCep 460                                
Dataset    5    218.44( -1.06)   159  HERA1+2 NCem                                    
Dataset    6     45.71( +0.42)    39  HERA1+2 CCep                                    
Dataset    7     59.48( -2.25)    42  HERA1+2 CCem                                    

 Correlated Chi2    95.187333397513953     
 Log penalty Chi2   -3.7091707786423109     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2684   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4991   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3573   +/-   0.5569        :N:M:D
    4  sysHZComb1004                          0.6419   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4783   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.4227   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1267   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0698   +/-   0.9984        :N:M:D
    9  sysHZComb1009                         -0.0041   +/-   0.8999        :N:M:D
   10  sysHZComb1010                         -0.3388   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7275   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.5527   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6801   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0041   +/-   0.9876        :N:M:D
   15  sysHZComb1015                         -0.1068   +/-   0.9634        :N:M:D
   16  sysHZComb1016                         -0.0933   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3500   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.2826   +/-   0.8228        :N:M:D
   19  sysHZComb1019                         -0.3308   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3595   +/-   0.9815        :N:M:D
   21  sysHZComb1021                         -0.1002   +/-   0.9745        :N:M:D
   22  sysHZComb1022                          0.1347   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2924   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0100   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1437   +/-   0.9934        :N:M:D
   26  sysHZComb1026                         -0.8205   +/-   0.9204        :N:M:D
   27  sysHZComb1027                         -0.9896   +/-   0.9545        :N:M:D
   28  sysHZComb1028                          0.7809   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.5988   +/-   0.9186        :N:M:D
   30  sysHZComb1030                         -0.4010   +/-   0.9439        :N:M:D
   31  sysHZComb1031                         -0.4988   +/-   0.8391        :N:M:D
   32  sysHZComb1032                          0.7238   +/-   0.9644        :N:M:D
   33  sysHZComb1033                          0.7234   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.3968   +/-   0.9841        :N:M:D
   35  sysHZComb1035                         -0.0985   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4163   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.6461   +/-   0.9703        :N:M:D
   38  sysHZComb1038                         -0.3802   +/-   0.9128        :N:M:D
   39  sysHZComb1039                         -0.3277   +/-   0.9536        :N:M:D
   40  sysHZComb1040                         -0.2312   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.5549   +/-   0.8127        :N:M:D
   42  sysHZComb1042                         -0.2326   +/-   0.8747        :N:M:D
   43  sysHZComb1043                         -0.1661   +/-   0.9098        :N:M:D
   44  sysHZComb1044                          0.0441   +/-   0.9369        :N:M:D
   45  sysHZComb1045                         -0.2192   +/-   0.9311        :N:M:D
   46  sysHZComb1046                         -0.1442   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.2432   +/-   0.9469        :N:M:D
   48  sysHZComb1048                         -0.0199   +/-   0.9611        :N:M:D
   49  sysHZComb1049                         -0.4949   +/-   0.9459        :N:M:D
   50  sysHZComb1050                          0.3810   +/-   0.9431        :N:M:D
   51  sysHZComb1051                          0.4060   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.7143   +/-   0.9508        :N:M:D
   53  sysHZComb1053                         -2.6383   +/-   0.9194        :N:M:D
   54  sysHZComb1054                         -0.0698   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.4097   +/-   0.9059        :N:M:D
   56  sysHZComb1056                         -1.6005   +/-   0.8906        :N:M:D
   57  sysHZComb1057                          0.0877   +/-   0.9195        :N:M:D
   58  sysHZComb1058                          0.1081   +/-   0.9434        :N:M:D
   59  sysHZComb1059                         -1.2713   +/-   0.8700        :N:M:D
   60  sysHZComb1060                          0.2067   +/-   0.9790        :N:M:D
   61  sysHZComb1061                          0.2015   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.1263   +/-   0.8950        :N:M:D
