 First iteration    1365.5608595753649             1145   1.1926295716815414     
After minimisation    1365.56  1145     1.193

  Partial chi2s 
Dataset    1    445.93( +5.94)   377  HERA1+2 NCep 920                                
Dataset    2     66.26( -0.22)    70  HERA1+2 NCep 820                                
Dataset    3    219.99( +0.12)   254  HERA1+2 NCep 575                                
Dataset    4    218.00( -1.73)   204  HERA1+2 NCep 460                                
Dataset    5    220.03( -1.25)   159  HERA1+2 NCem                                    
Dataset    6     45.17( +0.23)    39  HERA1+2 CCep                                    
Dataset    7     57.02( -2.40)    42  HERA1+2 CCem                                    

 Correlated Chi2    92.468227933328237     
 Log penalty Chi2   0.69567686845777565     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2155   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4902   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2235   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.2277   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.6640   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.7466   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1263   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0693   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0263   +/-   0.8996        :N:M:D
   10  sysHZComb1010                         -0.3774   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7551   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4548   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6045   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0491   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1157   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1123   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3343   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1558   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3687   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3550   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1055   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1159   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1487   +/-   0.9453        :N:M:D
