 First iteration    1369.3321885031121             1145   1.1959233087363423     
After minimisation    1369.33  1145     1.196

  Partial chi2s 
Dataset    1    439.84( +7.37)   377  HERA1+2 NCep 920                                
Dataset    2     66.05( -0.08)    70  HERA1+2 NCep 820                                
Dataset    3    219.81( +0.54)   254  HERA1+2 NCep 575                                
Dataset    4    218.32( -1.31)   204  HERA1+2 NCep 460                                
Dataset    5    220.11( -0.10)   159  HERA1+2 NCem                                    
Dataset    6     48.71( -0.20)    39  HERA1+2 CCep                                    
Dataset    7     56.69( -1.81)    42  HERA1+2 CCem                                    

 Correlated Chi2    95.372216446941181     
 Log penalty Chi2    4.4269130826461609     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3189   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5129   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3233   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.3941   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          0.8648   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.8073   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1244   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0680   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0263   +/-   0.8996        :N:M:D
   10  sysHZComb1010                         -0.3678   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7670   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4412   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6095   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0559   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0938   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1350   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3183   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1873   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3429   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3607   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1085   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1259   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2509   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0041   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1519   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8160   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -1.0905   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8506   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5454   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.4648   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.7069   +/-   0.8388        :N:M:D
   32  sysHZComb1032                          0.6536   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7460   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.3918   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0219   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4530   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5794   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5187   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4628   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1173   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.5516   +/-   0.8123        :N:M:D
   42  sysHZComb1042                         -0.2318   +/-   0.8745        :N:M:D
   43  sysHZComb1043                          0.0042   +/-   0.9096        :N:M:D
   44  sysHZComb1044                         -0.0371   +/-   0.9368        :N:M:D
   45  sysHZComb1045                         -0.3428   +/-   0.9310        :N:M:D
   46  sysHZComb1046                         -0.1612   +/-   0.9569        :N:M:D
   47  sysHZComb1047                          0.1431   +/-   0.9469        :N:M:D
   48  sysHZComb1048                          0.0404   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.6773   +/-   0.9460        :N:M:D
   50  sysHZComb1050                          0.5243   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.3283   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.8954   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.7130   +/-   0.9192        :N:M:D
   54  sysHZComb1054                         -0.0250   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5009   +/-   0.9057        :N:M:D
