 First iteration    1372.6343754051486             1145   1.1988073147643219     
After minimisation    1372.63  1145     1.199

  Partial chi2s 
Dataset    1    447.10( +5.72)   377  HERA1+2 NCep 920                                
Dataset    2     65.67( -0.09)    70  HERA1+2 NCep 820                                
Dataset    3    220.85( +0.31)   254  HERA1+2 NCep 575                                
Dataset    4    217.12( -1.67)   204  HERA1+2 NCep 460                                
Dataset    5    218.21( -1.51)   159  HERA1+2 NCem                                    
Dataset    6     45.63( +0.29)    39  HERA1+2 CCep                                    
Dataset    7     58.07( -2.67)    42  HERA1+2 CCem                                    

 Correlated Chi2    99.606754818506303     
 Log penalty Chi2   0.37674838244858844     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2023   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4750   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.1845   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.2155   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.6267   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.7140   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1222   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0728   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0481   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3807   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7058   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3968   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.5293   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0784   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1216   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1807   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3329   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.0780   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3798   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3500   +/-   0.9814        :N:M:D
