 First iteration    1372.8628770265425             1145   1.1990068794991637     
After minimisation    1372.86  1145     1.199

  Partial chi2s 
Dataset    1    452.69( +7.32)   377  HERA1+2 NCep 920                                
Dataset    2     65.59( -0.16)    70  HERA1+2 NCep 820                                
Dataset    3    219.74( +0.59)   254  HERA1+2 NCep 575                                
Dataset    4    217.41( -1.27)   204  HERA1+2 NCep 460                                
Dataset    5    223.09( +0.04)   159  HERA1+2 NCem                                    
Dataset    6     45.52( +0.26)    39  HERA1+2 CCep                                    
Dataset    7     55.09( -2.06)    42  HERA1+2 CCem                                    

 Correlated Chi2    89.011567644215162     
 Log penalty Chi2    4.7176690809614126     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2043   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4798   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.1868   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.1839   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.6624   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.7595   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1277   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0669   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0423   +/-   0.8996        :N:M:D
   10  sysHZComb1010                         -0.3778   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7450   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4448   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.5890   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0392   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1291   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1060   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3294   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1611   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3735   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3654   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0949   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1058   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.0429   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0773   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1004   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9088   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -1.1293   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8440   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5122   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.3581   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.7043   +/-   0.8388        :N:M:D
   32  sysHZComb1032                          0.6473   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7633   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4215   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0030   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4509   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.4804   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.6466   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4925   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1231   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.5703   +/-   0.8123        :N:M:D
   42  sysHZComb1042                         -0.0998   +/-   0.8745        :N:M:D
   43  sysHZComb1043                          0.2014   +/-   0.9096        :N:M:D
   44  sysHZComb1044                         -0.0260   +/-   0.9368        :N:M:D
