 First iteration    1369.0626864775331             1145   1.1956879357882386     
After minimisation    1369.06  1145     1.196

  Partial chi2s 
Dataset    1    449.06( +4.34)   377  HERA1+2 NCep 920                                
Dataset    2     66.09( -0.54)    70  HERA1+2 NCep 820                                
Dataset    3    221.77( -0.94)   254  HERA1+2 NCep 575                                
Dataset    4    220.81( -2.53)   204  HERA1+2 NCep 460                                
Dataset    5    217.94( -1.29)   159  HERA1+2 NCem                                    
Dataset    6     47.14( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     57.50( -2.43)    42  HERA1+2 CCem                                    

 Correlated Chi2    91.777490963525153     
 Log penalty Chi2   -3.0185154746974394     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2156   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4942   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2975   +/-   0.5569        :N:M:D
    4  sysHZComb1004                          0.4671   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4565   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.4938   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1217   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0701   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0048   +/-   0.8999        :N:M:D
   10  sysHZComb1010                         -0.4087   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.6722   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4584   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.5674   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0482   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0917   +/-   0.9634        :N:M:D
   16  sysHZComb1016                         -0.1344   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3653   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.1868   +/-   0.8228        :N:M:D
   19  sysHZComb1019                         -0.3607   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3747   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1615   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.0850   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2256   +/-   0.9453        :N:M:D
   24  sysHZComb1024                         -0.0024   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1400   +/-   0.9934        :N:M:D
   26  sysHZComb1026                         -0.8839   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -1.0998   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8587   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.4632   +/-   0.9186        :N:M:D
   30  sysHZComb1030                         -0.3827   +/-   0.9439        :N:M:D
   31  sysHZComb1031                         -0.6620   +/-   0.8390        :N:M:D
   32  sysHZComb1032                          0.6344   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.6953   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.3676   +/-   0.9841        :N:M:D
   35  sysHZComb1035                         -0.0070   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4195   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5169   +/-   0.9703        :N:M:D
   38  sysHZComb1038                         -0.4868   +/-   0.9127        :N:M:D
   39  sysHZComb1039                         -0.3640   +/-   0.9536        :N:M:D
   40  sysHZComb1040                         -0.1026   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.6246   +/-   0.8126        :N:M:D
   42  sysHZComb1042                         -0.2662   +/-   0.8747        :N:M:D
   43  sysHZComb1043                          0.0555   +/-   0.9097        :N:M:D
   44  sysHZComb1044                         -0.0036   +/-   0.9369        :N:M:D
   45  sysHZComb1045                         -0.3791   +/-   0.9311        :N:M:D
   46  sysHZComb1046                         -0.2620   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.2732   +/-   0.9470        :N:M:D
   48  sysHZComb1048                         -0.0189   +/-   0.9611        :N:M:D
   49  sysHZComb1049                         -0.4760   +/-   0.9459        :N:M:D
   50  sysHZComb1050                          0.4374   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.3251   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.8669   +/-   0.9508        :N:M:D
   53  sysHZComb1053                         -2.6843   +/-   0.9193        :N:M:D
   54  sysHZComb1054                          0.0037   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5876   +/-   0.9058        :N:M:D
   56  sysHZComb1056                         -1.4988   +/-   0.8906        :N:M:D
