   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   9.65796       1.32218       1.79806       1.31593       1.79647      0.625419E-02  0.159206E-02   3.11239      0.981782      0.981469      0.815118      0.334143       0.00000       0.00000    
  0.109648E-03   9.68478       1.30327       1.77144       1.29660       1.76974      0.667050E-02  0.170032E-02   3.06633      0.967424      0.967085      0.802772      0.329174       0.00000       0.00000    
  0.120226E-03   9.69489       1.28433       1.74481       1.27719       1.74299      0.713284E-02  0.182190E-02   3.02019      0.953080      0.952712      0.790404      0.324112       0.00000       0.00000    
  0.131825E-03   9.69860       1.26539       1.71822       1.25777       1.71627      0.761641E-02  0.194976E-02   2.97404      0.938754      0.938355      0.778036      0.319021       0.00000       0.00000    
  0.144543E-03   9.69316       1.24647       1.69165       1.23834       1.68956      0.813038E-02  0.208659E-02   2.92790      0.924450      0.924018      0.765670      0.313888       0.00000       0.00000    
  0.158489E-03   9.67602       1.22760       1.66516       1.21891       1.66292      0.869109E-02  0.223755E-02   2.88183      0.910197      0.909728      0.753323      0.308713       0.00000       0.00000    
  0.173779E-03   9.65335       1.20877       1.63872       1.19949       1.63633      0.927635E-02  0.239602E-02   2.83582      0.895973      0.895466      0.740990      0.303522       0.00000       0.00000    
  0.190545E-03   9.62033       1.19003       1.61239       1.18012       1.60982      0.991158E-02  0.256993E-02   2.78994      0.881812      0.881263      0.728693      0.298305       0.00000       0.00000    
  0.208928E-03   9.57978       1.17138       1.58618       1.16079       1.58342      0.105909E-01  0.275778E-02   2.74421      0.867713      0.867118      0.716434      0.293080       0.00000       0.00000    
  0.229085E-03   9.53436       1.15280       1.56003       1.14150       1.55708      0.112990E-01  0.295476E-02   2.69858      0.853654      0.853012      0.704201      0.287848       0.00000       0.00000    
  0.251186E-03   9.47807       1.13441       1.53410       1.12233       1.53092      0.120842E-01  0.317673E-02   2.65325      0.839708      0.839012      0.692046      0.282617       0.00000       0.00000    
  0.275420E-03   9.41744       1.11612       1.50827       1.10321       1.50486      0.129068E-01  0.341115E-02   2.60807      0.825818      0.825064      0.679931      0.277392       0.00000       0.00000    
  0.301992E-03   9.35098       1.09796       1.48259       1.08418       1.47892      0.137798E-01  0.366231E-02   2.56310      0.812001      0.811187      0.667870      0.272174       0.00000       0.00000    
  0.331127E-03   9.27682       1.08002       1.45713       1.06528       1.45319      0.147338E-01  0.394109E-02   2.51847      0.798303      0.797421      0.655899      0.266979       0.00000       0.00000    
  0.363073E-03   9.19912       1.06219       1.43179       1.04646       1.42755      0.157296E-01  0.423438E-02   2.47401      0.784665      0.783712      0.643974      0.261797       0.00000       0.00000    
  0.398101E-03   9.11496       1.04460       1.40668       1.02779       1.40212      0.168087E-01  0.455683E-02   2.42991      0.771144      0.770114      0.632140      0.256644       0.00000       0.00000    
  0.436509E-03   9.02595       1.02721       1.38178       1.00925       1.37687      0.179644E-01  0.490687E-02   2.38612      0.757727      0.756614      0.620389      0.251521       0.00000       0.00000    
  0.478622E-03   8.93389       1.00996       1.35701      0.990793       1.35174      0.191691E-01  0.527463E-02   2.34253      0.744377      0.743175      0.608690      0.246417       0.00000       0.00000    
  0.524798E-03   8.83524      0.993059       1.33258      0.972557       1.32689      0.205025E-01  0.569003E-02   2.29944      0.731190      0.729891      0.597123      0.241366       0.00000       0.00000    
  0.575429E-03   8.73386      0.976329       1.30831      0.954427       1.30218      0.219016E-01  0.613044E-02   2.25660      0.718083      0.716680      0.585621      0.236344       0.00000       0.00000    
  0.630945E-03   8.62904      0.959815       1.28424      0.936431       1.27764      0.233836E-01  0.660245E-02   2.21407      0.705075      0.703562      0.574199      0.231356       0.00000       0.00000    
  0.691816E-03   8.51958      0.943654       1.26050      0.918649       1.25337      0.250050E-01  0.712912E-02   2.17202      0.692222      0.690587      0.562905      0.226427       0.00000       0.00000    
  0.758561E-03   8.40806      0.927668       1.23692      0.900971       1.22924      0.266973E-01  0.768417E-02   2.13021      0.679444      0.677682      0.551673      0.221527       0.00000       0.00000    
  0.831745E-03   8.29288      0.912016       1.21365      0.883489       1.20535      0.285273E-01  0.829479E-02   2.08884      0.666807      0.664905      0.540558      0.216682       0.00000       0.00000    
  0.911989E-03   8.17491      0.896671       1.19064      0.866182       1.18168      0.304893E-01  0.896042E-02   2.04786      0.654294      0.652242      0.529545      0.211888       0.00000       0.00000    
  0.999975E-03   8.05525      0.881517       1.16780      0.848983       1.15814      0.325342E-01  0.966076E-02   2.00713      0.641857      0.639648      0.518596      0.207126       0.00000       0.00000    
  0.109645E-02   7.93205      0.866833       1.14537      0.832041       1.13492      0.347917E-01  0.104524E-01   1.96696      0.629602      0.627218      0.507799      0.202439       0.00000       0.00000    
  0.120223E-02   7.80739      0.852388       1.12315      0.815225       1.11185      0.371629E-01  0.112944E-01   1.92708      0.617434      0.614866      0.497075      0.197791       0.00000       0.00000    
  0.131822E-02   7.68099      0.838227       1.10116      0.798558       1.08896      0.396691E-01  0.121962E-01   1.88752      0.605371      0.602606      0.486438      0.193187       0.00000       0.00000    
  0.144540E-02   7.55223      0.824539       1.07956      0.782127       1.06635      0.424120E-01  0.132064E-01   1.84848      0.593472      0.590491      0.475938      0.188656       0.00000       0.00000    
  0.158485E-02   7.42248      0.811080       1.05815      0.765807       1.04388      0.452735E-01  0.142720E-01   1.80968      0.581648      0.578442      0.465502      0.184158       0.00000       0.00000    
  0.173775E-02   7.29106      0.798045       1.03708      0.749686       1.02163      0.483588E-01  0.154434E-01   1.77132      0.569964      0.566512      0.455182      0.179722       0.00000       0.00000    
  0.190540E-02   7.15838      0.785412       1.01633      0.733744      0.999601      0.516677E-01  0.167240E-01   1.73335      0.558403      0.554687      0.444965      0.175341       0.00000       0.00000    
  0.208923E-02   7.02497      0.773024      0.995764      0.717910      0.977692      0.551142E-01  0.180722E-01   1.69560      0.546916      0.542924      0.434810      0.170994       0.00000       0.00000    
  0.229079E-02   6.89017      0.761223      0.975655      0.702319      0.956061      0.589045E-01  0.195942E-01   1.65838      0.535596      0.531299      0.424794      0.166723       0.00000       0.00000    
  0.251180E-02   6.75483      0.749734      0.955780      0.686847      0.934564      0.628872E-01  0.212166E-01   1.62141      0.524358      0.519740      0.414846      0.162489       0.00000       0.00000    
  0.275413E-02   6.61888      0.738593      0.936167      0.671509      0.913216      0.670843E-01  0.229511E-01   1.58473      0.513212      0.508254      0.404974      0.158297       0.00000       0.00000    
  0.301984E-02   6.48221      0.728056      0.916999      0.656383      0.892102      0.716726E-01  0.248972E-01   1.54848      0.502211      0.496880      0.395222      0.154173       0.00000       0.00000    
  0.331118E-02   6.34529      0.717805      0.898038      0.641352      0.871088      0.764529E-01  0.269499E-01   1.51244      0.491275      0.485555      0.385523      0.150078       0.00000       0.00000    
  0.363064E-02   6.20798      0.708074      0.879453      0.626487      0.850252      0.815862E-01  0.292004E-01   1.47674      0.480452      0.474313      0.375917      0.146035       0.00000       0.00000    
  0.398091E-02   6.07047      0.698854      0.861231      0.611770      0.829568      0.870846E-01  0.316631E-01   1.44134      0.469729      0.463141      0.366393      0.142040       0.00000       0.00000    
  0.436498E-02   5.93286      0.689941      0.843226      0.597138      0.808972      0.928027E-01  0.342545E-01   1.40611      0.459066      0.452009      0.356917      0.138073       0.00000       0.00000    
  0.478610E-02   5.79519      0.681745      0.825723      0.582690      0.788555      0.990548E-01  0.371677E-01   1.37125      0.448526      0.440956      0.347540      0.134164       0.00000       0.00000    
  0.524785E-02   5.65758      0.673948      0.808496      0.568332      0.768222      0.105616      0.402746E-01   1.33655      0.438047      0.429939      0.338212      0.130285       0.00000       0.00000    
  0.575415E-02   5.52003      0.666569      0.791560      0.554067      0.747975      0.112503      0.435847E-01   1.30204      0.427631      0.418957      0.328934      0.126436       0.00000       0.00000    
  0.630929E-02   5.38273      0.659949      0.775145      0.539948      0.727853      0.120000      0.472925E-01   1.26780      0.417312      0.408023      0.319733      0.122636       0.00000       0.00000    
  0.691799E-02   5.24557      0.653681      0.758974      0.525890      0.707778      0.127791      0.511961E-01   1.23367      0.407033      0.397105      0.310564      0.118856       0.00000       0.00000    
  0.758542E-02   5.10869      0.648037      0.743233      0.511933      0.687780      0.136104      0.554528E-01   1.19971      0.396821      0.386212      0.301446      0.115112       0.00000       0.00000    
  0.831724E-02   4.97214      0.643032      0.727934      0.498062      0.667835      0.144970      0.600989E-01   1.16590      0.386664      0.375330      0.292371      0.111398       0.00000       0.00000    
  0.911966E-02   4.83573      0.638389      0.712885      0.484234      0.647913      0.154155      0.649721E-01   1.13215      0.376534      0.364450      0.283316      0.107700       0.00000       0.00000    
  0.999950E-02   4.69927      0.634510      0.698350      0.470455      0.627985      0.164055      0.703650E-01   1.09844      0.366435      0.353546      0.274280      0.104020       0.00000       0.00000    
  0.109642E-01   4.56330      0.631047      0.684122      0.456732      0.608090      0.174316      0.760325E-01   1.06482      0.356367      0.342648      0.265272      0.100364       0.00000       0.00000    
  0.120220E-01   4.42803      0.628343      0.670450      0.443087      0.588226      0.185256      0.822239E-01   1.03131      0.346343      0.331743      0.256302      0.967433E-01   0.00000       0.00000    
  0.131819E-01   4.29310      0.626290      0.657255      0.429480      0.568351      0.196810      0.889039E-01  0.997831      0.336337      0.320813      0.247346      0.931431E-01   0.00000       0.00000    
  0.144536E-01   4.15849      0.624890      0.644549      0.415902      0.548454      0.208987      0.960949E-01  0.964356      0.326340      0.309851      0.238402      0.895622E-01   0.00000       0.00000    
  0.158481E-01   4.02417      0.624098      0.632310      0.402343      0.528525      0.221755      0.103784      0.930869      0.316345      0.298852      0.229463      0.859982E-01   0.00000       0.00000    
  0.173770E-01   3.89009      0.623918      0.620552      0.388796      0.508559      0.235122      0.111993      0.897355      0.306345      0.287814      0.220527      0.824507E-01   0.00000       0.00000    
  0.190535E-01   3.75625      0.624407      0.609337      0.375254      0.488543      0.249154      0.120795      0.863796      0.296333      0.276726      0.211591      0.789209E-01   0.00000       0.00000    
  0.208917E-01   3.62261      0.625546      0.598670      0.361710      0.468473      0.263837      0.130197      0.830182      0.286301      0.265587      0.202654      0.754087E-01   0.00000       0.00000    
  0.229073E-01   3.48909      0.627283      0.588525      0.348159      0.448350      0.279125      0.140175      0.796509      0.276245      0.254398      0.193715      0.719135E-01   0.00000       0.00000    
  0.251174E-01   3.35568      0.629607      0.578913      0.334596      0.428176      0.295011      0.150737      0.762772      0.266160      0.243161      0.184774      0.684364E-01   0.00000       0.00000    
  0.275406E-01   3.22234      0.632558      0.569897      0.321018      0.407949      0.311540      0.161949      0.728967      0.256037      0.231871      0.175834      0.649811E-01   0.00000       0.00000    
  0.301976E-01   3.08903      0.636090      0.561463      0.307423      0.387679      0.328667      0.173784      0.695101      0.245873      0.220535      0.166899      0.615494E-01   0.00000       0.00000    
  0.331110E-01   2.95572      0.640137      0.553574      0.293811      0.367381      0.346326      0.186193      0.661192      0.235668      0.209164      0.157973      0.581427E-01   0.00000       0.00000    
  0.363055E-01   2.82240      0.644665      0.546224      0.280184      0.347072      0.364481      0.199152      0.627256      0.225420      0.197765      0.149063      0.547643E-01   0.00000       0.00000    
  0.398081E-01   2.68907      0.649678      0.539454      0.266546      0.326775      0.383133      0.212680      0.593320      0.215123      0.186350      0.140183      0.514222E-01   0.00000       0.00000    
  0.436487E-01   2.55577      0.655096      0.533212      0.252902      0.306522      0.402193      0.226690      0.559424      0.204782      0.174939      0.131345      0.481203E-01   0.00000       0.00000    
  0.478598E-01   2.42253      0.660836      0.527429      0.239264      0.286346      0.421571      0.241083      0.525610      0.194402      0.163552      0.122561      0.448621E-01   0.00000       0.00000    
