 First iteration    1365.1867875683915             1145   1.1923028712387700     
After minimisation    1365.19  1145     1.192

  Partial chi2s 
Dataset    1    441.03( +9.00)   377  HERA1+2 NCep 920                                
Dataset    2     66.01( +0.17)    70  HERA1+2 NCep 820                                
Dataset    3    219.10( +1.47)   254  HERA1+2 NCep 575                                
Dataset    4    218.09( -0.49)   204  HERA1+2 NCep 460                                
Dataset    5    219.16( +0.42)   159  HERA1+2 NCem                                    
Dataset    6     45.47( +0.66)    39  HERA1+2 CCep                                    
Dataset    7     54.53( -2.14)    42  HERA1+2 CCem                                    

 Correlated Chi2    92.691079685260036     
 Log penalty Chi2    9.0940142173986622     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3796   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5296   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3241   +/-   0.5566        :N:M:D
    4  sysHZComb1004                          0.2486   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.1957   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.1102   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1270   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0602   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0031   +/-   0.8994        :N:M:D
   10  sysHZComb1010                         -0.3742   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8392   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4210   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6381   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0437   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0868   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0775   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2914   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.2347   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3590   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3579   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0894   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1885   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1388   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.1237   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1476   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8859   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0807   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.8014   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.6592   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.2702   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.6407   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6356   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7754   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4385   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0248   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.3989   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.5228   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5051   +/-   0.9125        :N:M:D
   39  sysHZComb1039                         -0.4538   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1671   +/-   0.9301        :N:M:D
   41  sysHZComb1041                         -0.6397   +/-   0.8121        :N:M:D
   42  sysHZComb1042                         -0.1726   +/-   0.8743        :N:M:D
   43  sysHZComb1043                          0.0161   +/-   0.9095        :N:M:D
   44  sysHZComb1044                         -0.0490   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4539   +/-   0.9309        :N:M:D
   46  sysHZComb1046                         -0.2273   +/-   0.9568        :N:M:D
   47  sysHZComb1047                          0.2871   +/-   0.9467        :N:M:D
   48  sysHZComb1048                         -0.0241   +/-   0.9609        :N:M:D
   49  sysHZComb1049                         -0.4513   +/-   0.9455        :N:M:D
   50  sysHZComb1050                          0.3552   +/-   0.9428        :N:M:D
   51  sysHZComb1051                          0.3963   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.7825   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.6978   +/-   0.9191        :N:M:D
   54  sysHZComb1054                         -0.0062   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5135   +/-   0.9056        :N:M:D
   56  sysHZComb1056                         -1.5281   +/-   0.8903        :N:M:D
   57  sysHZComb1057                          0.0531   +/-   0.9193        :N:M:D
   58  sysHZComb1058                          0.1106   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -1.1146   +/-   0.8698        :N:M:D
   60  sysHZComb1060                          0.1777   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1550   +/-   0.9831        :N:M:D
