 First iteration    1369.5909357862556             1145   1.1961492888962930     
After minimisation    1369.59  1145     1.196

  Partial chi2s 
Dataset    1    447.16( +5.52)   377  HERA1+2 NCep 920                                
Dataset    2     64.96( -0.24)    70  HERA1+2 NCep 820                                
Dataset    3    222.70( -0.24)   254  HERA1+2 NCep 575                                
Dataset    4    219.26( -2.02)   204  HERA1+2 NCep 460                                
Dataset    5    219.49( -1.14)   159  HERA1+2 NCem                                    
Dataset    6     45.09( +0.39)    39  HERA1+2 CCep                                    
Dataset    7     57.54( -2.48)    42  HERA1+2 CCem                                    

 Correlated Chi2    93.596878171064489     
 Log penalty Chi2  -0.20949951332154670     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1684   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5195   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3193   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.3310   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4287   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.5672   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1216   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0763   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0291   +/-   0.8997        :N:M:D
   10  sysHZComb1010                         -0.4495   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.6517   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3937   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.4912   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0894   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1040   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1741   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3762   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.0871   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3748   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3904   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1921   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.0263   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1925   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0358   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1344   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9120   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.2097   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.9337   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.3854   +/-   0.9185        :N:M:D
   30  sysHZComb1030                         -0.4232   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.8985   +/-   0.8389        :N:M:D
   32  sysHZComb1032                          0.5761   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7364   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.3519   +/-   0.9841        :N:M:D
   35  sysHZComb1035                          0.0527   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.5118   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.4162   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.6861   +/-   0.9127        :N:M:D
   39  sysHZComb1039                         -0.4819   +/-   0.9535        :N:M:D
   40  sysHZComb1040                          0.0138   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.6606   +/-   0.8125        :N:M:D
   42  sysHZComb1042                         -0.2438   +/-   0.8746        :N:M:D
   43  sysHZComb1043                          0.3125   +/-   0.9097        :N:M:D
