 First iteration    1369.8696258351290             1145   1.1963926863188901     
After minimisation    1369.87  1145     1.196

  Partial chi2s 
Dataset    1    440.22( +8.20)   377  HERA1+2 NCep 920                                
Dataset    2     67.01( +0.08)    70  HERA1+2 NCep 820                                
Dataset    3    219.17( +1.09)   254  HERA1+2 NCep 575                                
Dataset    4    218.41( -0.82)   204  HERA1+2 NCep 460                                
Dataset    5    218.08( +0.03)   159  HERA1+2 NCem                                    
Dataset    6     47.59( -0.06)    39  HERA1+2 CCep                                    
Dataset    7     56.12( -2.05)    42  HERA1+2 CCem                                    

 Correlated Chi2    96.793489506849113     
 Log penalty Chi2    6.4688736023214863     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.4304   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5354   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3796   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.4000   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.2318   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.0604   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1256   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0616   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0048   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3513   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8402   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4409   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6581   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0385   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0859   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0792   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2846   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.2571   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3496   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3450   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0760   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.2050   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2208   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.1079   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1636   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8249   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0305   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.7785   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.6617   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.3129   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.5971   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6522   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7748   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4338   +/-   0.9840        :N:M:D
   35  sysHZComb1035                         -0.0601   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.3957   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5863   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.4208   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4222   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1905   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.6109   +/-   0.8121        :N:M:D
   42  sysHZComb1042                         -0.2115   +/-   0.8744        :N:M:D
   43  sysHZComb1043                         -0.0988   +/-   0.9095        :N:M:D
