 First iteration    1365.8179340608183             1145   1.1928540908828107     
After minimisation    1365.82  1145     1.193

  Partial chi2s 
Dataset    1    445.51( +7.95)   377  HERA1+2 NCep 920                                
Dataset    2     66.60( +0.01)    70  HERA1+2 NCep 820                                
Dataset    3    219.54( +1.05)   254  HERA1+2 NCep 575                                
Dataset    4    218.58( -0.86)   204  HERA1+2 NCep 460                                
Dataset    5    220.54( -0.31)   159  HERA1+2 NCem                                    
Dataset    6     45.45( -0.00)    39  HERA1+2 CCep                                    
Dataset    7     55.49( -2.11)    42  HERA1+2 CCem                                    

 Correlated Chi2    88.390700987338477     
 Log penalty Chi2    5.7157684598121490     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3129   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5223   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2889   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.1860   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.0299   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.0316   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1264   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0621   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0026   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.4034   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8116   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4253   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6175   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0467   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0929   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0597   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3130   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.2068   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3761   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3614   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.1074   +/-   0.9743        :N:M:D
   22  sysHZComb1022                          0.1881   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.0782   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0989   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1309   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9436   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0861   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.7928   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5967   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.1916   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.6479   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6369   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7269   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4436   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.0523   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.4026   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.4298   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.6002   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4517   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.2056   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.6512   +/-   0.8122        :N:M:D
   42  sysHZComb1042                         -0.1223   +/-   0.8744        :N:M:D
   43  sysHZComb1043                          0.0027   +/-   0.9096        :N:M:D
   44  sysHZComb1044                         -0.0527   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4485   +/-   0.9310        :N:M:D
   46  sysHZComb1046                         -0.2356   +/-   0.9569        :N:M:D
   47  sysHZComb1047                          0.2539   +/-   0.9468        :N:M:D
   48  sysHZComb1048                         -0.0630   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.5329   +/-   0.9458        :N:M:D
   50  sysHZComb1050                          0.3830   +/-   0.9429        :N:M:D
   51  sysHZComb1051                          0.3268   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.8284   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.6657   +/-   0.9191        :N:M:D
   54  sysHZComb1054                          0.0371   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.6369   +/-   0.9056        :N:M:D
   56  sysHZComb1056                         -1.4083   +/-   0.8904        :N:M:D
   57  sysHZComb1057                          0.0485   +/-   0.9195        :N:M:D
   58  sysHZComb1058                          0.0968   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -1.0366   +/-   0.8698        :N:M:D
   60  sysHZComb1060                          0.1610   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1505   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.4041   +/-   0.8950        :N:M:D
   63  sysHZComb1063                          0.4605   +/-   0.8364        :N:M:D
   64  sysHZComb1064                          0.7154   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.9058   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7167   +/-   0.9320        :N:M:D
   67  sysHZComb1067                         -0.1548   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.4760   +/-   0.9198        :N:M:D
   69  sysHZComb1069                         -0.2031   +/-   0.9124        :N:M:D
   70  sysHZComb1070                          0.2954   +/-   0.9074        :N:M:D
   71  sysHZComb1071                         -1.1300   +/-   0.8574        :N:M:D
   72  sysHZComb1072                         -0.0529   +/-   0.9702        :N:M:D
   73  sysHZComb1073                          0.1299   +/-   0.9036        :N:M:D
   74  sysHZComb1074                         -0.0665   +/-   0.9351        :N:M:D
   75  sysHZComb1075                         -0.0226   +/-   0.8653        :N:M:D
   76  sysHZComb1076                         -0.0284   +/-   0.9605        :N:M:D
   77  sysHZComb1077                         -0.6260   +/-   0.9611        :N:M:D
   78  sysHZComb1078                          0.0105   +/-   0.9756        :N:M:D
   79  sysHZComb1079                         -0.1455   +/-   0.8842        :N:M:D
   80  sysHZComb1080                         -0.4743   +/-   0.9249        :N:M:D
   81  sysHZComb1081                         -0.0785   +/-   0.8874        :N:M:D
   82  sysHZComb1082                         -0.7506   +/-   0.8382        :N:M:D
   83  sysHZComb1083                         -1.3847   +/-   0.8903        :N:M:D
   84  sysHZComb1084                          0.2099   +/-   0.9684        :N:M:D
   85  sysHZComb1085                         -0.1969   +/-   0.8686        :N:M:D
   86  sysHZComb1086                         -0.1474   +/-   0.7918        :N:M:D
   87  sysHZComb1087                         -0.6874   +/-   0.8596        :N:M:D
   88  sysHZComb1088                          0.3010   +/-   0.9911        :N:M:D
   89  sysHZComb1089                          0.1212   +/-   0.9610        :N:M:D
   90  sysHZComb1090                          0.6484   +/-   0.9429        :N:M:D
   91  sysHZComb1091                          0.6484   +/-   0.8871        :N:M:D
   92  sysHZComb1092                          0.1318   +/-   0.8090        :N:M:D
