 First iteration    1376.1792138853691             1145   1.2019032435680079     
After minimisation    1376.18  1145     1.202

  Partial chi2s 
Dataset    1    443.40( +9.81)   377  HERA1+2 NCep 920                                
Dataset    2     65.99( +0.45)    70  HERA1+2 NCep 820                                
Dataset    3    217.15( +2.64)   254  HERA1+2 NCep 575                                
Dataset    4    215.26( +0.31)   204  HERA1+2 NCep 460                                
Dataset    5    221.51( -0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.98( -0.46)    39  HERA1+2 CCep                                    
Dataset    7     54.98( -1.96)    42  HERA1+2 CCem                                    

 Correlated Chi2    97.118081650435542     
 Log penalty Chi2    10.778510983291602     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3431   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4577   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.0663   +/-   0.5565        :N:M:D
    4  sysHZComb1004                         -0.0787   +/-   0.6187        :N:M:D
    5  sysHZComb1005                          1.3400   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.3075   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1242   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0581   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0489   +/-   0.8991        :N:M:D
   10  sysHZComb1010                         -0.3463   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8582   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3604   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.5954   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0701   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.1015   +/-   0.9632        :N:M:D
   16  sysHZComb1016                         -0.1178   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2596   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1166   +/-   0.8224        :N:M:D
   19  sysHZComb1019                         -0.3883   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3211   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0511   +/-   0.9743        :N:M:D
   22  sysHZComb1022                          0.1608   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.0585   +/-   0.9451        :N:M:D
   24  sysHZComb1024                          0.0392   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1240   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.7951   +/-   0.9200        :N:M:D
   27  sysHZComb1027                         -1.1459   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.8697   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5061   +/-   0.9183        :N:M:D
   30  sysHZComb1030                         -0.5117   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.7779   +/-   0.8385        :N:M:D
   32  sysHZComb1032                          0.6258   +/-   0.9642        :N:M:D
   33  sysHZComb1033                          0.8032   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4811   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.0906   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.4340   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.5382   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.6483   +/-   0.9124        :N:M:D
   39  sysHZComb1039                         -0.5809   +/-   0.9534        :N:M:D
   40  sysHZComb1040                         -0.0666   +/-   0.9301        :N:M:D
   41  sysHZComb1041                         -0.5431   +/-   0.8117        :N:M:D
   42  sysHZComb1042                         -0.1088   +/-   0.8741        :N:M:D
   43  sysHZComb1043                          0.2878   +/-   0.9095        :N:M:D
   44  sysHZComb1044                         -0.0832   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.6037   +/-   0.9310        :N:M:D
   46  sysHZComb1046                         -0.3441   +/-   0.9569        :N:M:D
   47  sysHZComb1047                          0.2526   +/-   0.9469        :N:M:D
   48  sysHZComb1048                          0.0410   +/-   0.9609        :N:M:D
   49  sysHZComb1049                         -0.6529   +/-   0.9460        :N:M:D
   50  sysHZComb1050                          0.4848   +/-   0.9429        :N:M:D
   51  sysHZComb1051                          0.2029   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          1.0753   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.6312   +/-   0.9190        :N:M:D
   54  sysHZComb1054                          0.0124   +/-   0.9749        :N:M:D
   55  sysHZComb1055                         -1.6672   +/-   0.9055        :N:M:D
   56  sysHZComb1056                         -1.1480   +/-   0.8903        :N:M:D
   57  sysHZComb1057                          0.0684   +/-   0.9194        :N:M:D
   58  sysHZComb1058                          0.0214   +/-   0.9432        :N:M:D
   59  sysHZComb1059                         -0.9666   +/-   0.8697        :N:M:D
   60  sysHZComb1060                          0.0681   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1435   +/-   0.9830        :N:M:D
   62  sysHZComb1062                         -1.5088   +/-   0.8949        :N:M:D
   63  sysHZComb1063                          0.4732   +/-   0.8363        :N:M:D
   64  sysHZComb1064                          0.7126   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.8433   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.5847   +/-   0.9319        :N:M:D
   67  sysHZComb1067                         -0.0762   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.3824   +/-   0.9198        :N:M:D
   69  sysHZComb1069                         -0.3798   +/-   0.9124        :N:M:D
   70  sysHZComb1070                          0.3610   +/-   0.9073        :N:M:D
