 First iteration    1365.1520232578905             1145   1.1922725093955375     
After minimisation    1365.15  1145     1.192

  Partial chi2s 
Dataset    1    439.36(+10.08)   377  HERA1+2 NCep 920                                
Dataset    2     65.35( +0.38)    70  HERA1+2 NCep 820                                
Dataset    3    218.22( +2.29)   254  HERA1+2 NCep 575                                
Dataset    4    216.24( +0.14)   204  HERA1+2 NCep 460                                
Dataset    5    218.77( +0.40)   159  HERA1+2 NCem                                    
Dataset    6     44.96( +0.30)    39  HERA1+2 CCep                                    
Dataset    7     56.09( -1.95)    42  HERA1+2 CCem                                    

 Correlated Chi2    94.534739240431946     
 Log penalty Chi2    11.629901259290163     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3960   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5289   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2865   +/-   0.5566        :N:M:D
    4  sysHZComb1004                          0.1143   +/-   0.6187        :N:M:D
    5  sysHZComb1005                          1.3667   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.2866   +/-   0.7878        :N:M:D
    7  sysHZComb1007                          0.1274   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0589   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0281   +/-   0.8993        :N:M:D
   10  sysHZComb1010                         -0.3711   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8722   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3913   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6260   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0647   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0825   +/-   0.9632        :N:M:D
   16  sysHZComb1016                         -0.0858   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.2761   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.1844   +/-   0.8225        :N:M:D
   19  sysHZComb1019                         -0.3594   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.3542   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0698   +/-   0.9743        :N:M:D
   22  sysHZComb1022                          0.2045   +/-   0.9686        :N:M:D
   23  sysHZComb1023                         -0.0801   +/-   0.9451        :N:M:D
   24  sysHZComb1024                          0.0985   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1394   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8770   +/-   0.9200        :N:M:D
   27  sysHZComb1027                         -1.0893   +/-   0.9543        :N:M:D
   28  sysHZComb1028                          0.7983   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.6156   +/-   0.9183        :N:M:D
   30  sysHZComb1030                         -0.3156   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.7530   +/-   0.8385        :N:M:D
   32  sysHZComb1032                          0.6147   +/-   0.9642        :N:M:D
   33  sysHZComb1033                          0.7659   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4323   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.0096   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.4056   +/-   0.9742        :N:M:D
   37  sysHZComb1037                          0.4885   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.6301   +/-   0.9125        :N:M:D
   39  sysHZComb1039                         -0.5360   +/-   0.9534        :N:M:D
   40  sysHZComb1040                         -0.1811   +/-   0.9301        :N:M:D
   41  sysHZComb1041                         -0.6139   +/-   0.8119        :N:M:D
   42  sysHZComb1042                         -0.1209   +/-   0.8742        :N:M:D
   43  sysHZComb1043                          0.0751   +/-   0.9094        :N:M:D
   44  sysHZComb1044                         -0.0654   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4819   +/-   0.9309        :N:M:D
   46  sysHZComb1046                         -0.2269   +/-   0.9568        :N:M:D
   47  sysHZComb1047                          0.2050   +/-   0.9467        :N:M:D
   48  sysHZComb1048                         -0.0007   +/-   0.9609        :N:M:D
   49  sysHZComb1049                         -0.5786   +/-   0.9457        :N:M:D
   50  sysHZComb1050                          0.4079   +/-   0.9428        :N:M:D
   51  sysHZComb1051                          0.3307   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.8635   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.6740   +/-   0.9190        :N:M:D
   54  sysHZComb1054                          0.0033   +/-   0.9749        :N:M:D
   55  sysHZComb1055                         -1.5541   +/-   0.9055        :N:M:D
   56  sysHZComb1056                         -1.4544   +/-   0.8903        :N:M:D
   57  sysHZComb1057                          0.1255   +/-   0.9193        :N:M:D
   58  sysHZComb1058                          0.0913   +/-   0.9432        :N:M:D
   59  sysHZComb1059                         -0.9720   +/-   0.8697        :N:M:D
   60  sysHZComb1060                          0.1329   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1365   +/-   0.9830        :N:M:D
   62  sysHZComb1062                         -1.3292   +/-   0.8947        :N:M:D
   63  sysHZComb1063                          0.4533   +/-   0.8363        :N:M:D
   64  sysHZComb1064                          0.7124   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.9185   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7063   +/-   0.9319        :N:M:D
   67  sysHZComb1067                         -0.1517   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.4861   +/-   0.9198        :N:M:D
   69  sysHZComb1069                         -0.1899   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          0.3419   +/-   0.9072        :N:M:D
   71  sysHZComb1071                         -1.3136   +/-   0.8572        :N:M:D
