 First iteration    1368.7048377135679             1145   1.1953754041166533     
After minimisation    1368.70  1145     1.195

  Partial chi2s 
Dataset    1    446.50( +4.54)   377  HERA1+2 NCep 920                                
Dataset    2     67.33( -0.52)    70  HERA1+2 NCep 820                                
Dataset    3    220.14( -0.87)   254  HERA1+2 NCep 575                                
Dataset    4    219.80( -2.52)   204  HERA1+2 NCep 460                                
Dataset    5    219.34( -0.99)   159  HERA1+2 NCem                                    
Dataset    6     45.97( -0.30)    39  HERA1+2 CCep                                    
Dataset    7     57.38( -2.21)    42  HERA1+2 CCem                                    

 Correlated Chi2    95.108297395957223     
 Log penalty Chi2   -2.8694605210232975     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.2254   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.4532   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2059   +/-   0.5568        :N:M:D
    4  sysHZComb1004                          0.4838   +/-   0.6189        :N:M:D
    5  sysHZComb1005                          0.4614   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.4547   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1232   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0708   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0175   +/-   0.8998        :N:M:D
   10  sysHZComb1010                         -0.3358   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7050   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.5051   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6289   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0228   +/-   0.9876        :N:M:D
   15  sysHZComb1015                         -0.1167   +/-   0.9634        :N:M:D
   16  sysHZComb1016                         -0.1376   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.3428   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.2017   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.3589   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3361   +/-   0.9815        :N:M:D
   21  sysHZComb1021                         -0.1045   +/-   0.9745        :N:M:D
   22  sysHZComb1022                          0.0814   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.2934   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.0257   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.1404   +/-   0.9934        :N:M:D
   26  sysHZComb1026                         -0.7661   +/-   0.9203        :N:M:D
   27  sysHZComb1027                         -1.0660   +/-   0.9545        :N:M:D
   28  sysHZComb1028                          0.8596   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.5070   +/-   0.9186        :N:M:D
   30  sysHZComb1030                         -0.5520   +/-   0.9439        :N:M:D
   31  sysHZComb1031                         -0.5960   +/-   0.8390        :N:M:D
   32  sysHZComb1032                          0.7027   +/-   0.9644        :N:M:D
   33  sysHZComb1033                          0.7932   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4410   +/-   0.9841        :N:M:D
   35  sysHZComb1035                         -0.0262   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.4551   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.6667   +/-   0.9703        :N:M:D
   38  sysHZComb1038                         -0.4179   +/-   0.9127        :N:M:D
