   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.02194      0.608102       1.10169      0.603929       1.10079      0.417367E-02  0.904310E-03   1.70472      0.636254      0.636012      0.464825      -.323258E-01   0.00000       0.00000      0.464777    
  0.109648E-03   1.18771      0.602530       1.08846      0.598059       1.08749      0.447148E-02  0.975209E-03   1.68555      0.628612      0.628349      0.459188      -.305529E-01   0.00000       0.00000      0.459139    
  0.120226E-03   1.34022      0.596989       1.07531      0.592184       1.07425      0.480465E-02  0.105601E-02   1.66643      0.621020      0.620735      0.453564      -.288354E-01   0.00000       0.00000      0.453515    
  0.131825E-03   1.48755      0.591466       1.06218      0.586312       1.06104      0.515425E-02  0.114153E-02   1.64735      0.613451      0.613142      0.447948      -.271393E-01   0.00000       0.00000      0.447898    
  0.144543E-03   1.62746      0.585969       1.04911      0.580441       1.04787      0.552737E-02  0.123379E-02   1.62831      0.605915      0.605580      0.442344      -.254739E-01   0.00000       0.00000      0.442292    
  0.158489E-03   1.75768      0.580518       1.03611      0.574581       1.03477      0.593694E-02  0.133679E-02   1.60935      0.598429      0.598066      0.436759      -.238482E-01   0.00000       0.00000      0.436707    
  0.173779E-03   1.88326      0.575093       1.02315      0.568727       1.02171      0.636572E-02  0.144553E-02   1.59043      0.590968      0.590575      0.431186      -.222415E-01   0.00000       0.00000      0.431133    
  0.190545E-03   2.00005      0.569722       1.01028      0.562888       1.00871      0.683376E-02  0.156613E-02   1.57160      0.583559      0.583132      0.425635      -.206708E-01   0.00000       0.00000      0.425581    
  0.208928E-03   2.11027      0.564402      0.997477      0.557065      0.995780      0.733665E-02  0.169755E-02   1.55284      0.576192      0.575729      0.420105      -.191268E-01   0.00000       0.00000      0.420051    
  0.229085E-03   2.21624      0.559115      0.984722      0.551253      0.982886      0.786236E-02  0.183605E-02   1.53414      0.568853      0.568352      0.414588      -.176002E-01   0.00000       0.00000      0.414534    
  0.251186E-03   2.31247      0.553920      0.972088      0.545470      0.970094      0.844954E-02  0.199415E-02   1.51556      0.561584      0.561041      0.409108      -.161137E-01   0.00000       0.00000      0.409053    
  0.275420E-03   2.40469      0.548770      0.959511      0.539703      0.957348      0.906680E-02  0.216209E-02   1.49705      0.554347      0.553759      0.403645      -.146438E-01   0.00000       0.00000      0.403590    
  0.301992E-03   2.49151      0.543681      0.947009      0.533956      0.944666      0.972450E-02  0.234327E-02   1.47862      0.547153      0.546516      0.398206      -.131964E-01   0.00000       0.00000      0.398150    
  0.331127E-03   2.57097      0.538690      0.934623      0.528242      0.932077      0.104477E-01  0.254651E-02   1.46032      0.540022      0.539332      0.392801      -.117801E-01   0.00000       0.00000      0.392745    
  0.363073E-03   2.64699      0.533749      0.922295      0.522544      0.919534      0.112050E-01  0.276140E-02   1.44208      0.532923      0.532176      0.387414      -.103787E-01   0.00000       0.00000      0.387358    
  0.398101E-03   2.71659      0.528909      0.910080      0.516878      0.907080      0.120302E-01  0.299978E-02   1.42396      0.525884      0.525074      0.382062      -.900519E-02   0.00000       0.00000      0.382006    
  0.436509E-03   2.78120      0.524159      0.897962      0.511241      0.894702      0.129183E-01  0.326059E-02   1.40594      0.518895      0.518018      0.376739      -.765418E-02   0.00000       0.00000      0.376684    
  0.478622E-03   2.84266      0.519468      0.885906      0.505621      0.882370      0.138468E-01  0.353581E-02   1.38799      0.511938      0.510990      0.371435      -.631743E-02   0.00000       0.00000      0.371380    
  0.524798E-03   2.89700      0.514926      0.874003      0.500044      0.870152      0.148819E-01  0.385008E-02   1.37020      0.505058      0.504031      0.366177      -.501419E-02   0.00000       0.00000      0.366122    
  0.575429E-03   2.94827      0.510460      0.862172      0.494488      0.857987      0.159719E-01  0.418503E-02   1.35247      0.498214      0.497102      0.360939      -.372624E-02   0.00000       0.00000      0.360885    
  0.630945E-03   2.99565      0.506088      0.850432      0.488957      0.845886      0.171311E-01  0.454609E-02   1.33484      0.491414      0.490211      0.355728      -.245761E-02   0.00000       0.00000      0.355675    
  0.691816E-03   3.03750      0.501871      0.838837      0.483464      0.833884      0.184077E-01  0.495271E-02   1.31735      0.484682      0.483379      0.350558      -.121830E-02   0.00000       0.00000      0.350505    
