   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   2.84041      0.772904       1.26189      0.768172       1.26075      0.473251E-02  0.114335E-02   2.02892      0.715662      0.715401      0.545419      0.525096E-01   0.00000       0.00000      0.545349    
  0.109648E-03   2.98578      0.764669       1.24601      0.759606       1.24478      0.506221E-02  0.122821E-02   2.00439      0.706693      0.706410      0.538444      0.529133E-01   0.00000       0.00000      0.538372    
  0.120226E-03   3.11674      0.756427       1.23016      0.750997       1.22884      0.543016E-02  0.132435E-02   1.97983      0.697755      0.697447      0.531462      0.532421E-01   0.00000       0.00000      0.531389    
  0.131825E-03   3.24207      0.748192       1.21433      0.742376       1.21291      0.581583E-02  0.142584E-02   1.95528      0.688833      0.688500      0.524482      0.535431E-01   0.00000       0.00000      0.524408    
  0.144543E-03   3.35936      0.739967       1.19854      0.733740       1.19700      0.622687E-02  0.153497E-02   1.93074      0.679935      0.679574      0.517505      0.538044E-01   0.00000       0.00000      0.517429    
  0.158489E-03   3.46616      0.731772       1.18280      0.725095       1.18115      0.667715E-02  0.165622E-02   1.90624      0.671078      0.670686      0.510538      0.540168E-01   0.00000       0.00000      0.510462    
  0.173779E-03   3.56794      0.723598       1.16710      0.716450       1.16532      0.714809E-02  0.178392E-02   1.88177      0.662243      0.661819      0.503579      0.542066E-01   0.00000       0.00000      0.503502    
  0.190545E-03   3.66025      0.715469       1.15148      0.707808       1.14955      0.766117E-02  0.192495E-02   1.85736      0.653453      0.652993      0.496637      0.543548E-01   0.00000       0.00000      0.496559    
  0.208928E-03   3.74550      0.707388       1.13592      0.699177       1.13384      0.821161E-02  0.207806E-02   1.83302      0.644703      0.644204      0.489714      0.544737E-01   0.00000       0.00000      0.489635    
  0.229085E-03   3.82618      0.699340       1.12040      0.690553       1.11816      0.878647E-02  0.223910E-02   1.80872      0.635979      0.635440      0.482803      0.545738E-01   0.00000       0.00000      0.482723    
  0.251186E-03   3.89642      0.691386       1.10501      0.681958       1.10259      0.942704E-02  0.242193E-02   1.78454      0.627325      0.626740      0.475927      0.546333E-01   0.00000       0.00000      0.475846    
  0.275420E-03   3.96238      0.683481       1.08967      0.673381       1.08706      0.100997E-01  0.261568E-02   1.76044      0.618704      0.618070      0.469069      0.546772E-01   0.00000       0.00000      0.468988    
  0.301992E-03   4.02258      0.675642       1.07442      0.664826       1.07160      0.108155E-01  0.282410E-02   1.73642      0.610126      0.609440      0.462236      0.547000E-01   0.00000       0.00000      0.462155    
  0.331127E-03   4.07496      0.667913       1.05929      0.656312       1.05623      0.116010E-01  0.305686E-02   1.71255      0.601616      0.600873      0.455443      0.546960E-01   0.00000       0.00000      0.455362    
  0.363073E-03   4.12367      0.660243       1.04423      0.647820       1.04092      0.124226E-01  0.330244E-02   1.68874      0.593140      0.592336      0.448670      0.546797E-01   0.00000       0.00000      0.448588    
  0.398101E-03   4.16561      0.652687       1.02929      0.639371       1.02571      0.133163E-01  0.357383E-02   1.66509      0.584730      0.583859      0.441936      0.546415E-01   0.00000       0.00000      0.441855    
  0.436509E-03   4.20229      0.645239       1.01446      0.630963       1.01059      0.142767E-01  0.386976E-02   1.64155      0.576376      0.575432      0.435239      0.545870E-01   0.00000       0.00000      0.435158    
  0.478622E-03   4.23564      0.637860      0.999704      0.622580      0.995522      0.152799E-01  0.418146E-02   1.61810      0.568057      0.567038      0.428564      0.545224E-01   0.00000       0.00000      0.428484    
  0.524798E-03   4.26155      0.630658      0.985125      0.614263      0.980589      0.163956E-01  0.453570E-02   1.59485      0.559827      0.558723      0.421945      0.544358E-01   0.00000       0.00000      0.421866    
  0.575429E-03   4.28425      0.623547      0.970631      0.605978      0.965719      0.175691E-01  0.491239E-02   1.57170      0.551638      0.550443      0.415354      0.543400E-01   0.00000       0.00000      0.415276    
  0.630945E-03   4.30289      0.616549      0.956247      0.597733      0.950929      0.188157E-01  0.531743E-02   1.54866      0.543500      0.542210      0.408796      0.542326E-01   0.00000       0.00000      0.408719    
  0.691816E-03   4.31581      0.609737      0.942033      0.589552      0.936261      0.201856E-01  0.577171E-02   1.52581      0.535443      0.534045      0.402291      0.541090E-01   0.00000       0.00000      0.402216    
  0.758561E-03   4.32610      0.603020      0.927904      0.581401      0.921652      0.216185E-01  0.625161E-02   1.50305      0.527423      0.525913      0.395812      0.539780E-01   0.00000       0.00000      0.395739    
  0.831745E-03   4.33163      0.596483      0.913933      0.573309      0.907151      0.231739E-01  0.678179E-02   1.48046      0.519475      0.517842      0.389379      0.538334E-01   0.00000       0.00000      0.389309    
  0.911989E-03   4.33331      0.590114      0.900104      0.565266      0.892742      0.248476E-01  0.736191E-02   1.45801      0.511589      0.509822      0.382988      0.536774E-01   0.00000       0.00000      0.382920    
  0.999975E-03   4.33263      0.583850      0.886365      0.557254      0.878391      0.265956E-01  0.797356E-02   1.43565      0.503740      0.501834      0.376623      0.535143E-01   0.00000       0.00000      0.376557    
  0.109645E-02   4.32672      0.577850      0.872839      0.549315      0.864171      0.285351E-01  0.866840E-02   1.41349      0.495980      0.493917      0.370316      0.533349E-01   0.00000       0.00000      0.370253    
  0.120223E-02   4.31847      0.571987      0.859420      0.541409      0.850011      0.305777E-01  0.940937E-02   1.39142      0.488262      0.486033      0.364036      0.531474E-01   0.00000       0.00000      0.363977    
  0.131822E-02   4.30743      0.566286      0.846128      0.533543      0.835923      0.327427E-01  0.102051E-01   1.36947      0.480593      0.478189      0.357790      0.529503E-01   0.00000       0.00000      0.357734    
  0.144540E-02   4.29227      0.560862      0.833043      0.525738      0.821943      0.351236E-01  0.111002E-01   1.34768      0.473001      0.470401      0.351593      0.527373E-01   0.00000       0.00000      0.351542    
  0.158485E-02   4.27527      0.555573      0.820057      0.517960      0.808011      0.376132E-01  0.120464E-01   1.32597      0.465444      0.462639      0.345419      0.525165E-01   0.00000       0.00000      0.345372    
  0.173775E-02   4.25498      0.550539      0.807254      0.510231      0.794164      0.403084E-01  0.130901E-01   1.30440      0.457950      0.454921      0.339286      0.522812E-01   0.00000       0.00000      0.339243    
  0.190540E-02   4.23193      0.545752      0.794622      0.502541      0.780387      0.432102E-01  0.142349E-01   1.28293      0.450510      0.447239      0.333186      0.520316E-01   0.00000       0.00000      0.333148    
  0.208923E-02   4.20723      0.541115      0.782094      0.494876      0.766652      0.462395E-01  0.154423E-01   1.26153      0.443102      0.439579      0.327106      0.517732E-01   0.00000       0.00000      0.327073    
  0.229079E-02   4.17893      0.536848      0.769812      0.487259      0.753001      0.495889E-01  0.168109E-01   1.24026      0.435766      0.431960      0.321068      0.514930E-01   0.00000       0.00000      0.321041    
  0.251180E-02   4.14893      0.532781      0.757659      0.479663      0.739386      0.531186E-01  0.182732E-01   1.21905      0.428462      0.424358      0.315049      0.512006E-01   0.00000       0.00000      0.315028    
  0.275413E-02   4.11704      0.528939      0.745650      0.472090      0.725810      0.568495E-01  0.198400E-01   1.19790      0.421195      0.416775      0.309051      0.508944E-01   0.00000       0.00000      0.309036    
  0.301984E-02   4.08220      0.525497      0.733891      0.464547      0.712286      0.609500E-01  0.216048E-01   1.17683      0.413984      0.409213      0.303082      0.505629E-01   0.00000       0.00000      0.303073    
  0.331118E-02   4.04606      0.522247      0.722248      0.457014      0.698779      0.652329E-01  0.234696E-01   1.15579      0.406795      0.401658      0.297123      0.502189E-01   0.00000       0.00000      0.297121    
  0.363064E-02   4.00766      0.519350      0.710819      0.449498      0.685299      0.698520E-01  0.255203E-01   1.13480      0.399646      0.394112      0.291182      0.498518E-01   0.00000       0.00000      0.291187    
  0.398091E-02   3.96724      0.516810      0.699600      0.441988      0.671829      0.748215E-01  0.277710E-01   1.11382      0.392528      0.386566      0.285252      0.494605E-01   0.00000       0.00000      0.285264    
  0.436498E-02   3.92564      0.514484      0.688507      0.434481      0.658364      0.800026E-01  0.301433E-01   1.09285      0.385427      0.379017      0.279327      0.490544E-01   0.00000       0.00000      0.279346    
  0.478610E-02   3.88149      0.512671      0.677710      0.426971      0.644889      0.857006E-01  0.328205E-01   1.07186      0.378358      0.371454      0.273408      0.486124E-01   0.00000       0.00000      0.273435    
  0.524785E-02   3.83604      0.511151      0.667078      0.419450      0.631396      0.917012E-01  0.356820E-01   1.05085      0.371301      0.363876      0.267487      0.481491E-01   0.00000       0.00000      0.267521    
  0.575415E-02   3.78923      0.509938      0.656621      0.411919      0.617884      0.980189E-01  0.387367E-01   1.02980      0.364255      0.356280      0.261562      0.476636E-01   0.00000       0.00000      0.261604    
  0.630929E-02   3.74015      0.509295      0.646485      0.404355      0.604313      0.104940      0.421719E-01   1.00867      0.357219      0.348640      0.255623      0.471358E-01   0.00000       0.00000      0.255673    
  0.691799E-02   3.69006      0.508923      0.636500      0.396770      0.590705      0.112152      0.457949E-01  0.987475      0.350183      0.340975      0.249673      0.465876E-01   0.00000       0.00000      0.249731    
  0.758542E-02   3.63822      0.509032      0.626785      0.389146      0.577028      0.119885      0.497574E-01  0.966174      0.343144      0.333260      0.243703      0.460028E-01   0.00000       0.00000      0.243768    
  0.831724E-02   3.58467      0.509646      0.617355      0.381470      0.563259      0.128175      0.540962E-01  0.944729      0.336091      0.325484      0.237702      0.453790E-01   0.00000       0.00000      0.237775    
  0.911966E-02   3.53014      0.510553      0.608089      0.373762      0.549432      0.136792      0.586569E-01  0.923194      0.329029      0.317669      0.231682      0.447326E-01   0.00000       0.00000      0.231763    
  0.999950E-02   3.47347      0.512123      0.599190      0.365966      0.535450      0.146157      0.637404E-01  0.901416      0.321931      0.309754      0.225608      0.440351E-01   0.00000       0.00000      0.225696    
  0.109642E-01   3.41583      0.514011      0.590480      0.358128      0.521397      0.155883      0.690831E-01  0.879525      0.314816      0.301792      0.219509      0.433122E-01   0.00000       0.00000      0.219605    
  0.120220E-01   3.35636      0.516502      0.582126      0.350203      0.507196      0.166299      0.749300E-01  0.857399      0.307662      0.293734      0.213360      0.425412E-01   0.00000       0.00000      0.213463    
  0.131819E-01   3.29522      0.519544      0.574100      0.342187      0.492841      0.177357      0.812587E-01  0.835028      0.300461      0.285577      0.207155      0.417262E-01   0.00000       0.00000      0.207265    
  0.144536E-01   3.23238      0.523146      0.566412      0.334071      0.478319      0.189074      0.880939E-01  0.812390      0.293205      0.277313      0.200890      0.408666E-01   0.00000       0.00000      0.201006    
  0.158481E-01   3.16791      0.527276      0.559054      0.325855      0.463628      0.201422      0.954258E-01  0.789483      0.285890      0.268942      0.194564      0.399644E-01   0.00000       0.00000      0.194686    
  0.173770E-01   3.10176      0.531945      0.552037      0.317529      0.448758      0.214416      0.103279      0.766287      0.278510      0.260459      0.188172      0.390191E-01   0.00000       0.00000      0.188300    
  0.190535E-01   3.03369      0.537210      0.545412      0.309074      0.433680      0.228136      0.111732      0.742755      0.271048      0.251844      0.181704      0.380257E-01   0.00000       0.00000      0.181837    
  0.208917E-01   2.96365      0.543062      0.539184      0.300484      0.418389      0.242578      0.120796      0.718873      0.263499      0.243094      0.175158      0.369851E-01   0.00000       0.00000      0.175294    
  0.229073E-01   2.89171      0.549461      0.533341      0.291760      0.402889      0.257701      0.130452      0.694649      0.255859      0.234214      0.168535      0.359004E-01   0.00000       0.00000      0.168675    
  0.251174E-01   2.81776      0.556403      0.527893      0.282894      0.387178      0.273508      0.140715      0.670072      0.248122      0.225201      0.161833      0.347719E-01   0.00000       0.00000      0.161977    
  0.275406E-01   2.74151      0.563933      0.522892      0.273866      0.371230      0.290067      0.151662      0.645095      0.240270      0.216038      0.155045      0.335958E-01   0.00000       0.00000      0.155191    
  0.301976E-01   2.66293      0.572014      0.518329      0.264673      0.355054      0.307341      0.163275      0.619726      0.232298      0.206732      0.148174      0.323749E-01   0.00000       0.00000      0.148322    
  0.331110E-01   2.58207      0.580591      0.514180      0.255320      0.338668      0.325271      0.175512      0.593988      0.224207      0.197293      0.141226      0.311135E-01   0.00000       0.00000      0.141375    
  0.363055E-01   2.49887      0.589639      0.510444      0.245806      0.322082      0.343833      0.188362      0.567887      0.215992      0.187727      0.134206      0.298134E-01   0.00000       0.00000      0.134355    
  0.398081E-01   2.41297      0.599167      0.507153      0.236108      0.305289      0.363058      0.201864      0.541397      0.207635      0.178028      0.127113      0.284733E-01   0.00000       0.00000      0.127261    
  0.436487E-01   2.32445      0.609104      0.504268      0.226236      0.288323      0.382868      0.215945      0.514559      0.199137      0.168216      0.119960      0.270985E-01   0.00000       0.00000      0.120107    
