   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   81.0070       6.57970       9.39507       6.56525       9.38978      0.144455E-01  0.528668E-02   15.9550       3.57978       3.57903       3.42417       2.98547       2.38679       0.00000       3.42396    
  0.109648E-03   78.1268       6.37529       9.09931       6.35998       9.09370      0.153045E-01  0.561296E-02   15.4537       3.47273       3.47192       3.31895       2.88725       2.30304       0.00000       3.31875    
  0.120226E-03   75.3696       6.17858       8.81477       6.16233       8.80880      0.162461E-01  0.597357E-02   14.9711       3.36954       3.36867       3.21757       2.79279       2.22277       0.00000       3.21736    
  0.131825E-03   72.6620       5.98501       8.53478       5.96778       8.52843      0.172253E-01  0.634995E-02   14.4962       3.26792       3.26698       3.11774       2.69986       2.14391       0.00000       3.11753    
  0.144543E-03   70.0254       5.79592       8.26129       5.77766       8.25455      0.182581E-01  0.674894E-02   14.0322       3.16855       3.16754       3.02014       2.60911       2.06707       0.00000       3.01993    
  0.158489E-03   67.4841       5.61291       7.99661       5.59353       7.98942      0.193723E-01  0.718261E-02   13.5830       3.07221       3.07113       2.92555       2.52132       1.99295       0.00000       2.92534    
  0.173779E-03   64.9893       5.43287       7.73621       5.41234       7.72858      0.205286E-01  0.763447E-02   13.1409       2.97737       2.97621       2.83244       2.43497       1.92014       0.00000       2.83223    
  0.190545E-03   62.5834       5.25854       7.48407       5.23677       7.47595      0.217705E-01  0.812330E-02   12.7127       2.88538       2.88413       2.74216       2.35139       1.84986       0.00000       2.74195    
  0.208928E-03   60.2458       5.08864       7.23831       5.06555       7.22966      0.230863E-01  0.864466E-02   12.2952       2.79560       2.79427       2.65407       2.26995       1.78154       0.00000       2.65386    
  0.229085E-03   57.9526       4.92162       6.99668       4.89717       6.98749      0.244505E-01  0.918728E-02   11.8847       2.70726       2.70583       2.56740       2.18991       1.71447       0.00000       2.56719    
  0.251186E-03   55.7636       4.76140       6.76483       4.73546       6.75504      0.259419E-01  0.978669E-02   11.4905       2.62231       2.62077       2.48409       2.11315       1.65038       0.00000       2.48389    
