 First iteration    3205.3106765345888              846   3.7887833055964406     
After minimisation    3205.31   846     3.789

  Partial chi2s 
Dataset    1    447.75( +7.64)   377  HERA1+2 NCep 920                                
Dataset    2     64.87( +0.14)    70  HERA1+2 NCep 820                                
Dataset    3    138.09(******)   110  D0 pp jets                                      
Dataset    4     51.45( +0.00)    35  CMS Boson rapidity                              
Dataset    5      9.43( +0.21)    11  CMS electon Asymmetry rapidity                  
Dataset    6    395.05(-14.25)   133  CMS inclusive jets 2011                         
Dataset    7      8.60( -1.08)    13  ATLAS high mass DY mass 2011                    
Dataset    8     13.15( +0.80)    16  ATLAS Jet data 0 <= |y| < 0.3 R=0.6             
Dataset    9     18.85( +0.23)    11  ATLAS W- lepton rapidity 2011                   
Dataset   10    559.09( +4.37)    30  LHCb 7TeV Dzero pT-y cross section normalised in
Dataset   11      3.13( +0.00)     5  Wplusc                                          
Dataset   12     46.01( -1.38)    35  CMS inclusive jets 8 TeV, 0.0 < |y| < 0.5       

 Correlated Chi2    979.98268003764917     
 Log penalty Chi2    469.88679635499358     
 Systematic shifts          406
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1313   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.1224   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.1596   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.4876   +/-   0.9489        :N:M:D
    5  sysHZComb1005                          0.8949   +/-   0.8153        :N:M:D
    6  sysHZComb1006                         -0.9423   +/-   0.8012        :N:M:D
    7  sysHZComb1007                          0.1467   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0418   +/-   0.9984        :N:M:D
    9  sysHZComb1009                         -0.0181   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.1698   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.8016   +/-   0.9672        :N:M:D
   12  sysHZComb1012                          0.4401   +/-   0.9727        :N:M:D
   13  sysHZComb1013                         -0.5939   +/-   0.9625        :N:M:D
   14  sysHZComb1014                         -0.0647   +/-   0.9878        :N:M:D
   15  sysHZComb1015                         -0.0918   +/-   0.9634        :N:M:D
   16  sysHZComb1016                         -0.1319   +/-   0.9760        :N:M:D
   17  sysHZComb1017                         -0.3160   +/-   0.9713        :N:M:D
   18  sysHZComb1018                          0.6430   +/-   0.8978        :N:M:D
   19  sysHZComb1019                         -0.4796   +/-   0.9855        :N:M:D
   20  sysHZComb1020                         -0.3558   +/-   0.9816        :N:M:D
   21  sysHZComb1021                         -0.1619   +/-   0.9757        :N:M:D
   22  sysHZComb1022                          0.0619   +/-   0.9693        :N:M:D
   23  sysHZComb1023                          0.0069   +/-   0.9486        :N:M:D
   24  sysHZComb1024                         -0.0536   +/-   0.9952        :N:M:D
   25  sysHZComb1025                          0.0630   +/-   0.9936        :N:M:D
   26  sysHZComb1026                         -0.4268   +/-   0.9729        :N:M:D
   27  sysHZComb1027                         -0.6758   +/-   0.9868        :N:M:D
   28  sysHZComb1028                          0.5218   +/-   0.9854        :N:M:D
   29  sysHZComb1029                         -0.2217   +/-   0.9408        :N:M:D
   30  sysHZComb1030                         -0.7306   +/-   0.9504        :N:M:D
   31  sysHZComb1031                         -1.6121   +/-   0.9554        :N:M:D
   32  sysHZComb1032                          0.3080   +/-   0.9703        :N:M:D
   33  sysHZComb1033                          0.4742   +/-   0.9750        :N:M:D
   34  sysHZComb1034                         -0.0434   +/-   0.9888        :N:M:D
   35  sysHZComb1035                         -0.1816   +/-   0.9851        :N:M:D
   36  sysHZComb1036                         -0.2918   +/-   0.9776        :N:M:D
   37  sysHZComb1037                          0.5469   +/-   0.9728        :N:M:D
   38  sysHZComb1038                         -0.4648   +/-   0.9289        :N:M:D
   39  sysHZComb1039                         -0.3434   +/-   0.9749        :N:M:D
   40  sysHZComb1040                         -0.0691   +/-   0.9529        :N:M:D
   41  sysHZComb1041                         -0.2779   +/-   0.9837        :N:M:D
   42  sysHZComb1042                          0.3373   +/-   0.9345        :N:M:D
   43  sysHZComb1043                          0.0197   +/-   0.9222        :N:M:D
   44  sysHZComb1044                         -0.3032   +/-   0.9419        :N:M:D
   45  sysHZComb1045                         -0.3920   +/-   0.9438        :N:M:D
   46  sysHZComb1046                         -0.1452   +/-   0.9689        :N:M:D
   47  sysHZComb1047                          0.4874   +/-   0.9636        :N:M:D
   48  sysHZComb1048                          0.0722   +/-   0.9635        :N:M:D
   49  sysHZComb1049                         -0.4620   +/-   0.9756        :N:M:D
   50  sysHZComb1050                          0.4306   +/-   0.9520        :N:M:D
   51  sysHZComb1051                          0.1325   +/-   0.9550        :N:M:D
   52  sysHZComb1052                          0.6397   +/-   0.9555        :N:M:D
   53  sysHZComb1053                         -1.0990   +/-   0.9657        :N:M:D
   54  sysHZComb1054                          0.0742   +/-   0.9757        :N:M:D
