After minimisation    2100.54   663     3.168

  Partial chi2s 
Dataset    1    439.35( +8.38)   377  HERA1+2 NCep 920                                
Dataset    2    244.19( +0.87)    83  BCDMS F2p 100GeV                                
Dataset    3    345.86(-16.69)    72  CDF inclusive jets                              
Dataset    4    166.53(******)   110  D0 pp jets                                      
Dataset    5     53.84( +0.00)    35  CMS Boson rapidity                              

 Correlated Chi2    390.66422401792812     
 Log penalty Chi2    460.10304624193469     
 Systematic shifts          222
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1513   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.1411   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.1825   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.5624   +/-   0.9496        :N:M:D
    5  sysHZComb1005                          1.0315   +/-   0.8177        :N:M:D
    6  sysHZComb1006                         -1.0817   +/-   0.8038        :N:M:D
    7  sysHZComb1007                          0.1456   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0344   +/-   0.9986        :N:M:D
    9  sysHZComb1009                         -0.0099   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.0826   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.7701   +/-   0.9676        :N:M:D
   12  sysHZComb1012                          0.3751   +/-   0.9733        :N:M:D
   13  sysHZComb1013                         -0.5304   +/-   0.9630        :N:M:D
   14  sysHZComb1014                         -0.0834   +/-   0.9883        :N:M:D
   15  sysHZComb1015                         -0.0586   +/-   0.9642        :N:M:D
   16  sysHZComb1016                         -0.1535   +/-   0.9775        :N:M:D
   17  sysHZComb1017                         -0.2668   +/-   0.9718        :N:M:D
   18  sysHZComb1018                          0.9861   +/-   0.8979        :N:M:D
   19  sysHZComb1019                         -0.4928   +/-   0.9859        :N:M:D
   20  sysHZComb1020                         -0.3835   +/-   0.9825        :N:M:D
   21  sysHZComb1021                          0.0609   +/-   0.9768        :N:M:D
   22  sysHZComb1022                          0.2556   +/-   0.9707        :N:M:D
   23  sysHZComb1023                          0.1613   +/-   0.9550        :N:M:D
   24  sysHZComb1024                         -0.0750   +/-   0.9962        :N:M:D
   25  sysHZComb1025                          0.1029   +/-   0.9942        :N:M:D
   26  sysHZComb1026                         -0.3792   +/-   0.9769        :N:M:D
   27  sysHZComb1027                         -0.5939   +/-   0.9892        :N:M:D
   28  sysHZComb1028                          0.3175   +/-   0.9871        :N:M:D
   29  sysHZComb1029                          0.2715   +/-   0.9518        :N:M:D
   30  sysHZComb1030                         -0.3794   +/-   0.9588        :N:M:D
   31  sysHZComb1031                         -1.0103   +/-   0.9615        :N:M:D
   32  sysHZComb1032                          0.0406   +/-   0.9751        :N:M:D
   33  sysHZComb1033                          0.1939   +/-   0.9789        :N:M:D
   34  sysHZComb1034                         -0.1178   +/-   0.9894        :N:M:D
   35  sysHZComb1035                         -0.1320   +/-   0.9858        :N:M:D
   36  sysHZComb1036                          0.0595   +/-   0.9807        :N:M:D
   37  sysHZComb1037                          0.4406   +/-   0.9748        :N:M:D
   38  sysHZComb1038                         -0.0031   +/-   0.9352        :N:M:D
   39  sysHZComb1039                         -0.2457   +/-   0.9826        :N:M:D
   40  sysHZComb1040                         -0.1437   +/-   0.9550        :N:M:D
   41  sysHZComb1041                         -0.1155   +/-   0.9865        :N:M:D
   42  sysHZComb1042                          0.3188   +/-   0.9487        :N:M:D
   43  sysHZComb1043                          0.0112   +/-   0.9363        :N:M:D
   44  sysHZComb1044                         -0.2874   +/-   0.9452        :N:M:D
   45  sysHZComb1045                         -0.3112   +/-   0.9514        :N:M:D
   46  sysHZComb1046                         -0.1197   +/-   0.9785        :N:M:D
   47  sysHZComb1047                          0.5381   +/-   0.9675        :N:M:D
   48  sysHZComb1048                          0.0686   +/-   0.9677        :N:M:D
   49  sysHZComb1049                         -0.4413   +/-   0.9786        :N:M:D
   50  sysHZComb1050                         -0.0300   +/-   0.9539        :N:M:D
   51  sysHZComb1051                         -0.1854   +/-   0.9721        :N:M:D
   52  sysHZComb1052                          0.5348   +/-   0.9661        :N:M:D
   53  sysHZComb1053                         -0.6902   +/-   0.9701        :N:M:D
   54  sysHZComb1054                          0.0722   +/-   0.9881        :N:M:D
   55  sysHZComb1055                         -0.4860   +/-   0.9588        :N:M:D
   56  sysHZComb1056                         -0.6411   +/-   0.9354        :N:M:D
   57  sysHZComb1057                         -0.4871   +/-   0.9616        :N:M:D
   58  sysHZComb1058                         -0.4458   +/-   0.9581        :N:M:D
   59  sysHZComb1059                         -0.7438   +/-   0.8982        :N:M:D
   60  sysHZComb1060                          0.1932   +/-   0.9874        :N:M:D
   61  sysHZComb1061                          0.0813   +/-   0.9882        :N:M:D
   62  sysHZComb1062                         -1.0461   +/-   0.9216        :N:M:D
   63  sysHZComb1063                          0.4604   +/-   0.9638        :N:M:D
   64  sysHZComb1064                          0.4932   +/-   0.9359        :N:M:D
   65  sysHZComb1065                         -0.3935   +/-   0.9701        :N:M:D
   66  sysHZComb1066                         -0.1810   +/-   0.9654        :N:M:D
   67  sysHZComb1067                          0.1471   +/-   0.9757        :N:M:D
   68  sysHZComb1068                         -0.4803   +/-   0.9367        :N:M:D
   69  sysHZComb1069                         -0.3316   +/-   0.9420        :N:M:D
   70  sysHZComb1070                          0.3431   +/-   0.9442        :N:M:D
   71  sysHZComb1071                         -0.9392   +/-   0.8837        :N:M:D
   72  sysHZComb1072                          0.3737   +/-   0.9838        :N:M:D
   73  sysHZComb1073                          0.0795   +/-   0.9651        :N:M:D
