 First iteration    51050.339425621729             1425   35.824799596927527     
After minimisation   51050.34  1425    35.825

  Partial chi2s 
Dataset    1    440.52( +6.39)   377  HERA1+2 NCep 920                                
Dataset    2     66.90( -0.19)    70  HERA1+2 NCep 820                                
Dataset    3    224.07( +0.13)   254  HERA1+2 NCep 575                                
Dataset    4    138.56(******)   110  D0 pp jets                                      
Dataset    5     57.60( +0.00)    35  CMS Boson rapidity                              
Dataset    6      7.84( +0.14)    11  CMS electon Asymmetry rapidity                  
Dataset    7     14.13( +0.00)    11  CMS W muon asymmetry                            
Dataset    8    328.39(-13.77)   133  CMS inclusive jets 2011                         
Dataset    9     14.83( +1.13)    11  ATLAS W+ lepton pseudorapidity, 2010 data       
Dataset   10      9.07( +0.97)    11  ATLAS W- lepton pseudorapidity, 2010 data       
Dataset   11      9.01( -1.09)    13  ATLAS high mass DY mass 2011                    
Dataset   12     10.01( +0.29)     8  ATLAS low mass DY 2011                          
Dataset   13     14.74( +0.78)    16  ATLAS Jet data 0 <= |y| < 0.3 R=0.6             
Dataset   14      8.54( +0.08)    16  ATLAS Jet data 0.3 <= |y| < 0.8 R=0.6           
Dataset   15      6.10( +0.92)    16  ATLAS Jet data 0.8 <= |y| < 1.2 R=0.6           
Dataset   16      9.44( +0.35)    11  ATLAS W- lepton rapidity 2011                   
Dataset   17     15.03( +0.42)    11  ATLAS W+ lepton rapidity 2011                   
Dataset   18     10.52( -0.07)     6  ATLAS high mass CC Z rapidity 2011              
Dataset   19    924.70( +2.37)    30  LHCb 7TeV Dzero pT-y cross section normalised in
Dataset   20  47317.54( +3.06)    29  LHCb 7TeV Dch pT-y cross section normalised in y
Dataset   21     18.60( +0.38)    22  LHCb 7TeV Dstar pT-y cross section normalised in
Dataset   22    149.24(+13.94)   108  LHCb 7TeV Bch pT-y cross section normalised in y
Dataset   23     54.14(+10.31)    76  LHCb 7TeV Bzero pT-y cross section normalised in
Dataset   24      2.73( +0.00)     5  Wplusc                                          
Dataset   25     47.55( -1.67)    35  CMS inclusive jets 8 TeV, 0.0 < |y| < 0.5       

 Correlated Chi2    650.49580063384326     
 Log penalty Chi2    500.04725413272428     
 Systematic shifts          525
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         -0.0318   +/-   0.9914        :N:M:D
    2  sysHZComb1002                         -0.4664   +/-   0.9423        :N:M:D
    3  sysHZComb1003                          1.0251   +/-   0.6253        :N:M:D
    4  sysHZComb1004                         -0.2744   +/-   0.9478        :N:M:D
    5  sysHZComb1005                          0.2836   +/-   0.7714        :N:M:D
    6  sysHZComb1006                         -0.7364   +/-   0.7948        :N:M:D
    7  sysHZComb1007                          0.1308   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0555   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0024   +/-   0.9594        :N:M:D
   10  sysHZComb1010                         -0.2628   +/-   0.9952        :N:M:D
   11  sysHZComb1011                         -0.7887   +/-   0.9668        :N:M:D
   12  sysHZComb1012                          0.4831   +/-   0.9725        :N:M:D
   13  sysHZComb1013                         -0.6410   +/-   0.9624        :N:M:D
   14  sysHZComb1014                         -0.0434   +/-   0.9877        :N:M:D
   15  sysHZComb1015                         -0.0954   +/-   0.9634        :N:M:D
   16  sysHZComb1016                         -0.1446   +/-   0.9758        :N:M:D
   17  sysHZComb1017                         -0.2919   +/-   0.9712        :N:M:D
   18  sysHZComb1018                          0.6955   +/-   0.8945        :N:M:D
   19  sysHZComb1019                         -0.4484   +/-   0.9853        :N:M:D
   20  sysHZComb1020                         -0.3251   +/-   0.9817        :N:M:D
   21  sysHZComb1021                         -0.1677   +/-   0.9756        :N:M:D
   22  sysHZComb1022                          0.0924   +/-   0.9691        :N:M:D
   23  sysHZComb1023                         -0.3025   +/-   0.9472        :N:M:D
   24  sysHZComb1024                         -0.0558   +/-   0.9951        :N:M:D
   25  sysHZComb1025                          0.1225   +/-   0.9935        :N:M:D
   26  sysHZComb1026                         -0.5449   +/-   0.9400        :N:M:D
   27  sysHZComb1027                         -0.8614   +/-   0.9657        :N:M:D
   28  sysHZComb1028                          0.6832   +/-   0.9783        :N:M:D
   29  sysHZComb1029                         -0.2470   +/-   0.9267        :N:M:D
   30  sysHZComb1030                         -0.8743   +/-   0.9470        :N:M:D
   31  sysHZComb1031                         -1.4954   +/-   0.8815        :N:M:D
   32  sysHZComb1032                          0.4865   +/-   0.9668        :N:M:D
   33  sysHZComb1033                          0.5733   +/-   0.9742        :N:M:D
   34  sysHZComb1034                         -0.1154   +/-   0.9876        :N:M:D
   35  sysHZComb1035                         -0.1820   +/-   0.9845        :N:M:D
   36  sysHZComb1036                         -0.4364   +/-   0.9759        :N:M:D
   37  sysHZComb1037                          0.6841   +/-   0.9716        :N:M:D
   38  sysHZComb1038                         -0.4114   +/-   0.9203        :N:M:D
   39  sysHZComb1039                         -0.3930   +/-   0.9633        :N:M:D
   40  sysHZComb1040                         -0.0282   +/-   0.9413        :N:M:D
   41  sysHZComb1041                         -0.3873   +/-   0.8950        :N:M:D
   42  sysHZComb1042                         -0.0750   +/-   0.9040        :N:M:D
   43  sysHZComb1043                          0.0740   +/-   0.9191        :N:M:D
   44  sysHZComb1044                         -0.1637   +/-   0.9395        :N:M:D
   45  sysHZComb1045                         -0.4352   +/-   0.9428        :N:M:D
   46  sysHZComb1046                         -0.2684   +/-   0.9664        :N:M:D
   47  sysHZComb1047                          0.3747   +/-   0.9601        :N:M:D
   48  sysHZComb1048                          0.0744   +/-   0.9628        :N:M:D
   49  sysHZComb1049                         -0.4847   +/-   0.9731        :N:M:D
   50  sysHZComb1050                          0.4092   +/-   0.9501        :N:M:D
   51  sysHZComb1051                          0.2509   +/-   0.9547        :N:M:D
   52  sysHZComb1052                          0.7407   +/-   0.9542        :N:M:D
   53  sysHZComb1053                         -1.9528   +/-   0.9415        :N:M:D
   54  sysHZComb1054                         -0.0497   +/-   0.9756        :N:M:D
   55  sysHZComb1055                         -0.9668   +/-   0.9224        :N:M:D
   56  sysHZComb1056                         -0.9253   +/-   0.9228        :N:M:D
   57  sysHZComb1057                         -0.5979   +/-   0.9514        :N:M:D
   58  sysHZComb1058                         -0.3233   +/-   0.9476        :N:M:D
   59  sysHZComb1059                         -0.8643   +/-   0.8815        :N:M:D
   60  sysHZComb1060                          0.2475   +/-   0.9867        :N:M:D
   61  sysHZComb1061                          0.1546   +/-   0.9834        :N:M:D
   62  sysHZComb1062                         -0.9494   +/-   0.9102        :N:M:D
   63  sysHZComb1063                          0.4847   +/-   0.8384        :N:M:D
   64  sysHZComb1064                          0.7192   +/-   0.9316        :N:M:D
   65  sysHZComb1065                         -0.6226   +/-   0.9568        :N:M:D
   66  sysHZComb1066                         -0.4595   +/-   0.9471        :N:M:D
   67  sysHZComb1067                          0.0589   +/-   0.9718        :N:M:D
   68  sysHZComb1068                         -0.3539   +/-   0.9280        :N:M:D
   69  sysHZComb1069                         -0.6447   +/-   0.9314        :N:M:D
   70  sysHZComb1070                          0.6033   +/-   0.9302        :N:M:D
   71  sysHZComb1071                         -0.9734   +/-   0.8671        :N:M:D
   72  sysHZComb1072                          0.4812   +/-   0.9828        :N:M:D
   73  sysHZComb1073                          0.0507   +/-   0.9051        :N:M:D
   74  sysHZComb1074                         -0.0821   +/-   0.9372        :N:M:D
