   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.83389      0.909006       1.38869      0.903918       1.38698      0.508783E-02  0.171020E-02   2.29090      0.776818      0.776582      0.610488      0.127100       0.00000       0.00000      0.610403    
  0.109648E-03   4.93346      0.897814       1.36999      0.892376       1.36816      0.543741E-02  0.183344E-02   2.26054      0.766445      0.766189      0.602057      0.125931       0.00000       0.00000      0.601970    
  0.120226E-03   5.01954      0.886654       1.35137      0.880827       1.34939      0.582699E-02  0.197220E-02   2.23022      0.756121      0.755843      0.593639      0.124706       0.00000       0.00000      0.593550    
  0.131825E-03   5.10037      0.875517       1.33278      0.869282       1.33066      0.623510E-02  0.211825E-02   2.19994      0.745821      0.745520      0.585231      0.123461       0.00000       0.00000      0.585141    
  0.144543E-03   5.17369      0.864414       1.31425      0.857744       1.31198      0.666971E-02  0.227475E-02   2.16972      0.735557      0.735230      0.576838      0.122187       0.00000       0.00000      0.576747    
  0.158489E-03   5.23727      0.853378       1.29582      0.846232       1.29338      0.714526E-02  0.244763E-02   2.13961      0.725349      0.724995      0.568473      0.120883       0.00000       0.00000      0.568381    
  0.173779E-03   5.29619      0.842379       1.27745      0.834737       1.27482      0.764235E-02  0.262919E-02   2.10956      0.715172      0.714788      0.560125      0.119564       0.00000       0.00000      0.560031    
  0.190545E-03   5.34633      0.831462       1.25919      0.823279       1.25636      0.818336E-02  0.282861E-02   2.07964      0.705056      0.704640      0.551811      0.118222       0.00000       0.00000      0.551717    
  0.208928E-03   5.38995      0.820623       1.24102      0.811860       1.23798      0.876324E-02  0.304408E-02   2.04984      0.694995      0.694543      0.543531      0.116865       0.00000       0.00000      0.543436    
  0.229085E-03   5.42936      0.809836       1.22293      0.800468       1.21966      0.936854E-02  0.327006E-02   2.02012      0.684968      0.684480      0.535273      0.115499       0.00000       0.00000      0.535177    
  0.251186E-03   5.45917      0.799192       1.20501      0.789150       1.20148      0.100421E-01  0.352471E-02   1.99063      0.675033      0.674503      0.527074      0.114117       0.00000       0.00000      0.526978    
  0.275420E-03   5.48506      0.788620       1.18717      0.777871       1.18337      0.107490E-01  0.379358E-02   1.96124      0.665141      0.664567      0.518903      0.112730       0.00000       0.00000      0.518807    
  0.301992E-03   5.50569      0.778143       1.16944      0.766643       1.16536      0.115006E-01  0.408156E-02   1.93200      0.655306      0.654685      0.510772      0.111336       0.00000       0.00000      0.510676    
  0.331127E-03   5.51920      0.767822       1.15189      0.755497       1.14749      0.123245E-01  0.440092E-02   1.90299      0.645559      0.644885      0.502702      0.109938       0.00000       0.00000      0.502605    
  0.363073E-03   5.52938      0.757579       1.13443      0.744393       1.12969      0.131859E-01  0.473673E-02   1.87409      0.635855      0.635126      0.494662      0.108538       0.00000       0.00000      0.494566    
  0.398101E-03   5.53343      0.747495       1.11714      0.733373       1.11203      0.141218E-01  0.510550E-02   1.84541      0.626236      0.625447      0.486682      0.107137       0.00000       0.00000      0.486587    
  0.436509E-03   5.53273      0.737553       1.10000      0.722426       1.09449      0.151267E-01  0.550528E-02   1.81692      0.616688      0.615834      0.478755      0.105737       0.00000       0.00000      0.478660    
  0.478622E-03   5.52905      0.727702       1.08296      0.711526       1.07703      0.161757E-01  0.592498E-02   1.78856      0.607187      0.606264      0.470861      0.104339       0.00000       0.00000      0.470767    
  0.524798E-03   5.51870      0.718084       1.06615      0.700743       1.05975      0.173410E-01  0.639790E-02   1.76050      0.597797      0.596797      0.463050      0.102945       0.00000       0.00000      0.462957    
  0.575429E-03   5.50549      0.708581       1.04946      0.690015       1.04256      0.185659E-01  0.689861E-02   1.73258      0.588460      0.587378      0.455277      0.101555       0.00000       0.00000      0.455186    
  0.630945E-03   5.48869      0.699224       1.03292      0.679358       1.02548      0.198659E-01  0.743441E-02   1.70484      0.579189      0.578020      0.447554      0.100169       0.00000       0.00000      0.447465    
  0.691816E-03   5.46683      0.690103       1.01660      0.668810       1.00857      0.212930E-01  0.803053E-02   1.67738      0.570019      0.568753      0.439906      0.987909E-01   0.00000       0.00000      0.439820    
  0.758561E-03   5.44267      0.681099       1.00040      0.658314      0.991741      0.227849E-01  0.865781E-02   1.65006      0.560897      0.559530      0.432295      0.974172E-01   0.00000       0.00000      0.432211    
  0.831745E-03   5.41434      0.672320      0.984404      0.647917      0.975058      0.244027E-01  0.934601E-02   1.62298      0.551866      0.550387      0.424753      0.960516E-01   0.00000       0.00000      0.424671    
  0.911989E-03   5.38266      0.663748      0.968598      0.637606      0.958504      0.261419E-01  0.100941E-01   1.59611      0.542912      0.541314      0.417269      0.946935E-01   0.00000       0.00000      0.417190    
  0.999975E-03   5.34894      0.655305      0.952909      0.627347      0.942029      0.279574E-01  0.108799E-01   1.56938      0.534007      0.532282      0.409821      0.933402E-01   0.00000       0.00000      0.409747    
  0.109645E-02   5.31073      0.647181      0.937501      0.617212      0.925736      0.299690E-01  0.117643E-01   1.54295      0.525214      0.523348      0.402459      0.919979E-01   0.00000       0.00000      0.402388    
  0.120223E-02   5.27052      0.639221      0.922232      0.607135      0.909530      0.320863E-01  0.127028E-01   1.51666      0.516474      0.514459      0.395137      0.906608E-01   0.00000       0.00000      0.395070    
  0.131822E-02   5.22794      0.631456      0.907130      0.597127      0.893425      0.343287E-01  0.137054E-01   1.49055      0.507797      0.505624      0.387863      0.893299E-01   0.00000       0.00000      0.387801    
  0.144540E-02   5.18190      0.624018      0.892298      0.587227      0.877475      0.367918E-01  0.148233E-01   1.46470      0.499219      0.496869      0.380663      0.880081E-01   0.00000       0.00000      0.380605    
  0.158485E-02   5.13431      0.616740      0.877595      0.577375      0.861595      0.393657E-01  0.159999E-01   1.43897      0.490685      0.488151      0.373496      0.866901E-01   0.00000       0.00000      0.373444    
  0.173775E-02   5.08400      0.609760      0.863129      0.567611      0.845841      0.421494E-01  0.172883E-01   1.41345      0.482232      0.479497      0.366390      0.853789E-01   0.00000       0.00000      0.366344    
  0.190540E-02   5.03142      0.603065      0.848884      0.557921      0.830193      0.451435E-01  0.186910E-01   1.38811      0.473849      0.470898      0.359336      0.840725E-01   0.00000       0.00000      0.359296    
  0.208923E-02   4.97749      0.596544      0.834773      0.548277      0.814609      0.482674E-01  0.201645E-01   1.36289      0.465508      0.462330      0.352313      0.827689E-01   0.00000       0.00000      0.352279    
  0.229079E-02   4.92065      0.590447      0.820978      0.538730      0.799160      0.517167E-01  0.218184E-01   1.33789      0.457260      0.453829      0.345358      0.814699E-01   0.00000       0.00000      0.345331    
  0.251180E-02   4.86246      0.584577      0.807349      0.529228      0.783773      0.553491E-01  0.235760E-01   1.31300      0.449056      0.445358      0.338435      0.801719E-01   0.00000       0.00000      0.338415    
  0.275413E-02   4.80276      0.578962      0.793903      0.519777      0.768454      0.591855E-01  0.254490E-01   1.28823      0.440901      0.436920      0.331547      0.788751E-01   0.00000       0.00000      0.331534    
  0.301984E-02   4.74075      0.573795      0.780772      0.510399      0.753234      0.633965E-01  0.275382E-01   1.26363      0.432821      0.428528      0.324711      0.775775E-01   0.00000       0.00000      0.324706    
  0.331118E-02   4.67774      0.568844      0.767788      0.501052      0.738053      0.677920E-01  0.297357E-01   1.23910      0.424774      0.420153      0.317897      0.762785E-01   0.00000       0.00000      0.317900    
  0.363064E-02   4.61299      0.564285      0.755072      0.491757      0.722938      0.725274E-01  0.321337E-01   1.21470      0.416781      0.411807      0.311121      0.749762E-01   0.00000       0.00000      0.311132    
  0.398091E-02   4.54672      0.560119      0.742616      0.482503      0.707871      0.776165E-01  0.347446E-01   1.19037      0.408834      0.403478      0.304374      0.736683E-01   0.00000       0.00000      0.304393    
  0.436498E-02   4.47956      0.556189      0.730315      0.473270      0.692830      0.829190E-01  0.374847E-01   1.16610      0.400914      0.395159      0.297643      0.723566E-01   0.00000       0.00000      0.297671    
  0.478610E-02   4.41051      0.552820      0.718375      0.464078      0.677830      0.887423E-01  0.405451E-01   1.14191      0.393044      0.386851      0.290942      0.710335E-01   0.00000       0.00000      0.290979    
  0.524785E-02   4.34051      0.549768      0.706634      0.454898      0.662838      0.948696E-01  0.437966E-01   1.11774      0.385196      0.378540      0.284252      0.697022E-01   0.00000       0.00000      0.284298    
  0.575415E-02   4.26952      0.547048      0.695103      0.445733      0.647855      0.101316      0.472486E-01   1.09359      0.377371      0.370226      0.277573      0.683622E-01   0.00000       0.00000      0.277628    
  0.630929E-02   4.19690      0.544943      0.683951      0.436575      0.632862      0.108367      0.510894E-01   1.06944      0.369572      0.361894      0.270904      0.670032E-01   0.00000       0.00000      0.270968    
  0.691799E-02   4.12357      0.543126      0.672975      0.427416      0.617854      0.115710      0.551205E-01   1.04527      0.361782      0.353546      0.264235      0.656343E-01   0.00000       0.00000      0.264308    
