 First iteration    50915.370397280858             1205   42.253419416830589     
After minimisation   50915.37  1205    42.253

  Partial chi2s 
Dataset    1    443.18( +6.39)   377  HERA1+2 NCep 920                                
Dataset    2    138.56(******)   110  D0 pp jets                                      
Dataset    3     26.67( -0.19)    28  D0 Z rapidity 2007                              
Dataset    4     15.79( +0.00)    10  D0 W->mu nu lepton asymmetry ptl > 25 GeV       
Dataset    5     57.60( +0.00)    35  CMS Boson rapidity                              
Dataset    6      7.84( +0.14)    11  CMS electon Asymmetry rapidity                  
Dataset    7     14.13( +0.00)    11  CMS W muon asymmetry                            
Dataset    8    328.95(-13.77)   133  CMS inclusive jets 2011                         
Dataset    9     14.83( +1.13)    11  ATLAS W+ lepton pseudorapidity, 2010 data       
Dataset   10      9.07( +0.97)    11  ATLAS W- lepton pseudorapidity, 2010 data       
Dataset   11      9.01( -1.09)    13  ATLAS high mass DY mass 2011                    
Dataset   12     10.01( +0.29)     8  ATLAS low mass DY 2011                          
Dataset   13     14.74( +0.78)    16  ATLAS Jet data 0 <= |y| < 0.3 R=0.6             
Dataset   14      8.54( +0.08)    16  ATLAS Jet data 0.3 <= |y| < 0.8 R=0.6           
Dataset   15      6.10( +0.92)    16  ATLAS Jet data 0.8 <= |y| < 1.2 R=0.6           
Dataset   16      9.44( +0.35)    11  ATLAS W- lepton rapidity 2011                   
Dataset   17     15.03( +0.42)    11  ATLAS W+ lepton rapidity 2011                   
Dataset   18     10.52( -0.07)     6  ATLAS high mass CC Z rapidity 2011              
Dataset   19    924.70( +2.37)    30  LHCb 7TeV Dzero pT-y cross section normalised in
Dataset   20  47317.54( +3.06)    29  LHCb 7TeV Dch pT-y cross section normalised in y
Dataset   21     18.60( +0.38)    22  LHCb 7TeV Dstar pT-y cross section normalised in
Dataset   22    149.24(+13.94)   108  LHCb 7TeV Bch pT-y cross section normalised in y
Dataset   23     54.14(+10.31)    76  LHCb 7TeV Bzero pT-y cross section normalised in
Dataset   24      2.73( +0.00)     5  Wplusc                                          
Dataset   25     56.20( -1.67)    35  CMS inclusive jets 8 TeV, 0.0 < |y| < 0.5       
Dataset   26     38.31( -2.64)    34  CMS inclusive jets 8 TeV, 0.5 < |y| < 1.0       
Dataset   27     38.26( -4.79)    32  CMS inclusive jets 8 TeV, 1.0 < |y| < 1.5       

 Correlated Chi2    683.15164321887630     
 Log penalty Chi2    492.48761073545546     
 Systematic shifts          532
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.0683   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.0637   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.0825   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.2542   +/-   0.9496        :N:M:D
    5  sysHZComb1005                          0.4658   +/-   0.8177        :N:M:D
    6  sysHZComb1006                         -0.4965   +/-   0.8038        :N:M:D
    7  sysHZComb1007                          0.1141   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0260   +/-   0.9986        :N:M:D
    9  sysHZComb1009                         -0.0119   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.1144   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.7340   +/-   0.9676        :N:M:D
   12  sysHZComb1012                          0.5101   +/-   0.9733        :N:M:D
   13  sysHZComb1013                         -0.6596   +/-   0.9630        :N:M:D
   14  sysHZComb1014                         -0.0090   +/-   0.9883        :N:M:D
   15  sysHZComb1015                         -0.0921   +/-   0.9642        :N:M:D
   16  sysHZComb1016                         -0.1271   +/-   0.9775        :N:M:D
   17  sysHZComb1017                         -0.2912   +/-   0.9718        :N:M:D
   18  sysHZComb1018                          0.7400   +/-   0.8980        :N:M:D
   19  sysHZComb1019                         -0.4306   +/-   0.9860        :N:M:D
   20  sysHZComb1020                         -0.2919   +/-   0.9825        :N:M:D
   21  sysHZComb1021                         -0.1134   +/-   0.9768        :N:M:D
   22  sysHZComb1022                          0.0352   +/-   0.9707        :N:M:D
   23  sysHZComb1023                         -0.2075   +/-   0.9550        :N:M:D
   24  sysHZComb1024                         -0.1496   +/-   0.9963        :N:M:D
   25  sysHZComb1025                          0.1059   +/-   0.9942        :N:M:D
   26  sysHZComb1026                         -0.1915   +/-   0.9769        :N:M:D
   27  sysHZComb1027                         -0.6930   +/-   0.9892        :N:M:D
   28  sysHZComb1028                          0.5994   +/-   0.9871        :N:M:D
   29  sysHZComb1029                         -0.0930   +/-   0.9519        :N:M:D
   30  sysHZComb1030                         -1.0330   +/-   0.9589        :N:M:D
   31  sysHZComb1031                         -1.2941   +/-   0.9615        :N:M:D
   32  sysHZComb1032                          0.5243   +/-   0.9751        :N:M:D
   33  sysHZComb1033                          0.4013   +/-   0.9789        :N:M:D
   34  sysHZComb1034                         -0.1698   +/-   0.9894        :N:M:D
   35  sysHZComb1035                         -0.1795   +/-   0.9858        :N:M:D
