 First iteration    4006.2238562977186             1205   3.3246671006620070     
After minimisation    4006.22  1205     3.325

  Partial chi2s 
Dataset    1    442.23(+10.69)   377  HERA1+2 NCep 920                                
Dataset    2    139.19(******)   110  D0 pp jets                                      
Dataset    3     27.16( -0.24)    28  D0 Z rapidity 2007                              
Dataset    4     29.46( +0.00)    10  D0 W->mu nu lepton asymmetry ptl > 25 GeV       
Dataset    5     55.58( +0.00)    35  CMS Boson rapidity                              
Dataset    6      7.47( +0.06)    11  CMS electon Asymmetry rapidity                  
Dataset    7     18.82( +0.00)    11  CMS W muon asymmetry                            
Dataset    8    333.51(-14.18)   133  CMS inclusive jets 2011                         
Dataset    9     14.88( +1.24)    11  ATLAS W+ lepton pseudorapidity, 2010 data       
Dataset   10      8.79( +1.11)    11  ATLAS W- lepton pseudorapidity, 2010 data       
Dataset   11      8.74( -0.92)    13  ATLAS high mass DY mass 2011                    
Dataset   12     10.41( +0.40)     8  ATLAS low mass DY 2011                          
Dataset   13     14.81( +0.73)    16  ATLAS Jet data 0 <= |y| < 0.3 R=0.6             
Dataset   14      8.02( +0.02)    16  ATLAS Jet data 0.3 <= |y| < 0.8 R=0.6           
Dataset   15      5.97( +0.86)    16  ATLAS Jet data 0.8 <= |y| < 1.2 R=0.6           
Dataset   16     11.75( +0.52)    11  ATLAS W- lepton rapidity 2011                   
Dataset   17     11.36( +0.55)    11  ATLAS W+ lepton rapidity 2011                   
Dataset   18      9.67( -0.01)     6  ATLAS high mass CC Z rapidity 2011              
Dataset   19   1303.74( +0.22)    30  LHCb 7TeV Dzero pT-y cross section normalised in
Dataset   20    199.80( +6.86)    29  LHCb 7TeV Dch pT-y cross section normalised in y
Dataset   21     25.01( -0.28)    22  LHCb 7TeV Dstar pT-y cross section normalised in
Dataset   22    160.70(+13.89)   108  LHCb 7TeV Bch pT-y cross section normalised in y
Dataset   23     57.17(+10.21)    76  LHCb 7TeV Bzero pT-y cross section normalised in
Dataset   24      2.86( +0.00)     5  Wplusc                                          
Dataset   25     53.77( -1.74)    35  CMS inclusive jets 8 TeV, 0.0 < |y| < 0.5       
Dataset   26     38.92( -2.71)    34  CMS inclusive jets 8 TeV, 0.5 < |y| < 1.0       
Dataset   27     39.66( -4.90)    32  CMS inclusive jets 8 TeV, 1.0 < |y| < 1.5       

 Correlated Chi2    469.88160616113925     
 Log penalty Chi2    496.90126791027018     
 Systematic shifts          532
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1659   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -0.1546   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          0.1999   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -0.6162   +/-   0.9495        :N:M:D
    5  sysHZComb1005                          1.1303   +/-   0.8177        :N:M:D
    6  sysHZComb1006                         -1.1836   +/-   0.8037        :N:M:D
    7  sysHZComb1007                          0.1189   +/-   0.9983        :N:M:D
    8  sysHZComb1008                          0.0179   +/-   0.9986        :N:M:D
    9  sysHZComb1009                         -0.0163   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.1375   +/-   0.9974        :N:M:D
   11  sysHZComb1011                         -0.8472   +/-   0.9676        :N:M:D
   12  sysHZComb1012                          0.3909   +/-   0.9733        :N:M:D
   13  sysHZComb1013                         -0.6190   +/-   0.9630        :N:M:D
   14  sysHZComb1014                         -0.0509   +/-   0.9883        :N:M:D
   15  sysHZComb1015                         -0.0760   +/-   0.9640        :N:M:D
   16  sysHZComb1016                         -0.0848   +/-   0.9774        :N:M:D
   17  sysHZComb1017                         -0.2447   +/-   0.9718        :N:M:D
   18  sysHZComb1018                          0.6292   +/-   0.8978        :N:M:D
   19  sysHZComb1019                         -0.4449   +/-   0.9859        :N:M:D
   20  sysHZComb1020                         -0.3082   +/-   0.9825        :N:M:D
   21  sysHZComb1021                         -0.0762   +/-   0.9767        :N:M:D
   22  sysHZComb1022                          0.1281   +/-   0.9707        :N:M:D
   23  sysHZComb1023                          0.0978   +/-   0.9549        :N:M:D
   24  sysHZComb1024                         -0.1020   +/-   0.9962        :N:M:D
   25  sysHZComb1025                          0.0836   +/-   0.9942        :N:M:D
   26  sysHZComb1026                         -0.2771   +/-   0.9768        :N:M:D
   27  sysHZComb1027                         -0.7101   +/-   0.9892        :N:M:D
   28  sysHZComb1028                          0.5428   +/-   0.9871        :N:M:D
   29  sysHZComb1029                         -0.1170   +/-   0.9517        :N:M:D
   30  sysHZComb1030                         -0.7961   +/-   0.9588        :N:M:D
   31  sysHZComb1031                         -1.3557   +/-   0.9614        :N:M:D
   32  sysHZComb1032                          0.4130   +/-   0.9750        :N:M:D
   33  sysHZComb1033                          0.3337   +/-   0.9789        :N:M:D
   34  sysHZComb1034                         -0.1424   +/-   0.9894        :N:M:D
   35  sysHZComb1035                         -0.1594   +/-   0.9858        :N:M:D
