   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.00279      0.888821       1.37144      0.883538       1.37018      0.528350E-02  0.125883E-02   2.25372      0.769374      0.769083      0.601181      0.114164       0.00000       0.00000      0.601096    
  0.109648E-03   4.14136      0.878806       1.35383      0.873161       1.35248      0.564513E-02  0.134928E-02   2.22564      0.759543      0.759228      0.593336      0.113618       0.00000       0.00000      0.593249    
  0.120226E-03   4.26393      0.868738       1.33619      0.862690       1.33474      0.604792E-02  0.145142E-02   2.19743      0.749716      0.749373      0.585458      0.112975       0.00000       0.00000      0.585370    
  0.131825E-03   4.38028      0.858661       1.31857      0.852191       1.31701      0.646974E-02  0.155907E-02   2.16920      0.739896      0.739525      0.577572      0.112295       0.00000       0.00000      0.577482    
  0.144543E-03   4.48771      0.848571       1.30094      0.841652       1.29927      0.691883E-02  0.167464E-02   2.14092      0.730087      0.729685      0.569674      0.111565       0.00000       0.00000      0.569583    
  0.158489E-03   4.58358      0.838487       1.28335      0.831077       1.28155      0.740998E-02  0.180268E-02   2.11262      0.720303      0.719867      0.561773      0.110774       0.00000       0.00000      0.561680    
  0.173779E-03   4.67392      0.828412       1.26578      0.820489       1.26384      0.792324E-02  0.193737E-02   2.08433      0.710534      0.710062      0.553871      0.109955       0.00000       0.00000      0.553778    
  0.190545E-03   4.75384      0.818366       1.24825      0.809884       1.24617      0.848160E-02  0.208575E-02   2.05605      0.700798      0.700287      0.545976      0.109086       0.00000       0.00000      0.545881    
  0.208928E-03   4.82603      0.808358       1.23078      0.799278       1.22854      0.907984E-02  0.224654E-02   2.02782      0.691096      0.690541      0.538091      0.108182       0.00000       0.00000      0.537996    
  0.229085E-03   4.89320      0.798376       1.21335      0.788672       1.21093      0.970416E-02  0.241544E-02   1.99960      0.681415      0.680816      0.530213      0.107256       0.00000       0.00000      0.530117    
