   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  0.754495      0.597723       1.09016      0.593689       1.08905      0.403423E-02  0.111253E-02   1.68274      0.629135      0.628890      0.460207      -.354465E-01   0.00000       0.00000      0.460159    
  0.109648E-03  0.945276      0.592645       1.07742      0.588322       1.07622      0.432358E-02  0.119913E-02   1.66455      0.621753      0.621488      0.454785      -.334316E-01   0.00000       0.00000      0.454737    
  0.120226E-03   1.12075      0.587561       1.06472      0.582914       1.06342      0.464751E-02  0.129752E-02   1.64634      0.614402      0.614114      0.449358      -.314885E-01   0.00000       0.00000      0.449309    
  0.131825E-03   1.29023      0.582481       1.05204      0.577494       1.05064      0.498750E-02  0.140150E-02   1.62813      0.607067      0.606755      0.443932      -.295732E-01   0.00000       0.00000      0.443882    
  0.144543E-03   1.45116      0.577407       1.03939      0.572057       1.03787      0.535051E-02  0.151349E-02   1.60993      0.599754      0.599416      0.438507      -.276979E-01   0.00000       0.00000      0.438456    
  0.158489E-03   1.60092      0.572353       1.02679      0.566604       1.02515      0.574921E-02  0.163813E-02   1.59175      0.592478      0.592110      0.433089      -.258742E-01   0.00000       0.00000      0.433037    
  0.173779E-03   1.74532      0.567312       1.01422      0.561145       1.01245      0.616673E-02  0.176953E-02   1.57359      0.585220      0.584822      0.427676      -.240752E-01   0.00000       0.00000      0.427623    
  0.190545E-03   1.87963      0.562301       1.00171      0.555678      0.999792      0.662271E-02  0.191484E-02   1.55547      0.578001      0.577570      0.422275      -.223230E-01   0.00000       0.00000      0.422221    
  0.208928E-03   2.00638      0.557324      0.989254      0.550211      0.987182      0.711287E-02  0.207277E-02   1.53739      0.570817      0.570350      0.416886      -.206056E-01   0.00000       0.00000      0.416832    
  0.229085E-03   2.12826      0.552369      0.976839      0.544744      0.974600      0.762540E-02  0.223898E-02   1.51934      0.563654      0.563149      0.411506      -.189109E-01   0.00000       0.00000      0.411451    
  0.251186E-03   2.23895      0.547480      0.964524      0.539281      0.962096      0.819826E-02  0.242792E-02   1.50138      0.556550      0.556001      0.406149      -.172682E-01   0.00000       0.00000      0.406094    
  0.275420E-03   2.34506      0.542625      0.952257      0.533825      0.949628      0.880066E-02  0.262823E-02   1.48345      0.549472      0.548878      0.400806      -.156472E-01   0.00000       0.00000      0.400750    
  0.301992E-03   2.44498      0.537818      0.940054      0.528375      0.937210      0.944277E-02  0.284383E-02   1.46559      0.542430      0.541787      0.395479      -.140552E-01   0.00000       0.00000      0.395423    
  0.331127E-03   2.53649      0.533089      0.927954      0.522939      0.924869      0.101493E-01  0.308475E-02   1.44781      0.535443      0.534746      0.390179      -.125035E-01   0.00000       0.00000      0.390123    
  0.363073E-03   2.62406      0.528402      0.915905      0.517512      0.912566      0.108893E-01  0.333900E-02   1.43008      0.528483      0.527729      0.384893      -.109709E-01   0.00000       0.00000      0.384837    
  0.398101E-03   2.70432      0.523798      0.903958      0.512102      0.900338      0.116961E-01  0.362006E-02   1.41244      0.521576      0.520759      0.379635      -.947414E-02   0.00000       0.00000      0.379579    
  0.436509E-03   2.77888      0.519272      0.892101      0.506708      0.888174      0.125648E-01  0.392656E-02   1.39488      0.514714      0.513829      0.374400      -.800615E-02   0.00000       0.00000      0.374345    
  0.478622E-03   2.84985      0.514797      0.880300      0.501324      0.876050      0.134734E-01  0.424941E-02   1.37737      0.507880      0.506924      0.369182      -.655635E-02   0.00000       0.00000      0.369126    
  0.524798E-03   2.91273      0.510454      0.868642      0.495967      0.864026      0.144869E-01  0.461630E-02   1.35999      0.501116      0.500079      0.364001      -.514902E-02   0.00000       0.00000      0.363947    
  0.575429E-03   2.97211      0.506177      0.857054      0.490623      0.852047      0.155545E-01  0.500638E-02   1.34267      0.494384      0.493262      0.358839      -.376089E-02   0.00000       0.00000      0.358785    
  0.630945E-03   3.02707      0.501986      0.845552      0.485296      0.840126      0.166904E-01  0.542574E-02   1.32542      0.487693      0.486480      0.353699      -.239701E-02   0.00000       0.00000      0.353647    
  0.691816E-03   3.07576      0.497936      0.834189      0.479994      0.828293      0.179421E-01  0.589586E-02   1.30829      0.481064      0.479750      0.348595      -.106955E-02   0.00000       0.00000      0.348544    
  0.758561E-03   3.12157      0.493958      0.822894      0.474705      0.816501      0.192531E-01  0.639235E-02   1.29121      0.474464      0.473044      0.343508      0.240526E-03   0.00000       0.00000      0.343458    
  0.831745E-03   3.16213      0.490118      0.811726      0.469439      0.804786      0.206794E-01  0.694054E-02   1.27422      0.467920      0.466383      0.338452      0.151820E-02   0.00000       0.00000      0.338403    
  0.911989E-03   3.19844      0.486409      0.800675      0.464191      0.793135      0.222174E-01  0.753998E-02   1.25733      0.461424      0.459759      0.333423      0.276758E-02   0.00000       0.00000      0.333376    
  0.999975E-03   3.23212      0.482781      0.789695      0.458955      0.781524      0.238257E-01  0.817177E-02   1.24048      0.454956      0.453159      0.328411      0.399940E-02   0.00000       0.00000      0.328365    
  0.109645E-02   3.26001      0.479361      0.778890      0.453745      0.770001      0.256156E-01  0.888870E-02   1.22375      0.448556      0.446609      0.323436      0.518948E-02   0.00000       0.00000      0.323392    
  0.120223E-02   3.28525      0.476050      0.768172      0.448546      0.758520      0.275035E-01  0.965274E-02   1.20707      0.442187      0.440083      0.318478      0.635889E-02   0.00000       0.00000      0.318437    
  0.131822E-02   3.30737      0.472868      0.757559      0.443360      0.747086      0.295078E-01  0.104727E-01   1.19045      0.435857      0.433584      0.313542      0.750377E-02   0.00000       0.00000      0.313502    
  0.144540E-02   3.32484      0.469910      0.747115      0.438192      0.735722      0.317183E-01  0.113939E-01   1.17391      0.429583      0.427123      0.308635      0.860857E-02   0.00000       0.00000      0.308598    
  0.158485E-02   3.34021      0.467063      0.736754      0.433030      0.724387      0.340326E-01  0.123670E-01   1.15742      0.423336      0.420679      0.303742      0.969415E-02   0.00000       0.00000      0.303708    
  0.173775E-02   3.35185      0.464423      0.726545      0.427880      0.713106      0.365439E-01  0.134391E-01   1.14099      0.417135      0.414264      0.298872      0.107442E-01   0.00000       0.00000      0.298842    
  0.190540E-02   3.36031      0.461989      0.716478      0.422735      0.701864      0.392538E-01  0.146136E-01   1.12460      0.410975      0.407870      0.294021      0.117606E-01   0.00000       0.00000      0.293994    
  0.208923E-02   3.36687      0.459680      0.706498      0.417594      0.690647      0.420863E-01  0.158515E-01   1.10824      0.404837      0.401489      0.289181      0.127566E-01   0.00000       0.00000      0.289158    
  0.229079E-02   3.36926      0.457682      0.696725      0.412455      0.679473      0.452277E-01  0.172524E-01   1.09193      0.398751      0.395130      0.284363      0.137035E-01   0.00000       0.00000      0.284343    
  0.251180E-02   3.36965      0.455856      0.687062      0.407312      0.668315      0.485437E-01  0.187476E-01   1.07563      0.392688      0.388778      0.279553      0.146243E-01   0.00000       0.00000      0.279536    
  0.275413E-02   3.36782      0.454221      0.677522      0.402167      0.657174      0.520545E-01  0.203480E-01   1.05934      0.386651      0.382435      0.274751      0.155158E-01   0.00000       0.00000      0.274739    
  0.301984E-02   3.36249      0.452932      0.668194      0.397007      0.646047      0.559245E-01  0.221475E-01   1.04305      0.380651      0.376095      0.269960      0.163562E-01   0.00000       0.00000      0.269952    
  0.331118E-02   3.35562      0.451811      0.658968      0.391839      0.634921      0.599724E-01  0.240472E-01   1.02676      0.374667      0.369754      0.265170      0.171722E-01   0.00000       0.00000      0.265167    
  0.363064E-02   3.34602      0.451000      0.649925      0.386651      0.623792      0.643484E-01  0.261331E-01   1.01044      0.368707      0.363408      0.260383      0.179438E-01   0.00000       0.00000      0.260384    
  0.398091E-02   3.33396      0.450505      0.641066      0.381437      0.612647      0.690679E-01  0.284189E-01  0.994084      0.362767      0.357049      0.255592      0.186710E-01   0.00000       0.00000      0.255598    
  0.436498E-02   3.32047      0.450202      0.632315      0.376207      0.601489      0.739947E-01  0.308261E-01  0.977696      0.356836      0.350680      0.250798      0.193716E-01   0.00000       0.00000      0.250809    
  0.478610E-02   3.30383      0.450361      0.623824      0.370930      0.590287      0.794305E-01  0.335370E-01  0.961217      0.350921      0.344280      0.245991      0.200094E-01   0.00000       0.00000      0.246008    
  0.524785E-02   3.28557      0.450786      0.615480      0.365621      0.579049      0.851652E-01  0.364311E-01  0.944670      0.345009      0.337855      0.241172      0.206116E-01   0.00000       0.00000      0.241194    
  0.575415E-02   3.26560      0.451491      0.607289      0.360278      0.567772      0.912134E-01  0.395172E-01  0.928050      0.339101      0.331405      0.236340      0.211768E-01   0.00000       0.00000      0.236367    
  0.630929E-02   3.24276      0.452723      0.599384      0.354862      0.556404      0.978612E-01  0.429802E-01  0.911266      0.333189      0.324896      0.231476      0.216737E-01   0.00000       0.00000      0.231508    
  0.691799E-02   3.21862      0.454207      0.591613      0.349409      0.544984      0.104799      0.466290E-01  0.894393      0.327270      0.318354      0.226593      0.221385E-01   0.00000       0.00000      0.226631    
  0.758542E-02   3.19225      0.456141      0.584084      0.343886      0.533470      0.112256      0.506131E-01  0.877356      0.321339      0.311751      0.221676      0.225466E-01   0.00000       0.00000      0.221719    
  0.831724E-02   3.16366      0.458553      0.576808      0.338281      0.521840      0.120272      0.549681E-01  0.860121      0.315385      0.305076      0.216716      0.228957E-01   0.00000       0.00000      0.216764    
  0.911966E-02   3.13380      0.461244      0.569681      0.332627      0.510139      0.128616      0.595422E-01  0.842766      0.309416      0.298356      0.211730      0.232110E-01   0.00000       0.00000      0.211783    
  0.999950E-02   3.10117      0.464582      0.562893      0.326856      0.498256      0.137726      0.646370E-01  0.825112      0.303403      0.291523      0.206675      0.234530E-01   0.00000       0.00000      0.206734    
  0.109642E-01   3.06726      0.468218      0.556269      0.321024      0.486286      0.147194      0.699824E-01  0.807311      0.297367      0.284635      0.201587      0.236573E-01   0.00000       0.00000      0.201651    
  0.120220E-01   3.03091      0.472432      0.549959      0.315073      0.474141      0.157360      0.758182E-01  0.789213      0.291282      0.277638      0.196434      0.237911E-01   0.00000       0.00000      0.196502    
  0.131819E-01   2.99236      0.477185      0.543942      0.309005      0.461817      0.168180      0.821251E-01  0.770822      0.285142      0.270532      0.191212      0.238628E-01   0.00000       0.00000      0.191285    
  0.144536E-01   2.95155      0.482488      0.538228      0.302813      0.449301      0.179675      0.889263E-01  0.752114      0.278941      0.263307      0.185917      0.238716E-01   0.00000       0.00000      0.185995    
  0.158481E-01   2.90859      0.488315      0.532806      0.296496      0.436595      0.191819      0.962115E-01  0.733091      0.272675      0.255964      0.180549      0.238213E-01   0.00000       0.00000      0.180631    
  0.173770E-01   2.86340      0.494678      0.527689      0.290047      0.423685      0.204632      0.104004      0.713731      0.266336      0.248496      0.175103      0.237109E-01   0.00000       0.00000      0.175189    
  0.190535E-01   2.81566      0.501641      0.522916      0.283442      0.410538      0.218199      0.112378      0.693980      0.259908      0.240883      0.169565      0.235342E-01   0.00000       0.00000      0.169655    
  0.208917E-01   2.76531      0.509197      0.518493      0.276676      0.397147      0.232521      0.121346      0.673823      0.253384      0.233120      0.163934      0.232920E-01   0.00000       0.00000      0.164027    
  0.229073E-01   2.71242      0.517310      0.514406      0.269750      0.383519      0.247560      0.130887      0.653269      0.246761      0.225211      0.158212      0.229887E-01   0.00000       0.00000      0.158307    
  0.251174E-01   2.65688      0.525980      0.510660      0.262657      0.369645      0.263323      0.141015      0.632302      0.240033      0.217152      0.152395      0.226243E-01   0.00000       0.00000      0.152493    
  0.275406E-01   2.59828      0.535259      0.507298      0.255370      0.355494      0.279889      0.151804      0.610864      0.233177      0.208923      0.146472      0.221930E-01   0.00000       0.00000      0.146571    
  0.301976E-01   2.53658      0.545112      0.504307      0.247887      0.341072      0.297225      0.163235      0.588959      0.226189      0.200527      0.140444      0.216979E-01   0.00000       0.00000      0.140546    
  0.331110E-01   2.47184      0.555489      0.501663      0.240213      0.326397      0.315276      0.175267      0.566610      0.219069      0.191975      0.134320      0.211440E-01   0.00000       0.00000      0.134422    
  0.363055E-01   2.40397      0.566365      0.499359      0.232342      0.311471      0.334023      0.187888      0.543813      0.211809      0.183268      0.128100      0.205328E-01   0.00000       0.00000      0.128202    
  0.398081E-01   2.33249      0.577760      0.497414      0.224247      0.296277      0.353513      0.201137      0.520524      0.204386      0.174397      0.121779      0.198604E-01   0.00000       0.00000      0.121881    
  0.436487E-01   2.25745      0.589604      0.495787      0.215933      0.280845      0.373671      0.214942      0.496778      0.196801      0.165377      0.115368      0.191322E-01   0.00000       0.00000      0.115468    
  0.478598E-01   2.17900      0.601824      0.494426      0.207410      0.265208      0.394414      0.229218      0.472618      0.189056      0.156228      0.108880      0.183544E-01   0.00000       0.00000      0.108979    
  0.524772E-01   2.09709      0.614363      0.493289      0.198678      0.249391      0.415685      0.243898      0.448069      0.181148      0.146967      0.102327      0.175302E-01   0.00000       0.00000      0.102424    
