   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   2.66285      0.773091       1.26565      0.768493       1.26454      0.459746E-02  0.110673E-02   2.03303      0.718296      0.718057      0.546552      0.501973E-01   0.00000       0.00000      0.546482    
  0.109648E-03   2.81824      0.765037       1.24990      0.760118       1.24871      0.491931E-02  0.118890E-02   2.00883      0.709387      0.709128      0.539658      0.507306E-01   0.00000       0.00000      0.539587    
  0.120226E-03   2.95850      0.756958       1.23418      0.751679       1.23289      0.527871E-02  0.128204E-02   1.98457      0.700500      0.700219      0.532749      0.511795E-01   0.00000       0.00000      0.532676    
  0.131825E-03   3.09284      0.748879       1.21847      0.743223       1.21708      0.565553E-02  0.138038E-02   1.96031      0.691627      0.691321      0.525838      0.515969E-01   0.00000       0.00000      0.525763    
  0.144543E-03   3.21872      0.740799       1.20278      0.734742       1.20129      0.605728E-02  0.148617E-02   1.93603      0.682772      0.682441      0.518924      0.519695E-01   0.00000       0.00000      0.518848    
  0.158489E-03   3.33359      0.732736       1.18714      0.726239       1.18553      0.649760E-02  0.160376E-02   1.91177      0.673952      0.673593      0.512015      0.522864E-01   0.00000       0.00000      0.511938    
  0.173779E-03   3.44318      0.724687       1.17152      0.717728       1.16979      0.695824E-02  0.172765E-02   1.88752      0.665151      0.664762      0.505110      0.525773E-01   0.00000       0.00000      0.505032    
  0.190545E-03   3.54282      0.716671       1.15597      0.709210       1.15411      0.746036E-02  0.186452E-02   1.86332      0.656390      0.655968      0.498217      0.528205E-01   0.00000       0.00000      0.498138    
  0.208928E-03   3.63505      0.708694       1.14048      0.700695       1.13847      0.799925E-02  0.201321E-02   1.83916      0.647665      0.647207      0.491338      0.530300E-01   0.00000       0.00000      0.491259    
  0.229085E-03   3.72247      0.700743       1.12503      0.692181       1.12286      0.856220E-02  0.216962E-02   1.81504      0.638963      0.638468      0.484469      0.532177E-01   0.00000       0.00000      0.484389    
  0.251186E-03   3.79893      0.692874       1.10968      0.683684       1.10734      0.918989E-02  0.234735E-02   1.79102      0.630326      0.629789      0.477630      0.533581E-01   0.00000       0.00000      0.477549    
  0.275420E-03   3.87089      0.685049       1.09440      0.675199       1.09186      0.984921E-02  0.253576E-02   1.76706      0.621719      0.621137      0.470806      0.534801E-01   0.00000       0.00000      0.470725    
  0.301992E-03   3.93681      0.677282       1.07918      0.666731       1.07645      0.105511E-01  0.273853E-02   1.74318      0.613153      0.612523      0.464004      0.535774E-01   0.00000       0.00000      0.463922    
  0.331127E-03   3.99452      0.669616       1.06409      0.658294       1.06112      0.113217E-01  0.296515E-02   1.71942      0.604651      0.603968      0.457238      0.536428E-01   0.00000       0.00000      0.457156    
  0.363073E-03   4.04838      0.662003       1.04905      0.649875       1.04585      0.121280E-01  0.320434E-02   1.69573      0.596181      0.595442      0.450490      0.536937E-01   0.00000       0.00000      0.450408    
  0.398101E-03   4.09514      0.654498       1.03414      0.641492       1.03067      0.130055E-01  0.346886E-02   1.67216      0.587774      0.586973      0.443778      0.537182E-01   0.00000       0.00000      0.443697    
  0.436509E-03   4.13636      0.647092       1.01933      0.633144       1.01557      0.139489E-01  0.375747E-02   1.64872      0.579420      0.578553      0.437100      0.537232E-01   0.00000       0.00000      0.437020    
  0.478622E-03   4.17411      0.639752       1.00459      0.624817       1.00053      0.149346E-01  0.406159E-02   1.62534      0.571101      0.570164      0.430444      0.537159E-01   0.00000       0.00000      0.430363    
  0.524798E-03   4.20403      0.632580      0.990019      0.616549      0.985611      0.160316E-01  0.440755E-02   1.60216      0.562867      0.561850      0.423840      0.536819E-01   0.00000       0.00000      0.423761    
  0.575429E-03   4.23060      0.625495      0.975533      0.608309      0.970757      0.171858E-01  0.477562E-02   1.57907      0.554672      0.553573      0.417262      0.536366E-01   0.00000       0.00000      0.417184    
  0.630945E-03   4.25291      0.618518      0.961152      0.600106      0.955980      0.184123E-01  0.517161E-02   1.55609      0.546529      0.545340      0.410717      0.535772E-01   0.00000       0.00000      0.410640    
  0.691816E-03   4.26922      0.611721      0.946938      0.591960      0.941322      0.197610E-01  0.561617E-02   1.53328      0.538462      0.537175      0.404223      0.534979E-01   0.00000       0.00000      0.404148    
  0.758561E-03   4.28277      0.605015      0.932807      0.583843      0.926721      0.211721E-01  0.608601E-02   1.51056      0.530433      0.529042      0.397753      0.534095E-01   0.00000       0.00000      0.397679    
  0.831745E-03   4.29133      0.598483      0.918832      0.575779      0.912227      0.227046E-01  0.660551E-02   1.48801      0.522474      0.520969      0.391329      0.533045E-01   0.00000       0.00000      0.391258    
  0.911989E-03   4.29586      0.592116      0.904998      0.567761      0.897824      0.243545E-01  0.717440E-02   1.46558      0.514576      0.512947      0.384945      0.531855E-01   0.00000       0.00000      0.384876    
  0.999975E-03   4.29790      0.585850      0.891251      0.559772      0.883477      0.260782E-01  0.777447E-02   1.44325      0.506714      0.504957      0.378586      0.530581E-01   0.00000       0.00000      0.378520    
  0.109645E-02   4.29449      0.579843      0.877717      0.551851      0.869260      0.279919E-01  0.845693E-02   1.42111      0.498940      0.497038      0.372285      0.529109E-01   0.00000       0.00000      0.372222    
  0.120223E-02   4.28861      0.573970      0.864289      0.543961      0.855104      0.300082E-01  0.918514E-02   1.39906      0.491207      0.489152      0.366011      0.527540E-01   0.00000       0.00000      0.365952    
  0.131822E-02   4.27980      0.568256      0.850987      0.536110      0.841019      0.321461E-01  0.996763E-02   1.37713      0.483524      0.481305      0.359770      0.525858E-01   0.00000       0.00000      0.359714    
  0.144540E-02   4.26669      0.562814      0.837892      0.528315      0.827044      0.344987E-01  0.108489E-01   1.35536      0.475917      0.473517      0.353578      0.523989E-01   0.00000       0.00000      0.353526    
  0.158485E-02   4.25164      0.557507      0.824897      0.520547      0.813117      0.369594E-01  0.117809E-01   1.33366      0.468344      0.465755      0.347410      0.522031E-01   0.00000       0.00000      0.347362    
  0.173775E-02   4.23316      0.552450      0.812086      0.512825      0.799276      0.396248E-01  0.128099E-01   1.31210      0.460834      0.458038      0.341281      0.519906E-01   0.00000       0.00000      0.341238    
  0.190540E-02   4.21178      0.547637      0.799447      0.505141      0.785507      0.424961E-01  0.139395E-01   1.29065      0.453379      0.450359      0.335187      0.517619E-01   0.00000       0.00000      0.335149    
  0.208923E-02   4.18867      0.542974      0.786913      0.497479      0.771781      0.454943E-01  0.151315E-01   1.26926      0.445956      0.442701      0.329113      0.515234E-01   0.00000       0.00000      0.329080    
  0.229079E-02   4.16181      0.538676      0.774627      0.489865      0.758143      0.488117E-01  0.164844E-01   1.24801      0.438604      0.435088      0.323083      0.512606E-01   0.00000       0.00000      0.323055    
  0.251180E-02   4.13316      0.534579      0.762474      0.482270      0.744543      0.523091E-01  0.179308E-01   1.22681      0.431286      0.427493      0.317071      0.509844E-01   0.00000       0.00000      0.317050    
  0.275413E-02   4.10253      0.530705      0.750467      0.474698      0.730985      0.560072E-01  0.194816E-01   1.20568      0.424004      0.419919      0.311082      0.506932E-01   0.00000       0.00000      0.311066    
  0.301984E-02   4.06882      0.527228      0.738714      0.467154      0.717483      0.600745E-01  0.212305E-01   1.18464      0.416779      0.412370      0.305123      0.503746E-01   0.00000       0.00000      0.305114    
  0.331118E-02   4.03376      0.523944      0.727081      0.459620      0.704001      0.643242E-01  0.230795E-01   1.16362      0.409578      0.404828      0.299175      0.500426E-01   0.00000       0.00000      0.299173    
  0.363064E-02   3.99633      0.521012      0.715666      0.452102      0.690551      0.689099E-01  0.251147E-01   1.14265      0.402416      0.397299      0.293247      0.496859E-01   0.00000       0.00000      0.293252    
  0.398091E-02   3.95679      0.518437      0.704467      0.444591      0.677117      0.738464E-01  0.273506E-01   1.12171      0.395287      0.389773      0.287332      0.493036E-01   0.00000       0.00000      0.287344    
  0.436498E-02   3.91603      0.516076      0.693398      0.437082      0.663690      0.789945E-01  0.297085E-01   1.10077      0.388176      0.382247      0.281424      0.489057E-01   0.00000       0.00000      0.281442    
  0.478610E-02   3.87260      0.514229      0.682634      0.429569      0.650261      0.846605E-01  0.323728E-01   1.07983      0.381099      0.374711      0.275524      0.484699E-01   0.00000       0.00000      0.275550    
  0.524785E-02   3.82782      0.512676      0.672042      0.422046      0.636820      0.906298E-01  0.352225E-01   1.05887      0.374034      0.367163      0.269623      0.480121E-01   0.00000       0.00000      0.269657    
  0.575415E-02   3.78162      0.511431      0.661631      0.414514      0.623364      0.969172E-01  0.382667E-01   1.03788      0.366983      0.359601      0.263721      0.475310E-01   0.00000       0.00000      0.263763    
  0.630929E-02   3.73306      0.510759      0.651552      0.406948      0.609858      0.103810      0.416942E-01   1.01681      0.359942      0.352001      0.257808      0.470060E-01   0.00000       0.00000      0.257858    
  0.691799E-02   3.68344      0.510359      0.641632      0.399363      0.596321      0.110996      0.453112E-01  0.995684      0.352904      0.344377      0.251886      0.464599E-01   0.00000       0.00000      0.251944    
  0.758542E-02   3.63200      0.510444      0.631993      0.391740      0.582722      0.118704      0.492707E-01  0.974462      0.345864      0.336710      0.245947      0.458761E-01   0.00000       0.00000      0.246012    
  0.831724E-02   3.57879      0.511039      0.622651      0.384065      0.569040      0.126973      0.536107E-01  0.953105      0.338813      0.328986      0.239981      0.452521E-01   0.00000       0.00000      0.240054    
  0.911966E-02   3.52457      0.511929      0.613481      0.376359      0.555306      0.135570      0.581748E-01  0.931665      0.331754      0.321227      0.233998      0.446049E-01   0.00000       0.00000      0.234079    
  0.999950E-02   3.46812      0.513489      0.604696      0.368567      0.541428      0.144922      0.632679E-01  0.909995      0.324662      0.313375      0.227965      0.439053E-01   0.00000       0.00000      0.228053    
  0.109642E-01   3.41067      0.515370      0.596108      0.360733      0.527484      0.154637      0.686237E-01  0.888218      0.317554      0.305479      0.221909      0.431798E-01   0.00000       0.00000      0.222005    
  0.120220E-01   3.35132      0.517863      0.587893      0.352814      0.513403      0.165048      0.744905E-01  0.866217      0.310409      0.297493      0.215807      0.424050E-01   0.00000       0.00000      0.215910    
  0.131819E-01   3.29023      0.520914      0.580021      0.344806      0.499175      0.176108      0.808461E-01  0.843981      0.303221      0.289413      0.209653      0.415854E-01   0.00000       0.00000      0.209763    
  0.144536E-01   3.22739      0.524532      0.572505      0.336700      0.484789      0.187832      0.877161E-01  0.821489      0.295979      0.281232      0.203442      0.407202E-01   0.00000       0.00000      0.203558    
  0.158481E-01   3.16287      0.528689      0.565334      0.328494      0.470243      0.200195      0.950910E-01  0.798737      0.288682      0.272948      0.197172      0.398120E-01   0.00000       0.00000      0.197295    
  0.173770E-01   3.09661      0.533392      0.558521      0.320181      0.455525      0.213212      0.102996      0.775706      0.281321      0.264557      0.190841      0.388598E-01   0.00000       0.00000      0.190968    
  0.190535E-01   3.02837      0.538704      0.552117      0.311740      0.440606      0.226964      0.111511      0.752346      0.273881      0.256038      0.184435      0.378591E-01   0.00000       0.00000      0.184568    
  0.208917E-01   2.95810      0.544614      0.546129      0.303165      0.425480      0.241449      0.120649      0.728646      0.266355      0.247389      0.177954      0.368105E-01   0.00000       0.00000      0.178091    
  0.229073E-01   2.88587      0.551084      0.540542      0.294458      0.410152      0.256626      0.130390      0.704610      0.258741      0.238612      0.171398      0.357174E-01   0.00000       0.00000      0.171540    
  0.251174E-01   2.81157      0.558109      0.535365      0.285611      0.394615      0.272498      0.140751      0.680226      0.251031      0.229704      0.164766      0.345801E-01   0.00000       0.00000      0.164910    
  0.275406E-01   2.73490      0.565736      0.530652      0.276601      0.378843      0.289134      0.151809      0.655445      0.243206      0.220649      0.158048      0.333949E-01   0.00000       0.00000      0.158195    
  0.301976E-01   2.65584      0.573929      0.526391      0.267428      0.362844      0.306500      0.163547      0.630272      0.235264      0.211449      0.151247      0.321648E-01   0.00000       0.00000      0.151395    
  0.331110E-01   2.57445      0.582632      0.522556      0.258097      0.346633      0.324535      0.175923      0.604730      0.227202      0.202116      0.144368      0.308941E-01   0.00000       0.00000      0.144517    
  0.363055E-01   2.49065      0.591819      0.519141      0.248602      0.330216      0.343217      0.188924      0.578818      0.219017      0.192652      0.137416      0.295848E-01   0.00000       0.00000      0.137565    
  0.398081E-01   2.40409      0.601502      0.516177      0.238924      0.313585      0.362578      0.202593      0.552508      0.210688      0.183050      0.130386      0.282357E-01   0.00000       0.00000      0.130535    
  0.436487E-01   2.31485      0.611608      0.513619      0.229069      0.296766      0.382539      0.216853      0.525835      0.202217      0.173327      0.123292      0.268522E-01   0.00000       0.00000      0.123439    
  0.478598E-01   2.22305      0.622060      0.511409      0.219049      0.279794      0.403011      0.231615      0.498843      0.193609      0.163503      0.116146      0.254400E-01   0.00000       0.00000      0.116291    
  0.524772E-01   2.12868      0.632800      0.509503      0.208867      0.262697      0.423934      0.246807      0.471563      0.184864      0.153595      0.108960      0.240032E-01   0.00000       0.00000      0.109101    
  0.575400E-01   2.03149      0.643775      0.507861      0.198510      0.245502      0.445265      0.262358      0.444012      0.175965      0.143618      0.101747      0.225448E-01   0.00000       0.00000      0.101885    
  0.630913E-01   1.93175      0.654878      0.506373      0.188000      0.228268      0.466878      0.278105      0.416268      0.166927      0.133605      0.945306E-01  0.210724E-01   0.00000       0.00000      0.946631E-01
  0.691782E-01   1.82970      0.666006      0.504925      0.177356      0.211050      0.488650      0.293875      0.388405      0.157763      0.123590      0.873326E-01  0.195930E-01   0.00000       0.00000      0.874597E-01
  0.758523E-01   1.72552      0.677060      0.503393      0.166594      0.193907      0.510465      0.309486      0.360502      0.148481      0.113608      0.801779E-01  0.181130E-01   0.00000       0.00000      0.802988E-01
  0.831703E-01   1.61927      0.687888      0.501576      0.155727      0.176936      0.532161      0.324641      0.332662      0.139086      0.103715      0.731069E-01  0.166411E-01   0.00000       0.00000      0.732210E-01
  0.911943E-01   1.51144      0.698356      0.499280      0.144790      0.160215      0.553566      0.339065      0.305005      0.129604      0.939569E-01  0.661511E-01  0.151856E-01   0.00000       0.00000      0.662580E-01
  0.999925E-01   1.40242      0.708345      0.496318      0.133811      0.143807      0.574534      0.352512      0.277618      0.120060      0.843729E-01  0.593345E-01  0.137511E-01   0.00000       0.00000      0.594338E-01
  0.109639       1.29277      0.717680      0.492435      0.122838      0.127823      0.594842      0.364612      0.250661      0.110489      0.750281E-01  0.527038E-01  0.123493E-01   0.00000       0.00000      0.527951E-01
  0.120217       1.18301      0.726052      0.487181      0.111921      0.112436      0.614130      0.374745      0.224358      0.100927      0.660230E-01  0.463302E-01  0.109943E-01   0.00000       0.00000      0.464133E-01
  0.131815       1.07382      0.733297      0.480331      0.101110      0.977053E-01  0.632187      0.382625      0.198816      0.914200E-01  0.573944E-01  0.402359E-01  0.969034E-02   0.00000       0.00000      0.403109E-01
  0.144533      0.965951      0.739056      0.471434      0.904750E-01  0.837793E-01  0.648581      0.387655      0.174254      0.820259E-01  0.492308E-01  0.344818E-01  0.844908E-02   0.00000       0.00000      0.345485E-01
  0.158477      0.860126      0.743037      0.460211      0.800763E-01  0.707322E-01  0.662961      0.389478      0.150808      0.728003E-01  0.415768E-01  0.290968E-01  0.727601E-02   0.00000       0.00000      0.291554E-01
  0.173766      0.757303      0.744678      0.446156      0.700063E-01  0.587157E-01  0.674672      0.387440      0.128722      0.638237E-01  0.345225E-01  0.241424E-01  0.618263E-02   0.00000       0.00000      0.241932E-01
  0.190530      0.658186      0.743531      0.429058      0.603311E-01  0.477713E-01  0.683200      0.381287      0.108102      0.551592E-01  0.280938E-01  0.196342E-01  0.517195E-02   0.00000       0.00000      0.196775E-01
  0.208912      0.563881      0.738702      0.408448      0.511629E-01  0.380316E-01  0.687539      0.370416      0.891945E-01  0.469086E-01  0.223696E-01  0.156258E-01  0.425433E-02   0.00000       0.00000      0.156620E-01
  0.229067      0.474994      0.729512      0.384296      0.425640E-01  0.294851E-01  0.686948      0.354810      0.720491E-01  0.391346E-01  0.173444E-01  0.121109E-01  0.342943E-02   0.00000       0.00000      0.121407E-01
  0.251167      0.392694      0.714609      0.356326      0.346579E-01  0.222190E-01  0.679951      0.334107      0.568770E-01  0.319527E-01  0.130705E-01  0.912461E-02  0.270524E-02   0.00000       0.00000      0.914853E-02
  0.275399      0.317375      0.693097      0.324844      0.274880E-01  0.161528E-01  0.665609      0.308691      0.436408E-01  0.254106E-01  0.950141E-02  0.663267E-02  0.207733E-02   0.00000       0.00000      0.665140E-02
