 First iteration    2913.8429780249426              377   7.7290264669096622     
After minimisation    2913.84   377     7.729

  Partial chi2s 
Dataset    1   1690.05(+80.81)   377  HERA1+2 NCep 920                                

 Correlated Chi2    1142.9879681055604     
 Log penalty Chi2    80.805374490765317     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          1.8666   +/-   0.9964        :N:M:D
    2  sysHZComb1002                         -1.7401   +/-   0.9969        :N:M:D
    3  sysHZComb1003                          2.2464   +/-   0.9948        :N:M:D
    4  sysHZComb1004                         -6.9288   +/-   0.9494        :N:M:D
    5  sysHZComb1005                         12.7191   +/-   0.8170        :N:M:D
    6  sysHZComb1006                        -13.2214   +/-   0.8030        :N:M:D
    7  sysHZComb1007                          0.1116   +/-   0.9982        :N:M:D
    8  sysHZComb1008                         -0.1701   +/-   0.9985        :N:M:D
    9  sysHZComb1009                         -0.0509   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.2781   +/-   0.9973        :N:M:D
   11  sysHZComb1011                         -3.7773   +/-   0.9667        :N:M:D
   12  sysHZComb1012                         -0.5196   +/-   0.9725        :N:M:D
   13  sysHZComb1013                         -1.5998   +/-   0.9616        :N:M:D
   14  sysHZComb1014                         -0.1181   +/-   0.9874        :N:M:D
   15  sysHZComb1015                          0.4389   +/-   0.9620        :N:M:D
   16  sysHZComb1016                          2.6029   +/-   0.9760        :N:M:D
   17  sysHZComb1017                          0.8669   +/-   0.9706        :N:M:D
   18  sysHZComb1018                          4.2843   +/-   0.8964        :N:M:D
   19  sysHZComb1019                         -0.8275   +/-   0.9851        :N:M:D
   20  sysHZComb1020                         -0.3930   +/-   0.9814        :N:M:D
   21  sysHZComb1021                          0.0785   +/-   0.9749        :N:M:D
   22  sysHZComb1022                          2.9405   +/-   0.9692        :N:M:D
   23  sysHZComb1023                          2.9210   +/-   0.9524        :N:M:D
   24  sysHZComb1024                          1.3000   +/-   0.9960        :N:M:D
   25  sysHZComb1025                          0.1992   +/-   0.9938        :N:M:D
   26  sysHZComb1026                         -1.7187   +/-   0.9757        :N:M:D
   27  sysHZComb1027                          0.3265   +/-   0.9886        :N:M:D
   28  sysHZComb1028                         -1.6092   +/-   0.9863        :N:M:D
   29  sysHZComb1029                         -1.6232   +/-   0.9492        :N:M:D
   30  sysHZComb1030                          4.0876   +/-   0.9568        :N:M:D
   31  sysHZComb1031                         -2.0311   +/-   0.9602        :N:M:D
   32  sysHZComb1032                         -0.4628   +/-   0.9734        :N:M:D
   33  sysHZComb1033                         -0.7267   +/-   0.9777        :N:M:D
   34  sysHZComb1034                         -0.7047   +/-   0.9887        :N:M:D
   35  sysHZComb1035                          1.1281   +/-   0.9849        :N:M:D
   36  sysHZComb1036                          1.1044   +/-   0.9794        :N:M:D
   37  sysHZComb1037                         -1.5605   +/-   0.9733        :N:M:D
   38  sysHZComb1038                         -0.7469   +/-   0.9326        :N:M:D
   39  sysHZComb1039                         -0.8764   +/-   0.9819        :N:M:D
   40  sysHZComb1040                         -2.2816   +/-   0.9529        :N:M:D
   41  sysHZComb1041                         -1.1796   +/-   0.9858        :N:M:D
   42  sysHZComb1042                          3.4112   +/-   0.9462        :N:M:D
   43  sysHZComb1043                         -2.4251   +/-   0.9331        :N:M:D
   44  sysHZComb1044                         -0.7309   +/-   0.9427        :N:M:D
   45  sysHZComb1045                         -0.7545   +/-   0.9490        :N:M:D
   46  sysHZComb1046                          1.0644   +/-   0.9775        :N:M:D
   47  sysHZComb1047                         -0.7727   +/-   0.9654        :N:M:D
