   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   19.9571       2.06996       2.97823       2.06117       2.97564      0.879283E-02  0.258368E-02   5.03681       1.42906       1.42814       1.16241      0.632104      0.385093       0.00000       1.16241    
  0.109648E-03   19.7963       2.05431       2.94946       2.04494       2.94668      0.937073E-02  0.277246E-02   4.99163       1.41659       1.41560       1.15306      0.628352      0.378022       0.00000       1.15306    
  0.120226E-03   19.6076       2.03671       2.91854       2.02670       2.91555      0.100102E-01  0.298419E-02   4.94226       1.40315       1.40209       1.14269      0.623548      0.370775       0.00000       1.14269    
  0.131825E-03   19.4087       2.01840       2.88684       2.00772       2.88364      0.106779E-01  0.320661E-02   4.89136       1.38937       1.38822       1.13195      0.618356      0.363470       0.00000       1.13195    
  0.144543E-03   19.1952       1.99907       2.85404       1.98768       2.85059      0.113859E-01  0.344433E-02   4.83827       1.37507       1.37384       1.12066      0.612607      0.356085       0.00000       1.12066    
  0.158489E-03   18.9640       1.97850       2.81990       1.96635       2.81619      0.121557E-01  0.370582E-02   4.78254       1.36017       1.35885       1.10872      0.606177      0.348619       0.00000       1.10872    
  0.173779E-03   18.7247       1.95738       2.78515       1.94442       2.78117      0.129578E-01  0.397986E-02   4.72559       1.34499       1.34357       1.09648      0.599432      0.341121       0.00000       1.09648    
  0.190545E-03   18.4706       1.93523       2.74930       1.92141       2.74502      0.138253E-01  0.427957E-02   4.66643       1.32930       1.32777       1.08368      0.592109      0.333571       0.00000       1.08368    
  0.208928E-03   18.2064       1.91240       2.71273       1.89764       2.70812      0.147502E-01  0.460213E-02   4.60577       1.31326       1.31162       1.07051      0.584387      0.326001       0.00000       1.07051    
  0.229085E-03   17.9358       1.88912       2.67568       1.87340       2.67074      0.157126E-01  0.493964E-02   4.54414       1.29700       1.29524       1.05708      0.576407      0.318417       0.00000       1.05708    
  0.251186E-03   17.6516       1.86493       2.63767       1.84815       2.63235      0.167745E-01  0.531755E-02   4.48050       1.28027       1.27838       1.04314      0.567881      0.310828       0.00000       1.04314    
  0.275420E-03   17.3625       1.84041       2.59932       1.82253       2.59361      0.178843E-01  0.571527E-02   4.41613       1.26337       1.26135       1.02901      0.559151      0.303249       0.00000       1.02901    
  0.301992E-03   17.0668       1.81546       2.56052       1.79640       2.55438      0.190586E-01  0.613962E-02   4.35077       1.24625       1.24408       1.01462      0.550146      0.295680       0.00000       1.01462    
  0.331127E-03   16.7632       1.78999       2.52119       1.76966       2.51459      0.203358E-01  0.660725E-02   4.28424       1.22886       1.22652      0.999913      0.540803      0.288148       0.00000      0.999913    
  0.363073E-03   16.4561       1.76432       2.48165       1.74266       2.47455      0.216659E-01  0.709739E-02   4.21721       1.21134       1.20884      0.985068      0.531313      0.280639       0.00000      0.985068    
  0.398101E-03   16.1431       1.73829       2.44174       1.71519       2.43411      0.231007E-01  0.763246E-02   4.14930       1.19363       1.19095      0.969982      0.521562      0.273179       0.00000      0.969982    
  0.436509E-03   15.8264       1.71205       2.40163       1.68742       2.39342      0.246311E-01  0.820930E-02   4.08084       1.17579       1.17291      0.954734      0.511635      0.265772       0.00000      0.954734    
  0.478622E-03   15.5073       1.68568       2.36138       1.65946       2.35257      0.262227E-01  0.881295E-02   4.01203       1.15786       1.15479      0.939385      0.501599      0.258400       0.00000      0.939385    
  0.524798E-03   15.1841       1.65912       2.32095       1.63114       2.31146      0.279733E-01  0.948746E-02   3.94260       1.13979       1.13649      0.923842      0.491351      0.251124       0.00000      0.923842    
  0.575429E-03   14.8595       1.63251       2.28047       1.60271       2.27027      0.298043E-01  0.101985E-01   3.87298       1.12168       1.11814      0.908232      0.481029      0.243898       0.00000      0.908232    
  0.630945E-03   14.5334       1.60585       2.23995       1.57412       2.22899      0.317369E-01  0.109558E-01   3.80311       1.10350       1.09972      0.892537      0.470614      0.236737       0.00000      0.892537    
  0.691816E-03   14.2058       1.57922       2.19945       1.54538       2.18766      0.338383E-01  0.117914E-01   3.73303       1.08528       1.08122      0.876749      0.460097      0.229684       0.00000      0.876749    
  0.758561E-03   13.8779       1.55261       2.15898       1.51658       2.14631      0.360251E-01  0.126671E-01   3.66290       1.06704       1.06270      0.860927      0.449543      0.222685       0.00000      0.860927    
  0.831745E-03   13.5497       1.52609       2.11860       1.48772       2.10498      0.383769E-01  0.136210E-01   3.59270       1.04879       1.04414      0.845051      0.438931      0.215791       0.00000      0.845051    
  0.911989E-03   13.2219       1.49972       2.07836       1.45883       2.06371      0.408854E-01  0.146507E-01   3.52254       1.03054       1.02556      0.829152      0.428296      0.208995       0.00000      0.829152    
  0.999975E-03   12.8945       1.47344       2.03820       1.42994       2.02248      0.434921E-01  0.157281E-01   3.45242       1.01230       1.00698      0.813241      0.417648      0.202259       0.00000      0.813241    
  0.109645E-02   12.5686       1.44744       1.99832       1.40109       1.98139      0.463481E-01  0.169288E-01   3.38248      0.994092      0.988396      0.797323      0.407000      0.195673       0.00000      0.797323    
  0.120223E-02   12.2438       1.42162       1.95860       1.37229       1.94040      0.493360E-01  0.181961E-01   3.31269      0.975919      0.969826      0.781414      0.396366      0.189162       0.00000      0.781414    
  0.131822E-02   11.9204       1.39601       1.91907       1.34353       1.89953      0.524804E-01  0.195426E-01   3.24306      0.957780      0.951270      0.765516      0.385751      0.182741       0.00000      0.765516    
  0.144540E-02   11.5998       1.37080       1.87990       1.31490       1.85887      0.558960E-01  0.210293E-01   3.17378      0.939716      0.932751      0.749653      0.375188      0.176468       0.00000      0.749653    
  0.158485E-02   11.2808       1.34579       1.84091       1.28635       1.81833      0.594461E-01  0.225867E-01   3.10468      0.921692      0.914252      0.733812      0.364657      0.170264       0.00000      0.733812    
  0.173775E-02   10.9646       1.32118       1.80228       1.25793       1.77800      0.632495E-01  0.242780E-01   3.03593      0.903743      0.895793      0.718014      0.354190      0.164191       0.00000      0.718014    
  0.190540E-02   10.6516       1.29697       1.76398       1.22967       1.73788      0.673025E-01  0.261047E-01   2.96755      0.885872      0.877377      0.702265      0.343798      0.158238       0.00000      0.702265    
  0.208923E-02   10.3405       1.27301       1.72591       1.20150       1.69789      0.715087E-01  0.280148E-01   2.89939      0.868048      0.858988      0.686546      0.333453      0.152357       0.00000      0.686546    
  0.229079E-02   10.0342       1.24967       1.68835       1.17357       1.65821      0.760938E-01  0.301352E-01   2.83179      0.850342      0.840662      0.670905      0.323230      0.146647       0.00000      0.670905    
  0.251180E-02   9.73051       1.22666       1.65108       1.14578       1.61870      0.808876E-01  0.323744E-01   2.76448      0.832698      0.822370      0.655307      0.313078      0.141024       0.00000      0.655307    
  0.275413E-02   9.42983       1.20404       1.61412       1.11813       1.57937      0.859143E-01  0.347461E-01   2.69750      0.815123      0.804114      0.639758      0.303005      0.135499       0.00000      0.639758    
  0.301984E-02   9.13444       1.18210       1.57771       1.09074       1.54035      0.913596E-01  0.373623E-01   2.63109      0.797666      0.785918      0.624291      0.293077      0.130137       0.00000      0.624291    
  0.331118E-02   8.84159       1.16049       1.54156       1.06348       1.50146      0.970081E-01  0.400994E-01   2.56494      0.780263      0.767747      0.608863      0.283220      0.124850       0.00000      0.608863    
  0.363064E-02   8.55335       1.13948       1.50588       1.03645       1.46283      0.103029      0.430593E-01   2.49927      0.762956      0.749622      0.593505      0.273492      0.119699       0.00000      0.593505    
  0.398091E-02   8.26966       1.11906       1.47067       1.00963       1.42442      0.109427      0.462523E-01   2.43405      0.745737      0.731532      0.578211      0.263895      0.114674       0.00000      0.578211    
  0.436498E-02   7.98868       1.09900       1.43573      0.982944       1.38614      0.116053      0.495859E-01   2.36909      0.728570      0.713462      0.562954      0.254375      0.109725       0.00000      0.562954    
  0.478610E-02   7.71402       1.07977       1.40142      0.956552       1.34816      0.123223      0.532638E-01   2.30471      0.711514      0.695430      0.547779      0.245038      0.104947       0.00000      0.547779    
  0.524785E-02   7.44281       1.06102       1.36746      0.930315       1.31031      0.130702      0.571436E-01   2.24063      0.694512      0.677411      0.532645      0.235803      0.100259       0.00000      0.532645    
