 First iteration    31404.070775856373              377   83.299922482377653     
After minimisation   31404.07   377    83.300

  Partial chi2s 
Dataset    1  10034.61(******)   377  HERA1+2 NCep 920                                

 Correlated Chi2    19420.750415730483     
 Log penalty Chi2    1948.7059165595072     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         11.2007   +/-   0.9963        :N:M:D
    2  sysHZComb1002                        -10.4413   +/-   0.9968        :N:M:D
    3  sysHZComb1003                         13.4714   +/-   0.9947        :N:M:D
    4  sysHZComb1004                        -41.5738   +/-   0.9481        :N:M:D
    5  sysHZComb1005                         76.3055   +/-   0.8118        :N:M:D
    6  sysHZComb1006                        -79.0123   +/-   0.7974        :N:M:D
    7  sysHZComb1007                          0.1952   +/-   0.9977        :N:M:D
    8  sysHZComb1008                         -1.4345   +/-   0.9979        :N:M:D
    9  sysHZComb1009                          0.0970   +/-   1.0000        :N:M:D
   10  sysHZComb1010                          1.7359   +/-   0.9962        :N:M:D
   11  sysHZComb1011                        -16.6093   +/-   0.9623        :N:M:D
   12  sysHZComb1012                        -11.2888   +/-   0.9685        :N:M:D
   13  sysHZComb1013                         -0.9254   +/-   0.9531        :N:M:D
   14  sysHZComb1014                         -3.2470   +/-   0.9826        :N:M:D
   15  sysHZComb1015                          2.4779   +/-   0.9482        :N:M:D
   16  sysHZComb1016                          2.1259   +/-   0.9635        :N:M:D
   17  sysHZComb1017                          7.9987   +/-   0.9653        :N:M:D
   18  sysHZComb1018                         -9.2820   +/-   0.8708        :N:M:D
   19  sysHZComb1019                         -1.5164   +/-   0.9783        :N:M:D
   20  sysHZComb1020                          2.4435   +/-   0.9745        :N:M:D
   21  sysHZComb1021                          5.8959   +/-   0.9641        :N:M:D
   22  sysHZComb1022                          8.8452   +/-   0.9615        :N:M:D
   23  sysHZComb1023                         12.5245   +/-   0.9303        :N:M:D
   24  sysHZComb1024                          3.3260   +/-   0.9933        :N:M:D
   25  sysHZComb1025                          1.0732   +/-   0.9917        :N:M:D
   26  sysHZComb1026                          3.8297   +/-   0.9663        :N:M:D
   27  sysHZComb1027                         -3.1367   +/-   0.9839        :N:M:D
   28  sysHZComb1028                          0.2151   +/-   0.9816        :N:M:D
   29  sysHZComb1029                        -10.2884   +/-   0.9281        :N:M:D
