   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.49018      0.914891       1.40518      0.909710       1.40383      0.518097E-02  0.134747E-02   2.31354      0.787960      0.787605      0.616315      0.121750       0.00000       0.00000      0.616229    
  0.109648E-03   4.61193      0.904053       1.38654      0.898517       1.38510      0.553584E-02  0.144483E-02   2.28362      0.777590      0.777206      0.607978      0.120927       0.00000       0.00000      0.607892    
  0.120226E-03   4.71830      0.893197       1.36793      0.887266       1.36637      0.593116E-02  0.155477E-02   2.25364      0.767248      0.766832      0.599631      0.120018       0.00000       0.00000      0.599542    
  0.131825E-03   4.81870      0.882345       1.34934      0.876000       1.34767      0.634518E-02  0.167066E-02   2.22367      0.756923      0.756472      0.591284      0.119077       0.00000       0.00000      0.591194    
  0.144543E-03   4.91054      0.871500       1.33078      0.864714       1.32898      0.678600E-02  0.179505E-02   2.19369      0.746621      0.746134      0.582939      0.118092       0.00000       0.00000      0.582848    
  0.158489E-03   4.99128      0.860686       1.31228      0.853418       1.31035      0.726815E-02  0.193287E-02   2.16377      0.736363      0.735835      0.574605      0.117055       0.00000       0.00000      0.574513    
  0.173779E-03   5.06673      0.849894       1.29382      0.842122       1.29174      0.777204E-02  0.207783E-02   2.13387      0.726129      0.725557      0.566281      0.115993       0.00000       0.00000      0.566187    
  0.190545E-03   5.13219      0.839153       1.27545      0.830833       1.27321      0.832026E-02  0.223751E-02   2.10404      0.715944      0.715326      0.557977      0.114889       0.00000       0.00000      0.557882    
  0.208928E-03   5.19025      0.828469       1.25715      0.819562       1.25474      0.890769E-02  0.241051E-02   2.07430      0.705806      0.705137      0.549695      0.113756       0.00000       0.00000      0.549600    
  0.229085E-03   5.24352      0.817823       1.23890      0.808302       1.23631      0.952077E-02  0.259223E-02   2.04461      0.695697      0.694974      0.541429      0.112605       0.00000       0.00000      0.541333    
  0.251186E-03   5.28589      0.807289       1.22079      0.797086       1.21800      0.102027E-01  0.279789E-02   2.01508      0.685669      0.684886      0.533207      0.111417       0.00000       0.00000      0.533111    
  0.275420E-03   5.32382      0.796814       1.20276      0.785896       1.19974      0.109182E-01  0.301549E-02   1.98564      0.675680      0.674833      0.525008      0.110216       0.00000       0.00000      0.524911    
  0.301992E-03   5.35578      0.786419       1.18482      0.774741       1.18157      0.116787E-01  0.324915E-02   1.95631      0.665743      0.664828      0.516841      0.108998       0.00000       0.00000      0.516744    
  0.331127E-03   5.37968      0.776158       1.16703      0.763646       1.16352      0.125121E-01  0.350937E-02   1.92717      0.655886      0.654896      0.508724      0.107760       0.00000       0.00000      0.508627    
  0.363073E-03   5.39982      0.765966       1.14932      0.752583       1.14554      0.133831E-01  0.378356E-02   1.89812      0.646069      0.645000      0.500633      0.106514       0.00000       0.00000      0.500536    
  0.398101E-03   5.41301      0.755915       1.13176      0.741586       1.12767      0.143292E-01  0.408583E-02   1.86926      0.636332      0.635176      0.492593      0.105254       0.00000       0.00000      0.492497    
  0.436509E-03   5.42085      0.745994       1.11433      0.730649       1.10992      0.153447E-01  0.441471E-02   1.84057      0.626664      0.625414      0.484600      0.103985       0.00000       0.00000      0.484504    
  0.478622E-03   5.42531      0.736156       1.09699      0.719751       1.09223      0.164046E-01  0.476069E-02   1.81198      0.617039      0.615690      0.476636      0.102712       0.00000       0.00000      0.476541    
  0.524798E-03   5.42225      0.726534       1.07987      0.708953       1.07472      0.175814E-01  0.515267E-02   1.78367      0.607522      0.606063      0.468746      0.101430       0.00000       0.00000      0.468653    
  0.575429E-03   5.41598      0.717021       1.06285      0.698203       1.05728      0.188180E-01  0.556884E-02   1.75548      0.598056      0.596480      0.460891      0.100146       0.00000       0.00000      0.460799    
  0.630945E-03   5.40565      0.707645       1.04596      0.687514       1.03994      0.201302E-01  0.601557E-02   1.72746      0.588655      0.586954      0.453081      0.988594E-01   0.00000       0.00000      0.452991    
  0.691816E-03   5.38963      0.698494       1.02928      0.676924       1.02277      0.215700E-01  0.651522E-02   1.69969      0.579353      0.577513      0.445341      0.975707E-01   0.00000       0.00000      0.445253    
  0.758561E-03   5.37102      0.689455       1.01270      0.666380       1.00566      0.230748E-01  0.704234E-02   1.67204      0.570099      0.568114      0.437634      0.962817E-01   0.00000       0.00000      0.437548    
