   5.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   5.92896      0.820538       1.24984      0.811865       1.24117      0.867252E-02  0.867252E-02   2.05303      0.620466      0.620466      0.620701      0.191400       0.00000       0.00000    
  0.109648E-03   5.99847      0.818245       1.23669      0.795725       1.21417      0.225200E-01  0.225200E-01   2.00989      0.606964      0.606964      0.607203      0.188761       0.00000       0.00000    
  0.120226E-03   6.05149      0.816168       1.22445      0.780095       1.18838      0.360724E-01  0.360724E-01   1.96848      0.594069      0.594069      0.594312      0.186026       0.00000       0.00000    
  0.131825E-03   6.09120      0.814071       1.21279      0.764912       1.16363      0.491592E-01  0.491592E-01   1.92854      0.581691      0.581691      0.581938      0.183221       0.00000       0.00000    
  0.144543E-03   6.12115      0.811685       1.20129      0.750105       1.13971      0.615799E-01  0.615799E-01   1.88982      0.569732      0.569732      0.569983      0.180373       0.00000       0.00000    
  0.158489E-03   6.14280      0.808866       1.18978      0.735645       1.11656      0.732211E-01  0.732211E-01   1.85220      0.558151      0.558151      0.558405      0.177494       0.00000       0.00000    
  0.173779E-03   6.15324      0.805805       1.17853      0.721592       1.09432      0.842128E-01  0.842128E-01   1.81591      0.547030      0.547030      0.547288      0.174562       0.00000       0.00000    
  0.190545E-03   6.15463      0.802438       1.16741      0.707899       1.07287      0.945388E-01  0.945388E-01   1.78077      0.536306      0.536306      0.536568      0.171594       0.00000       0.00000    
  0.208928E-03   6.14946      0.798685       1.15625      0.694515       1.05208      0.104170      0.104170       1.74659      0.525907      0.525907      0.526173      0.168608       0.00000       0.00000    
  0.229085E-03   6.13890      0.794487       1.14494      0.681413       1.03187      0.113074      0.113074       1.71328      0.515799      0.515799      0.516070      0.165614       0.00000       0.00000    
  0.251186E-03   6.12088      0.789888       1.13361      0.668642       1.01237      0.121246      0.121246       1.68101      0.506045      0.506045      0.506320      0.162597       0.00000       0.00000    
  0.275420E-03   6.09681      0.784909       1.12222      0.656166      0.993479      0.128744      0.128744       1.64964      0.496600      0.496600      0.496879      0.159566       0.00000       0.00000    
  0.301992E-03   6.06843      0.779566       1.11072      0.643942      0.975099      0.135624      0.135624       1.61904      0.487408      0.487408      0.487691      0.156535       0.00000       0.00000    
  0.331127E-03   6.03667      0.773856       1.09907      0.631951      0.957168      0.141905      0.141905       1.58912      0.478440      0.478440      0.478727      0.153511       0.00000       0.00000    
