   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   81.8709       6.61264       9.26923       6.28487       8.94146      0.327770      0.327770       15.2263       3.29278       3.29278       3.29335       2.99208       2.35532       0.00000    
  0.109648E-03   78.8945       6.40552       8.97516       6.08225       8.65188      0.323278      0.323278       14.7341       3.19059       3.19059       3.19116       2.89166       2.27014       0.00000    
  0.120226E-03   76.0067       6.20342       8.68842       5.88459       8.36959      0.318831      0.318831       14.2542       3.09078       3.09078       3.09136       2.79380       2.18745       0.00000    
  0.131825E-03   73.2033       6.00622       8.40884       5.69178       8.09440      0.314439      0.314439       13.7862       2.99333       2.99333       2.99391       2.69845       2.10716       0.00000    
  0.144543E-03   70.4801       5.81385       8.13623       5.50374       7.82611      0.310115      0.310115       13.3298       2.89820       2.89820       2.89878       2.60554       2.02913       0.00000    
  0.158489E-03   67.8356       5.62628       7.87055       5.32042       7.56469      0.305862      0.305862       12.8851       2.80538       2.80538       2.80596       2.51504       1.95334       0.00000    
  0.173779E-03   65.2739       5.44362       7.61199       5.14195       7.31032      0.301669      0.301669       12.4523       2.71492       2.71492       2.71551       2.42704       1.87990       0.00000    
  0.190545E-03   62.7908       5.26573       7.36033       4.96819       7.06278      0.297548      0.297548       12.0310       2.62675       2.62675       2.62734       2.34144       1.80869       0.00000    
  0.208928E-03   60.3818       5.09247       7.11530       4.79895       6.82179      0.293514      0.293514       11.6207       2.54081       2.54081       2.54141       2.25815       1.73957       0.00000    
  0.229085E-03   58.0450       4.92377       6.87682       4.63420       6.58725      0.289573      0.289573       11.2214       2.45707       2.45707       2.45767       2.17713       1.67251       0.00000    
  0.251186E-03   55.7848       4.75980       6.64515       4.47409       6.35944      0.285709      0.285709       10.8335       2.37561       2.37561       2.37621       2.09848       1.60762       0.00000    
  0.275420E-03   53.5971       4.60039       6.42003       4.31845       6.13809      0.281938      0.281938       10.4565       2.29634       2.29634       2.29695       2.02211       1.54479       0.00000    
  0.301992E-03   51.4773       4.44535       6.20115       4.16707       5.92287      0.278278      0.278278       10.0899       2.21918       2.21918       2.21980       1.94790       1.48389       0.00000    
  0.331127E-03   49.4231       4.29461       5.98838       4.01988       5.71364      0.274737      0.274737       9.73352       2.14408       2.14408       2.14470       1.87579       1.42486       0.00000    
  0.363073E-03   47.4390       4.14836       5.78203       3.87706       5.51073      0.271294      0.271294       9.38779       2.07114       2.07114       2.07177       1.80592       1.36782       0.00000    
  0.398101E-03   45.5214       4.00641       5.58182       3.73844       5.31385      0.267970      0.267970       9.05229       2.00028       2.00028       2.00091       1.73816       1.31266       0.00000    
  0.436509E-03   43.6654       3.86857       5.38743       3.60379       5.12265      0.264784      0.264784       8.72643       1.93138       1.93138       1.93201       1.67241       1.25926       0.00000    
  0.478622E-03   41.8686       3.73472       5.19869       3.47297       4.93694      0.261748      0.261748       8.40991       1.86438       1.86438       1.86501       1.60860       1.20754       0.00000    
  0.524798E-03   40.1356       3.60508       5.01592       3.34624       4.75708      0.258838      0.258838       8.10332       1.79940       1.79940       1.80004       1.54684       1.15764       0.00000    
  0.575429E-03   38.4629       3.47947       4.83886       3.22339       4.58279      0.256075      0.256075       7.80618       1.73635       1.73635       1.73699       1.48705       1.10945       0.00000    
  0.630945E-03   36.8459       3.35767       4.66718       3.10419       4.41370      0.253484      0.253484       7.51789       1.67510       1.67510       1.67575       1.42908       1.06284       0.00000    
  0.691816E-03   35.2819       3.23956       4.50066       2.98848       4.24958      0.251081      0.251081       7.23806       1.61560       1.61560       1.61625       1.37288       1.01774       0.00000    
  0.758561E-03   33.7754       3.12535       4.33966       2.87651       4.09082      0.248835      0.248835       6.96734       1.55795       1.55795       1.55860       1.31856      0.974269       0.00000    
  0.831745E-03   32.3233       3.01488       4.18392       2.76811       3.93715      0.246771      0.246771       6.70526       1.50208       1.50208       1.50273       1.26603      0.932345       0.00000    
  0.911989E-03   30.9212       2.90793       4.03310       2.66301       3.78818      0.244918      0.244918       6.45120       1.44784       1.44784       1.44850       1.21517      0.891840       0.00000    
